No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-04.tif;892;394.354260;496.658072;21.271463;63.938303;1.913340;3.005825;0.332687;0.277813;165.000000;0.943037;146.448000;38.802691;0;255
2;M-11897-x40-04.tif;1762;658.457435;264.395573;42.856513;54.435066;1.161849;1.270170;0.787296;0.757109;109.000000;0.616575;160.392000;26.869467;0;232
3;M-11897-x40-04.tif;1555;686.537621;349.392283;34.497695;57.915646;1.099175;1.678827;0.595654;0.590267;42.000000;0.803241;146.556000;22.353055;0;185
4;M-11897-x40-04.tif;2093;701.021978;306.393215;47.354665;58.168173;1.312864;1.228351;0.814099;0.787605;147.000000;0.580726;185.823000;32.449116;0;216
5;M-11897-x40-04.tif;2209;722.095971;243.267089;45.986088;65.063185;1.327429;1.414845;0.706791;0.664409;177.000000;0.707422;191.959000;29.631055;0;209
6;M-11897-x40-04.tif;2320;733.612931;398.775431;43.896752;68.148569;1.131559;1.552474;0.644133;0.636040;105.000000;0.764913;181.630000;25.555172;0;201
7;M-11897-x40-04.tif;1698;758.608952;276.840989;42.873272;50.647278;1.014686;1.181325;0.846507;0.842821;43.000000;0.532378;147.143000;22.770318;0;216
8;M-11897-x40-04.tif;2111;759.889626;326.405969;48.185073;55.923853;0.985331;1.160605;0.861619;0.859417;33.000000;0.507555;161.674000;21.125533;0;170
9;M-11897-x40-04.tif;1541;782.694354;229.009085;32.875407;60.937085;1.207770;1.853577;0.539498;0.528384;74.000000;0.841987;152.932000;23.465282;0;201
10;M-11897-x40-04.tif;2355;796.661571;389.839915;46.192179;65.508749;1.049931;1.418178;0.705130;0.698719;50.000000;0.709078;176.271000;24.614437;0;178
11;M-11897-x40-04.tif;2049;803.964373;292.637384;41.994791;62.658167;1.089250;1.492046;0.670221;0.664503;69.000000;0.742162;167.471000;29.693997;0;170
12;M-11897-x40-04.tif;2236;841.414132;358.137746;43.057562;66.463151;1.078787;1.543588;0.647841;0.644496;53.000000;0.761775;174.104000;26.179338;0;201
13;M-11897-x40-04.tif;1618;848.946848;414.504326;43.063290;47.965028;0.990434;1.113826;0.897806;0.895446;33.000000;0.440391;141.908000;22.556242;0;247
