No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-05.tif;664;147.216867;36.262048;25.407903;33.395418;0.974247;1.314371;0.760820;0.758061;13.000000;0.648963;90.162000;0.476799;1.913043e-01;8.750000e-01
2;M-11897-x40-05.tif;3792;201.150580;746.283228;70.480110;94.278208;2.485622;1.337657;0.747576;0.543195;1261.000000;0.664176;344.157000;0.390698;2.764977e-02;6.644737e-01
3;M-11897-x40-05.tif;663;304.404223;794.936652;24.156820;35.058433;0.995861;1.451285;0.689044;0.686813;17.000000;0.724719;91.088000;0.350805;4.629630e-02;6.010101e-01
4;M-11897-x40-05.tif;624;302.102564;475.703526;25.580784;31.244653;0.966414;1.221411;0.818725;0.813848;16.000000;0.574186;87.052000;0.387443;2.142857e-01;5.117647e-01
5;M-11897-x40-05.tif;695;338.400000;153.410072;26.669078;33.490568;1.005467;1.255783;0.796316;0.788951;25.000000;0.604881;93.709000;0.393338;1.222707e-01;4.589372e-01
6;M-11897-x40-05.tif;915;358.319126;249.236066;32.584233;37.904571;1.184779;1.163280;0.859639;0.810864;73.000000;0.510903;116.717000;0.453991;1.028037e-01;7.446809e-01
7;M-11897-x40-05.tif;847;366.624557;695.070838;28.018584;39.027473;1.033180;1.392914;0.717919;0.708032;33.000000;0.696126;104.866000;0.317597;1.751152e-01;4.263959e-01
8;M-11897-x40-05.tif;713;377.165498;157.363254;26.443967;35.343684;1.187998;1.336550;0.748195;0.726735;46.000000;0.663479;103.171000;0.382261;1.830986e-01;4.536585e-01
9;M-11897-x40-05.tif;3287;408.542744;115.065713;69.564874;87.762533;2.626625;1.261593;0.792649;0.543365;1228.000000;0.609678;329.385000;0.407382;1.434978e-01;5.722222e-01
10;M-11897-x40-05.tif;2424;423.242162;282.021865;30.453086;106.868509;1.797062;3.509283;0.284958;0.270236;318.000000;0.958540;233.966000;0.444480;1.441860e-01;6.918239e-01
11;M-11897-x40-05.tif;830;412.957831;558.622892;28.008996;38.974983;1.211992;1.391517;0.718640;0.695691;66.000000;0.695382;112.433000;0.352524;1.682243e-01;4.680851e-01
12;M-11897-x40-05.tif;771;429.273671;526.119326;29.686398;33.262386;0.985786;1.120459;0.892492;0.887274;23.000000;0.451064;97.729000;0.359631;1.345291e-01;4.532020e-01
13;M-11897-x40-05.tif;6159;515.197759;629.562429;52.324598;162.533578;2.106591;3.106256;0.321931;0.296848;953.000000;0.946763;403.785000;0.397246;1.181818e-01;6.101695e-01
14;M-11897-x40-05.tif;667;472.692654;481.884558;22.949126;37.391412;1.076538;1.629317;0.613754;0.607424;27.000000;0.789497;94.991000;0.385910;8.968610e-02;4.921466e-01
15;M-11897-x40-05.tif;780;492.482051;190.725641;25.691116;38.913291;1.027214;1.514659;0.660214;0.655856;21.000000;0.751077;100.342000;0.447557;1.273585e-01;9.357143e-01
16;M-11897-x40-05.tif;720;499.602778;426.326389;24.381694;37.948994;1.065096;1.556454;0.642486;0.636564;24.000000;0.766297;98.167000;0.395645;1.091703e-01;6.826347e-01
17;M-11897-x40-05.tif;4333;556.402723;725.757443;60.273755;112.996014;2.036929;1.874713;0.533415;0.432088;982.000000;0.845854;333.033000;0.457673;1.000000e-01;6.800000e-01
18;M-11897-x40-05.tif;2783;558.831117;97.966583;48.812421;133.671206;3.609445;2.738467;0.365168;0.198311;2033.000000;0.930942;355.289000;0.460355;5.213270e-02;7.191781e-01
19;M-11897-x40-05.tif;963;578.003115;615.717549;32.258426;38.633177;1.013345;1.197615;0.834993;0.821515;28.000000;0.550261;110.738000;0.331639;1.090047e-01;4.432432e-01
20;M-11897-x40-05.tif;646;590.845201;111.563467;24.937002;33.347676;1.063869;1.337277;0.747788;0.739625;27.000000;0.663937;92.932000;0.471375;1.179245e-01;8.648649e-01
21;M-11897-x40-05.tif;4147;663.729925;489.027731;53.455066;119.530707;1.779727;2.236097;0.447208;0.369560;866.000000;0.894430;304.543000;0.607953;4.629630e-03;1
22;M-11897-x40-05.tif;3012;658.156707;404.974104;45.711967;90.964548;1.765590;1.989950;0.502525;0.463469;365.000000;0.864563;258.510000;0.604359;1.422222e-01;1
23;M-11897-x40-05.tif;3492;717.532073;426.869702;55.362673;81.462162;1.116229;1.471428;0.679612;0.669996;117.000000;0.733572;221.319000;0.591977;2.139303e-01;1
24;M-11897-x40-05.tif;5967;732.131054;611.514664;88.419680;103.196004;2.934333;1.167116;0.856813;0.713412;1266.000000;0.515627;469.070000;0.492606;1.333333e-02;1
25;M-11897-x40-05.tif;1043;716.715244;370.098754;32.970033;40.543720;0.980450;1.229714;0.813197;0.807881;16.000000;0.581988;113.360000;0.624933;1.646341e-01;1
26;M-11897-x40-05.tif;3747;759.074726;459.547104;47.771024;114.765126;1.845276;2.402400;0.416250;0.362221;671.000000;0.909250;294.766000;0.561461;1.099476e-01;9.818182e-01
27;M-11897-x40-05.tif;2133;755.022035;325.288795;48.323380;56.328219;0.978162;1.165651;0.857889;0.855951;23.000000;0.513834;161.922000;0.572124;1.959799e-01;8.854962e-01
28;M-11897-x40-05.tif;2727;765.667033;518.086175;45.306576;82.919104;1.515765;1.830178;0.546395;0.504994;310.000000;0.837528;227.910000;0.617958;3.030303e-02;1
29;M-11897-x40-05.tif;1879;769.120809;383.445982;44.946026;53.364279;0.983569;1.187297;0.842249;0.840109;27.000000;0.539088;152.395000;0.597469;2.244898e-01;9.261745e-01
30;M-11897-x40-05.tif;1388;811.953170;192.119597;32.492314;61.906789;1.716638;1.905275;0.524859;0.461130;287.000000;0.851189;173.037000;0.429515;1.376147e-01;5.444444e-01
31;M-11897-x40-05.tif;1599;808.394622;336.245153;41.996725;48.913768;0.993352;1.164704;0.858587;0.850935;29.000000;0.512668;141.280000;0.598833;5.140187e-02;1
32;M-11897-x40-05.tif;3982;836.987946;406.069563;54.554392;97.271498;1.491647;1.783019;0.560847;0.535846;461.000000;0.827920;273.205000;0.568396;1.952381e-01;8.991597e-01
33;M-11897-x40-05.tif;1964;825.789715;459.422607;46.849663;54.058116;1.101754;1.153864;0.866654;0.855716;56.000000;0.498910;164.899000;0.567788;4.225352e-02;9.275362e-01
34;M-11897-x40-05.tif;6702;933.960758;50.107281;62.015681;151.217113;2.705926;2.438369;0.410110;0.373175;1804.000000;0.912036;477.381000;0.570453;9.950249e-03;1
35;M-11897-x40-05.tif;1537;907.793754;423.777489;43.218555;45.775836;0.988769;1.059171;0.944135;0.933924;23.000000;0.329560;138.194000;0.575073;7.075472e-02;9.897959e-01
