No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-05.tif;935;146.971123;35.389305;34.228718;37.136124;1.426802;1.084941;0.921709;0.863234;119.000000;0.387881;129.477000;93.248128;71;125
2;M-11897-x40-05.tif;720;179.444444;355.065278;28.485550;32.664461;1.006342;1.146703;0.872066;0.859195;20.000000;0.489389;95.421000;111.400000;79;126
3;M-11897-x40-05.tif;694;304.357349;793.955331;23.554029;37.614316;1.022990;1.596938;0.626199;0.624544;13.000000;0.779664;94.454000;96.978386;75;128
4;M-11897-x40-05.tif;1839;414.772703;271.311039;33.065719;73.349779;1.561467;2.218303;0.450795;0.435205;237.000000;0.892627;189.960000;88.803698;76;126
5;M-11897-x40-05.tif;772;445.012953;309.237047;29.398025;34.153082;1.126776;1.161748;0.860772;0.842690;52.000000;0.508990;104.552000;92.449482;79;122
6;M-11897-x40-05.tif;949;473.477345;479.472076;29.725538;42.505407;1.211990;1.429929;0.699335;0.668787;89.000000;0.714794;120.223000;97.501581;84;126
7;M-11897-x40-05.tif;881;499.165721;426.894438;27.860200;41.201659;1.131435;1.478872;0.676191;0.660780;46.000000;0.736726;111.920000;94.418842;74;123
8;M-11897-x40-05.tif;1159;519.468507;744.021570;34.838800;44.456149;1.326684;1.276053;0.783667;0.746672;97.000000;0.621182;139.005000;93.265746;79;127
9;M-11897-x40-05.tif;600;514.530000;103.555000;24.768398;32.285554;1.192371;1.303498;0.767167;0.732900;49.000000;0.641448;94.817000;110.018333;82;122
10;M-11897-x40-05.tif;1269;548.234831;84.672971;39.229499;42.776240;1.217898;1.090410;0.917086;0.883012;117.000000;0.398689;139.361000;116.435776;74;131
11;M-11897-x40-05.tif;3375;569.670222;718.933333;64.260813;68.518015;1.272188;1.066249;0.937867;0.915323;231.000000;0.346994;232.283000;88.084741;76;126
12;M-11897-x40-05.tif;312;607.266026;77.243590;11.733461;35.396481;1.573401;3.016713;0.331487;0.317062;30.000000;0.943460;78.542000;108.750000;96;125
13;M-11897-x40-05.tif;1190;700.626891;623.363866;38.051794;40.493370;1.163569;1.064165;0.939704;0.924037;80.000000;0.341988;131.909000;97.780672;73;126
14;M-11897-x40-05.tif;707;796.325318;214.456860;29.745581;31.526685;1.142626;1.059878;0.943505;0.905676;59.000000;0.331359;100.755000;98.301273;84;125
15;M-11897-x40-05.tif;1592;816.408920;187.560930;36.074212;57.526748;1.197689;1.594678;0.627086;0.612510;86.000000;0.778950;154.792000;93.927136;81;126
16;M-11897-x40-05.tif;1218;968.453202;115.899015;36.870378;43.350513;1.234638;1.175755;0.850518;0.825218;94.000000;0.525946;137.467000;96.385057;73;129
17;M-11897-x40-05.tif;1417;1002.102329;294.627382;31.440927;58.103719;1.235651;1.848028;0.541117;0.534407;73.000000;0.840947;148.333000;90.332392;70;124
18;M-11897-x40-05.tif;4756;1276.225189;407.450378;63.281679;140.755801;3.638216;2.224274;0.449585;0.305646;3491.000000;0.893238;466.305000;98.236543;70;132
19;M-11897-x40-05.tif;901;1262.354051;462.162042;29.175177;41.170850;1.252968;1.411160;0.708637;0.676792;70.000000;0.705574;119.107000;97.017758;74;130
20;M-11897-x40-05.tif;960;1482.786458;319.771875;30.343655;40.708725;1.096034;1.341589;0.745385;0.737575;40.000000;0.666635;114.988000;98.239583;84;126
21;M-11897-x40-05.tif;1386;1522.524531;281.610390;27.206522;66.311164;1.412146;2.437326;0.410286;0.401329;75.000000;0.911957;156.829000;101.209235;88;130
