No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-06.tif;2723;342.554535;167.954462;43.626784;85.104627;1.715477;1.950743;0.512625;0.478687;434.000000;0.858612;242.282000;137.058024;50;210
2;M-11897-x40-06.tif;2433;357.930127;81.257296;48.563090;81.038892;1.794181;1.668734;0.599257;0.471699;587.000000;0.800557;234.212000;125.475956;44;223
3;M-11897-x40-06.tif;2199;386.268759;716.407458;45.964845;66.753423;1.372947;1.452271;0.688577;0.628331;250.000000;0.725164;194.780000;128.984538;25;232
4;M-11897-x40-06.tif;6101;436.078184;334.163088;74.849680;122.945372;2.777340;1.642564;0.608804;0.513910;2123.000000;0.793320;461.445000;138.621537;79;221
5;M-11897-x40-06.tif;2099;582.916151;227.162458;40.321818;70.117555;1.379612;1.738948;0.575060;0.543587;241.000000;0.818111;190.761000;139.329681;84;202
6;M-11897-x40-06.tif;585;593.075214;260.911111;20.761741;36.334366;1.074395;1.750064;0.571408;0.564197;22.000000;0.820666;88.872000;134.717949;99;226
7;M-11897-x40-06.tif;660;610.284848;141.254545;22.879209;38.094312;1.182370;1.665019;0.600594;0.579074;52.000000;0.799554;99.027000;149.056061;116;210
8;M-11897-x40-06.tif;4484;634.633586;198.526762;70.020553;86.501939;1.371578;1.235379;0.809468;0.762999;553.000000;0.587164;278.002000;126.529438;86;216
9;M-11897-x40-06.tif;762;623.775591;458.322835;23.327194;42.802773;1.181075;1.834887;0.544993;0.529567;38.000000;0.838441;106.346000;151.602362;120;199
10;M-11897-x40-06.tif;973;653.018499;542.468654;27.758902;45.281107;1.100622;1.631228;0.613035;0.604211;28.000000;0.790056;116.006000;131.139774;58;204
11;M-11897-x40-06.tif;714;664.170868;581.337535;22.734030;40.239618;1.095509;1.770017;0.564966;0.561436;18.000000;0.825114;99.143000;143.387955;85;225
12;M-11897-x40-06.tif;4019;715.664593;564.000498;58.181346;99.807203;1.807603;1.715450;0.582937;0.513694;750.000000;0.812517;302.145000;143.828813;65;212
13;M-11897-x40-06.tif;2264;698.731890;664.644876;48.875876;62.017986;1.651003;1.268887;0.788092;0.749465;330.000000;0.615558;216.729000;156.180212;107;223
14;M-11897-x40-06.tif;1153;686.825672;779.369471;30.426610;49.656138;1.187272;1.631997;0.612746;0.595379;72.000000;0.790280;131.158000;93.203816;14;229
15;M-11897-x40-06.tif;2374;718.119208;279.498315;51.705879;60.832537;1.315635;1.176511;0.849971;0.816806;263.000000;0.526830;198.113000;108.667650;18;227
16;M-11897-x40-06.tif;1273;715.215240;52.087196;34.687112;52.132317;1.579783;1.502930;0.665367;0.596382;182.000000;0.746517;158.971000;104.014140;19;215
17;M-11897-x40-06.tif;2252;733.573712;453.976909;46.399310;64.611575;1.240241;1.392512;0.718127;0.686844;220.000000;0.695912;187.345000;114.603464;30;219
18;M-11897-x40-06.tif;629;727.763116;522.352941;21.835186;37.656283;1.129087;1.724569;0.579855;0.564789;18.000000;0.814720;94.470000;153.937997;129;197
19;M-11897-x40-06.tif;1471;739.409925;354.643100;34.451826;55.935808;1.156985;1.623595;0.615917;0.598609;117.000000;0.787811;146.243000;99.288919;26;209
