No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-02.tif;1069;34.276894;567.614593;31.079152;44.323213;1.047579;1.426140;0.701194;0.692828;39.000000;0.712971;118.628000;145.076707;77;226
2;M-11901b-x40-02.tif;3968;80.616179;180.271673;55.677524;95.185392;1.536231;1.709584;0.584938;0.557624;530.000000;0.811078;276.770000;159.106351;113;227
3;M-11901b-x40-02.tif;1180;55.399153;227.511864;34.304324;45.249213;1.233040;1.319053;0.758120;0.733787;102.000000;0.652115;135.218000;168.568644;146;199
4;M-11901b-x40-02.tif;1166;69.345626;397.090909;27.852660;57.492023;1.457292;2.064148;0.484461;0.449152;170.000000;0.874813;146.126000;168.047170;137;223
5;M-11901b-x40-02.tif;4043;124.056888;351.693544;57.501426;93.395424;1.378783;1.624228;0.615677;0.590150;269.000000;0.787999;264.670000;162.179570;130;226
6;M-11901b-x40-02.tif;1421;120.558058;265.033075;32.428823;58.578707;1.309044;1.806378;0.553594;0.527260;98.000000;0.832787;152.890000;158.043631;115;228
7;M-11901b-x40-02.tif;821;137.272838;186.020706;28.878082;36.904494;1.046312;1.277941;0.782509;0.767529;33.000000;0.622640;103.898000;152.739342;104;227
8;M-11901b-x40-02.tif;5094;200.687279;324.154103;75.653205;86.571408;1.342966;1.144319;0.873882;0.865406;218.000000;0.486138;293.202000;157.490185;92;196
9;M-11901b-x40-02.tif;981;210.689093;250.546381;33.584599;43.910555;1.407060;1.307461;0.764841;0.647800;164.000000;0.644219;131.703000;150.495413;93;213
10;M-11901b-x40-02.tif;724;242.570442;373.788674;21.205463;78.859985;3.512895;3.718852;0.268900;0.148230;522.000000;0.963168;178.775000;171.303867;131;219
11;M-11901b-x40-02.tif;4898;291.836872;327.262148;70.761258;90.038835;1.294258;1.272431;0.785897;0.769253;324.000000;0.618357;282.244000;155.242548;101;212
12;M-11901b-x40-02.tif;786;766.192112;447.250636;32.311549;36.214329;1.500001;1.120786;0.892231;0.763083;121.000000;0.451579;121.720000;149.035623;79;200
13;M-11901b-x40-02.tif;3840;825.320052;458.417969;52.303995;101.495934;1.617543;1.940501;0.515331;0.474618;418.000000;0.856991;279.382000;150.879427;101;208
14;M-11901b-x40-02.tif;976;850.105533;55.040984;26.950888;48.418562;1.412142;1.796548;0.556623;0.530074;128.000000;0.830765;131.604000;155.752049;85;209
15;M-11901b-x40-02.tif;4640;884.560129;218.579310;64.846367;97.216475;1.850346;1.499182;0.667031;0.625098;741.000000;0.745030;328.466000;151.350647;77;215
16;M-11901b-x40-02.tif;1850;912.591892;164.515676;41.679812;57.476048;1.186603;1.378990;0.725168;0.713030;106.000000;0.688572;166.090000;141.664324;1;208
17;M-11901b-x40-02.tif;1672;923.044856;582.013756;23.540860;94.237509;1.956558;4.003146;0.249804;0.239717;203.000000;0.968297;202.754000;138.031699;85;234
18;M-11901b-x40-02.tif;843;953.090154;803.099644;26.491330;41.424158;1.094827;1.563687;0.639514;0.625504;29.000000;0.768779;107.694000;125.269276;66;223
19;M-11901b-x40-02.tif;1583;963.264056;171.109286;40.682098;57.698693;1.877343;1.418282;0.705078;0.605423;448.000000;0.709129;193.249000;148.889450;88;229
20;M-11901b-x40-02.tif;971;960.396498;359.647786;34.140226;37.506877;1.199256;1.098612;0.910239;0.878835;73.000000;0.414083;120.968000;130.735324;59;207
21;M-11901b-x40-02.tif;743;964.281292;389.938089;27.302017;37.418351;1.266147;1.370534;0.729642;0.675662;73.000000;0.683829;108.728000;150.791386;102;213
22;M-11901b-x40-02.tif;3812;1042.882214;361.162644;56.060341;87.487144;1.170253;1.560589;0.640784;0.634124;145.000000;0.767721;236.767000;154.331847;116;209
23;M-11901b-x40-02.tif;863;1032.325608;512.745075;29.360667;38.078652;1.048879;1.296927;0.771053;0.757806;37.000000;0.636771;106.653000;149.151796;104;228
24;M-11901b-x40-02.tif;1027;1067.397274;231.682571;27.679195;49.868708;1.385187;1.801668;0.555041;0.525805;98.000000;0.831823;133.704000;156.421616;108;218
25;M-11901b-x40-02.tif;571;1060.148862;520.938704;24.204440;31.038385;1.131468;1.282343;0.779823;0.754654;32.000000;0.626000;90.104000;128.637478;80;229
26;M-11901b-x40-02.tif;867;1072.532872;486.858131;22.633493;50.181302;1.394467;2.217126;0.451034;0.438375;86.000000;0.892507;123.259000;156.301038;110;223
27;M-11901b-x40-02.tif;1162;1125.834768;454.049914;34.027208;47.948930;1.352395;1.409135;0.709655;0.643515;159.000000;0.704549;140.527000;138.694492;85;221
28;M-11901b-x40-02.tif;801;1163.203496;411.057428;28.693446;36.461062;1.022839;1.270710;0.786961;0.767157;22.000000;0.617002;101.467000;150.169788;82;230
29;M-11901b-x40-02.tif;863;1190.869061;775.409038;33.395190;34.182106;1.119968;1.023564;0.976979;0.940423;57.000000;0.213337;110.208000;127.651217;56;225
30;M-11901b-x40-02.tif;567;1191.738977;235.014109;25.555494;29.591036;1.116976;1.157913;0.863623;0.824466;45.000000;0.504139;89.211000;148.768959;99;210
31;M-11901b-x40-02.tif;993;1207.914401;214.331319;29.262895;44.853580;1.135489;1.532780;0.652409;0.628442;46.000000;0.757867;119.034000;138.291037;66;221
32;M-11901b-x40-02.tif;2750;1236.591636;779.694545;55.305322;64.701149;1.103682;1.169890;0.854781;0.836409;109.000000;0.518989;195.296000;122.009455;58;230
33;M-11901b-x40-02.tif;3189;1274.651615;742.312324;62.760183;69.999102;1.305447;1.115343;0.896586;0.828666;377.000000;0.442871;228.724000;145.685481;82;224
34;M-11901b-x40-02.tif;1006;1261.633201;182.912525;32.085135;41.164864;1.077459;1.282989;0.779430;0.755883;32.000000;0.626489;116.709000;139.480119;102;213
35;M-11901b-x40-02.tif;1063;1395.961430;439.503293;24.982386;67.878856;2.095237;2.717069;0.368044;0.293748;295.000000;0.929808;167.297000;151.457197;92;217
36;M-11901b-x40-02.tif;536;1419.138060;495.615672;16.347324;43.465400;1.461790;2.658869;0.376100;0.361233;39.000000;0.926579;99.227000;126.014925;47;234
37;M-11901b-x40-02.tif;5243;1441.687202;734.508678;74.598031;92.055794;1.315717;1.234024;0.810357;0.787749;404.000000;0.585937;294.426000;149.726683;76;207
38;M-11901b-x40-02.tif;2237;1449.536880;366.854716;43.859723;65.106383;1.037415;1.484423;0.673662;0.671938;43.000000;0.739039;170.771000;146.097899;95;221
39;M-11901b-x40-02.tif;546;1448.029304;466.311355;17.641987;41.370140;1.494688;2.344982;0.426443;0.406190;63.000000;0.904515;101.269000;142.217949;78;233
40;M-11901b-x40-02.tif;1243;1465.192277;430.796460;37.932503;50.102920;1.870994;1.320844;0.757092;0.630457;266.000000;0.653309;170.953000;124.540628;53;226
41;M-11901b-x40-02.tif;2480;1481.139516;684.380242;43.732040;73.138990;1.247859;1.672435;0.597931;0.590288;132.000000;0.801548;197.203000;143.242742;76;225
42;M-11901b-x40-02.tif;830;1489.886747;459.172289;28.823099;38.872743;1.220761;1.348666;0.741473;0.699355;72.000000;0.670982;112.839000;154.403614;114;211
43;M-11901b-x40-02.tif;1893;1498.270998;366.787639;37.999445;67.026174;1.458172;1.763872;0.566934;0.536503;203.000000;0.823763;186.245000;131.836767;63;232
44;M-11901b-x40-02.tif;689;1550.635704;439.468795;21.950369;41.313599;1.187560;1.882137;0.531311;0.513977;54.000000;0.847177;101.401000;149.169811;109;219
45;M-11901b-x40-02.tif;660;1558.603030;408.624242;26.890538;31.665252;1.021209;1.177561;0.849213;0.838085;30.000000;0.528051;92.031000;128.227273;85;226
