No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-02.tif;953;348.973767;379.717733;21.878731;68.091037;2.011240;3.112202;0.321316;0.261712;154.000000;0.946972;155.197000;0.417494;1.708515e-01;9.270550e-01
2;M-11901b-x40-02.tif;2314;365.063094;340.863440;45.839879;78.089353;2.206744;1.703524;0.587018;0.483159;525.000000;0.809574;253.316000;0.375173;8.320150e-02;1.013231e+00
3;M-11901b-x40-02.tif;2396;411.486227;388.656093;50.623678;64.109655;1.704440;1.266397;0.789642;0.742250;265.000000;0.613568;226.537000;0.425122;1.887539e-01;6.847654e-01
4;M-11901b-x40-02.tif;3674;443.032118;441.380784;56.822786;85.699808;1.362861;1.508194;0.663044;0.636927;228.000000;0.748580;250.842000;0.395956;1.888731e-01;9.810562e-01
5;M-11901b-x40-02.tif;3012;491.717463;391.141102;54.502342;72.027219;1.508817;1.321544;0.756691;0.739217;253.000000;0.653773;238.974000;0.452570;2.731284e-01;6.600734e-01
6;M-11901b-x40-02.tif;2323;544.089539;418.947051;47.337961;63.235146;1.193225;1.335823;0.748602;0.739677;133.000000;0.663020;186.634000;0.447424;1.780525e-01;1.161523e+00
7;M-11901b-x40-02.tif;6393;590.841389;295.099015;68.215695;120.695253;1.571007;1.769318;0.565190;0.558772;496.000000;0.824961;355.260000;0.365846;1.078166e-01;7.062874e-01
8;M-11901b-x40-02.tif;859;664.660070;235.251455;30.009977;37.676077;1.300913;1.255452;0.796526;0.770499;78.000000;0.604604;118.502000;0.454035;3.169813e-01;5.948849e-01
9;M-11901b-x40-02.tif;5545;767.589360;254.855726;85.240554;91.820945;2.679000;1.077198;0.928335;0.837391;996.000000;0.371746;432.058000;0.465448;2.282768e-01;7.004821e-01
10;M-11901b-x40-02.tif;2317;818.356495;465.635736;45.090513;69.222308;1.812937;1.535186;0.651387;0.615664;349.000000;0.758746;229.752000;0.464434;2.222644e-01;9.944500e-01
11;M-11901b-x40-02.tif;359;866.448468;185.328691;15.768163;30.729005;1.279861;1.948801;0.513136;0.484069;43.000000;0.858307;75.986000;0.424333;2.146962e-01;7.759522e-01
12;M-11901b-x40-02.tif;1489;890.187374;217.434520;40.221855;48.824183;1.646544;1.213872;0.823810;0.795307;159.000000;0.566866;175.525000;0.457141;2.714008e-01;7.276206e-01
13;M-11901b-x40-02.tif;1071;900.730159;163.816060;31.574386;50.617326;1.651484;1.603114;0.623786;0.532232;190.000000;0.781595;149.086000;0.359688;1.017817e-03;9.836913e-01
14;M-11901b-x40-02.tif;1380;922.845652;581.848551;20.986410;88.579543;2.282965;4.220805;0.236922;0.223935;247.000000;0.971529;198.973000;0.409639;1.646701e-01;1.363356e+00
15;M-11901b-x40-02.tif;652;953.009202;802.250000;23.451028;36.898923;1.164109;1.573446;0.635548;0.609720;32.000000;0.772062;97.662000;0.314730;1.044456e-01;9.415519e-01
16;M-11901b-x40-02.tif;579;1193.390328;778.075993;25.656695;29.078153;0.980493;1.133355;0.882336;0.871877;12.000000;0.470620;84.463000;0.310058;7.176696e-02;1.505019e+00
17;M-11901b-x40-02.tif;2991;1241.466734;774.447008;55.126743;70.104211;1.169122;1.271692;0.786354;0.774887;138.000000;0.617776;209.625000;0.324717;7.183363e-02;1.395905e+00
18;M-11901b-x40-02.tif;823;1261.832321;181.660996;29.190105;37.094603;1.074248;1.270794;0.786910;0.761533;28.000000;0.617068;105.404000;0.417717;2.343152e-01;1.115197e+00
