No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-03.tif;3177;374.050677;117.380862;65.818782;69.326886;2.428965;1.053299;0.949398;0.841635;670.000000;0.314077;311.404000;214.960655;69;255
2;M-11901b-x40-03.tif;3135;455.891547;254.380223;56.301713;73.540405;1.537098;1.306184;0.765589;0.738067;330.000000;0.643330;246.079000;200.272408;94;255
3;M-11901b-x40-03.tif;2229;561.190220;360.358457;52.195532;54.908164;1.193996;1.051971;0.950597;0.941340;92.000000;0.310428;182.878000;193.180350;107;255
4;M-11901b-x40-03.tif;913;565.869660;588.897043;27.823807;43.084213;1.144192;1.548466;0.645801;0.626245;53.000000;0.763506;114.575000;190.099671;65;255
5;M-11901b-x40-03.tif;2878;613.941279;423.700139;54.960335;67.126782;1.034026;1.221368;0.818754;0.813222;73.000000;0.574144;193.382000;200.764767;104;255
6;M-11901b-x40-03.tif;2954;701.091401;357.342586;54.253227;69.529005;1.008465;1.281564;0.780296;0.778016;44.000000;0.625410;193.482000;196.913676;99;255
7;M-11901b-x40-03.tif;2875;715.585391;407.440000;49.649921;74.212764;1.069384;1.494721;0.669021;0.664647;68.000000;0.743243;196.558000;210.442435;69;255
8;M-11901b-x40-03.tif;2618;722.221925;494.243697;47.608862;71.787560;1.304880;1.507861;0.663191;0.646817;138.000000;0.748450;207.193000;199.309396;83;255
9;M-11901b-x40-03.tif;4361;842.351754;513.620271;72.823807;78.905325;1.391686;1.083510;0.922926;0.891833;399.000000;0.384976;276.165000;206.300848;119;255
10;M-11901b-x40-03.tif;3170;851.532177;322.014826;61.017233;67.527926;1.084326;1.106703;0.903585;0.885121;70.000000;0.428408;207.833000;198.133123;103;255
11;M-11901b-x40-03.tif;2514;891.794352;286.035402;50.928449;64.083842;1.099654;1.258311;0.794716;0.779432;68.000000;0.606982;186.387000;195.922434;84;255
12;M-11901b-x40-03.tif;3455;898.991896;454.150217;61.585671;71.712757;1.045268;1.164439;0.858783;0.855392;79.000000;0.512340;213.031000;188.192185;125;255
13;M-11901b-x40-03.tif;2971;902.419051;558.401548;53.653387;74.387884;1.262453;1.386453;0.721265;0.683610;259.000000;0.692659;217.102000;195.282060;103;255
14;M-11901b-x40-03.tif;3000;978.564667;565.562000;49.610075;77.487496;1.227377;1.561931;0.640233;0.636163;127.000000;0.768181;215.107000;204.042667;76;255
15;M-11901b-x40-03.tif;3621;1005.876830;378.683237;64.456028;72.859667;1.331681;1.130378;0.884660;0.868489;272.000000;0.466237;246.161000;185.810826;98;255
16;M-11901b-x40-03.tif;3195;1009.644757;522.830986;51.029792;80.862235;1.190362;1.584608;0.631071;0.622142;120.000000;0.775725;218.615000;210.667606;81;255
17;M-11901b-x40-03.tif;2931;1110.600136;407.661208;60.035143;62.961581;1.051163;1.048745;0.953520;0.941401;94.000000;0.301329;196.765000;201.010918;109;255
18;M-11901b-x40-03.tif;3233;1152.716981;271.706465;54.226034;77.338085;1.498220;1.426217;0.701156;0.688223;243.000000;0.713008;246.715000;210.383235;107;255
19;M-11901b-x40-03.tif;2453;1192.576029;385.831227;41.114159;79.572710;1.539401;1.935409;0.516687;0.493264;328.000000;0.856175;217.836000;189.719527;71;255
20;M-11901b-x40-03.tif;534;1185.520599;440.091760;16.431386;57.314128;2.248282;3.488089;0.286690;0.206980;258.000000;0.958023;122.829000;204.891386;128;255
21;M-11901b-x40-03.tif;1975;1201.358481;319.795443;44.793659;58.567877;1.504602;1.307504;0.764816;0.733092;235.000000;0.644249;193.241000;195.581772;57;255
22;M-11901b-x40-03.tif;2241;1252.039268;394.163320;47.028761;68.910845;1.596058;1.465292;0.682458;0.600865;271.000000;0.730925;212.007000;194.910308;119;255
23;M-11901b-x40-03.tif;1544;1314.704663;400.156736;28.185081;78.106825;2.119073;2.771212;0.360853;0.322240;349.000000;0.932623;202.769000;194.236399;83;255
24;M-11901b-x40-03.tif;975;1400.913846;391.755897;32.546916;40.003685;1.260570;1.229108;0.813598;0.775737;85.000000;0.581428;124.277000;189.138462;88;255
25;M-11901b-x40-03.tif;2044;1447.482877;418.219178;37.871653;72.330395;1.604627;1.909882;0.523593;0.497450;314.000000;0.851969;203.017000;193.702055;99;255
26;M-11901b-x40-03.tif;1150;1451.085217;469.919130;24.479421;67.143483;1.761469;2.742854;0.364584;0.324788;170.000000;0.931171;159.548000;201.053913;65;255
27;M-11901b-x40-03.tif;3820;1530.400524;321.587173;68.113205;72.514769;1.137247;1.064621;0.939301;0.924955;176.000000;0.343094;233.649000;190.390052;105;255
28;M-11901b-x40-03.tif;2020;1539.155446;400.901485;46.931258;63.689855;2.019328;1.357088;0.736872;0.634046;481.000000;0.676033;226.404000;206.842079;94;255
