No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-05.tif;1613;470.180409;49.508989;30.250875;75.728846;1.637175;2.503361;0.399463;0.358114;333.000000;0.916749;182.167000;117.780533;25;196
2;M-11901b-x40-05.tif;1566;514.409962;74.803959;31.615417;81.080391;2.008271;2.564584;0.389927;0.303298;418.000000;0.920846;198.798000;81.906130;0;223
3;M-11901b-x40-05.tif;1676;555.695107;771.696897;33.363923;73.533779;1.599057;2.203991;0.453722;0.394648;292.000000;0.891143;183.516000;89.494033;3;222
4;M-11901b-x40-05.tif;5443;594.414845;86.903178;69.861842;100.531882;1.401780;1.439010;0.694922;0.685711;271.000000;0.719085;309.645000;88.007533;0;209
5;M-11901b-x40-05.tif;874;605.659039;756.410755;28.651889;42.813257;1.711483;1.494256;0.669229;0.607107;144.000000;0.743056;137.103000;101.243707;0;215
6;M-11901b-x40-05.tif;4172;826.497124;300.506232;65.214418;86.256772;1.578224;1.322664;0.756050;0.713950;631.000000;0.654514;287.648000;187.174497;1;232
7;M-11901b-x40-05.tif;744;840.022849;710.850806;24.926920;40.461375;1.246807;1.623200;0.616067;0.578631;74.000000;0.787694;107.967000;100.780914;5;223
8;M-11901b-x40-05.tif;1276;851.492163;750.347962;38.253617;50.425623;1.742376;1.318192;0.758615;0.638937;285.000000;0.651540;167.148000;127.081505;77;219
9;M-11901b-x40-05.tif;990;871.647475;76.562626;28.497542;45.081168;1.099550;1.581932;0.632139;0.620233;40.000000;0.774855;116.958000;74.610101;0;236
10;M-11901b-x40-05.tif;6891;939.345523;566.068350;90.105136;102.502911;1.924433;1.137592;0.879050;0.835064;1269.000000;0.476730;408.223000;88.612973;1;189
11;M-11901b-x40-05.tif;2006;1010.567797;186.472582;46.350029;71.037790;1.901644;1.532637;0.652470;0.506130;479.000000;0.757815;218.945000;89.624128;0;223
12;M-11901b-x40-05.tif;3147;1024.608516;484.883699;43.640138;95.595584;1.604983;2.190543;0.456508;0.438461;311.000000;0.889719;251.935000;76.013982;0;202
13;M-11901b-x40-05.tif;965;1034.768912;441.083938;24.632083;59.777622;1.766017;2.426820;0.412062;0.343843;231.000000;0.911156;146.341000;108.522280;24;213
14;M-11901b-x40-05.tif;6163;1173.670615;132.362648;82.600900;97.715616;1.572143;1.182985;0.845319;0.821816;501.000000;0.534261;348.937000;91.761967;1;218
15;M-11901b-x40-05.tif;3851;1207.418852;255.340431;56.967846;90.061319;1.375741;1.580915;0.632545;0.604515;489.000000;0.774524;258.024000;190.683199;44;223
16;M-11901b-x40-05.tif;4350;1209.233793;470.462529;66.337469;95.276126;1.627529;1.436234;0.696265;0.610142;840.000000;0.717784;298.273000;85.493333;10;208
17;M-11901b-x40-05.tif;1698;1240.912839;300.934040;32.867325;69.291689;1.524046;2.108224;0.474333;0.450283;206.000000;0.880346;180.332000;164.935807;73;212
18;M-11901b-x40-05.tif;2886;1277.492030;479.761261;60.935649;64.535305;1.461817;1.059073;0.944222;0.882291;319.000000;0.329310;230.250000;81.343382;0;200
19;M-11901b-x40-05.tif;5670;1307.909700;121.651852;82.422118;90.798976;1.336246;1.101634;0.907743;0.875651;455.000000;0.419527;308.560000;90.101411;0;226
20;M-11901b-x40-05.tif;755;1315.917881;338.969536;23.419278;46.532641;1.629802;1.986937;0.503287;0.443958;120.000000;0.864119;124.350000;151.344371;113;195
21;M-11901b-x40-05.tif;975;1335.561026;383.891282;28.710434;47.119964;1.306421;1.641214;0.609305;0.559120;114.000000;0.792936;126.517000;177.305641;55;231
