No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-05.tif;3079;485.367977;693.105229;58.772467;67.314273;1.053973;1.145337;0.873106;0.865178;74.000000;0.487531;201.941000;133.654433;80;221
2;M-11901b-x40-05.tif;3060;480.231046;580.254902;52.698585;76.360296;1.216110;1.449001;0.690131;0.668184;156.000000;0.723685;216.248000;126.357843;34;192
3;M-11901b-x40-05.tif;5106;518.037603;458.559734;72.098140;92.654986;1.151141;1.285123;0.778136;0.757275;280.000000;0.628096;271.775000;127.678809;81;215
4;M-11901b-x40-05.tif;1488;513.743952;74.602823;31.873046;77.911160;2.057131;2.444422;0.409095;0.312114;401.000000;0.912492;196.127000;127.521505;3;223
5;M-11901b-x40-05.tif;5151;572.898855;551.382450;77.603736;85.617278;1.127179;1.103262;0.906403;0.894703;236.000000;0.422415;270.114000;119.498932;75;216
6;M-11901b-x40-05.tif;3150;594.337143;479.926984;58.986007;68.489047;1.042435;1.161107;0.861247;0.855024;61.000000;0.508186;203.135000;121.700952;74;219
7;M-11901b-x40-05.tif;3135;599.453907;79.792026;58.734272;68.293373;1.022473;1.162752;0.860029;0.855836;76.000000;0.510245;200.701000;126.354705;64;203
8;M-11901b-x40-05.tif;3968;608.890373;375.855091;65.244546;81.339971;1.727472;1.246694;0.802122;0.763614;379.000000;0.597161;293.492000;135.436240;90;208
9;M-11901b-x40-05.tif;3624;643.804912;436.676325;64.892186;71.317648;1.000869;1.099018;0.909904;0.907203;55.000000;0.414820;213.495000;130.796634;71;192
10;M-11901b-x40-05.tif;3493;752.896937;561.967650;62.338433;71.495401;1.022060;1.146891;0.871922;0.870067;64.000000;0.489644;211.808000;126.832522;67;190
11;M-11901b-x40-05.tif;4477;767.929417;639.050034;67.220786;86.757001;1.416216;1.290628;0.774817;0.757335;354.000000;0.632186;282.269000;127.906857;69;215
12;M-11901b-x40-05.tif;3879;765.859758;188.645785;62.775135;78.785675;1.007418;1.255046;0.796784;0.795674;63.000000;0.604265;221.600000;138.592936;66;200
13;M-11901b-x40-05.tif;2918;769.175463;378.469157;55.721118;67.436340;1.140813;1.210247;0.826277;0.816972;132.000000;0.563264;204.529000;129.614805;81;191
14;M-11901b-x40-05.tif;3485;795.590531;508.107604;59.899750;78.865333;1.462952;1.316622;0.759519;0.713412;360.000000;0.650485;253.117000;121.254806;27;215
15;M-11901b-x40-05.tif;309;764.922330;475.608414;19.481328;21.153448;1.134082;1.085832;0.920953;0.879238;32.000000;0.389674;66.360000;141.546926;76;194
16;M-11901b-x40-05.tif;2584;788.306115;124.351393;55.251500;60.142188;1.003594;1.088517;0.918681;0.909587;55.000000;0.395000;180.522000;120.948142;34;207
17;M-11901b-x40-05.tif;1387;827.656092;225.335977;34.349309;54.096300;1.294131;1.574888;0.634966;0.603464;114.000000;0.772540;150.187000;110.556597;53;212
18;M-11901b-x40-05.tif;4722;866.846040;397.686997;75.934628;80.378493;1.215233;1.058522;0.944713;0.930586;318.000000;0.327898;268.533000;132.652690;58;195
19;M-11901b-x40-05.tif;3444;863.564170;174.154472;62.547462;70.810106;1.016226;1.132102;0.883313;0.874546;75.000000;0.468784;209.716000;130.608885;69;194
20;M-11901b-x40-05.tif;4355;874.619059;487.316418;62.758833;89.190235;1.151582;1.421158;0.703651;0.697050;190.000000;0.710545;251.042000;136.247991;72;201
21;M-11901b-x40-05.tif;1018;871.031434;75.717092;29.098210;45.216532;1.079608;1.553928;0.643530;0.633962;35.000000;0.765421;117.520000;113.764244;2;237
22;M-11901b-x40-05.tif;3590;905.639276;291.110864;59.545641;79.982098;1.283125;1.343207;0.744487;0.714528;243.000000;0.667637;240.595000;122.615042;69;200
