No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-05.tif;3185;484.596860;693.015071;59.305102;68.809139;1.032127;1.160257;0.861878;0.856500;68.000000;0.507115;203.248000;102.706750;49;206
2;M-11901b-x40-05.tif;1620;515.106790;74.380247;32.335959;84.194123;2.221126;2.603731;0.384064;0.290979;478.000000;0.923306;212.642000;113.722222;25;227
3;M-11901b-x40-05.tif;957;680.553814;608.896552;27.895295;49.679060;1.705085;1.780912;0.561510;0.493714;189.000000;0.827470;143.197000;139.863114;83;221
4;M-11901b-x40-05.tif;4017;766.119990;189.007966;64.398743;79.534655;1.025192;1.235034;0.809694;0.808536;76.000000;0.586852;227.488000;107.625840;48;168
5;M-11901b-x40-05.tif;2547;788.774244;124.905771;53.902999;60.789027;1.037758;1.127749;0.886723;0.877584;67.000000;0.462302;182.250000;94.127208;26;181
6;M-11901b-x40-05.tif;1345;827.878810;225.368030;33.958726;53.522663;1.416593;1.576109;0.634474;0.597801;139.000000;0.772944;154.735000;77.386617;39;170
7;M-11901b-x40-05.tif;1034;871.401354;76.303675;29.179383;45.825223;1.098652;1.570466;0.636754;0.626933;36.000000;0.771067;119.480000;103.617988;18;238
8;M-11901b-x40-05.tif;432;879.009259;248.585648;20.825271;29.421026;1.486181;1.412756;0.707836;0.635445;72.000000;0.706376;89.822000;152.724537;83;223
9;M-11901b-x40-05.tif;2095;1010.227685;185.961814;48.729140;68.806261;2.225442;1.412015;0.708208;0.563428;500.000000;0.706004;242.050000;133.960859;73;226
10;M-11901b-x40-05.tif;2569;1016.084858;489.072791;48.259111;68.884922;1.292033;1.427397;0.700576;0.689328;174.000000;0.713578;204.232000;98.258077;27;225
11;M-11901b-x40-05.tif;3369;1189.997032;140.041259;54.555806;79.514287;1.199554;1.457485;0.686113;0.678455;115.000000;0.727495;225.354000;104.994954;43;225
12;M-11901b-x40-05.tif;2606;1201.503454;304.401765;57.219003;58.579819;1.208209;1.023783;0.976770;0.966915;132.000000;0.214291;198.913000;93.707598;30;207
13;M-11901b-x40-05.tif;3353;1273.949597;331.203698;54.051608;79.479919;1.081753;1.470445;0.680066;0.675817;102.000000;0.733151;213.494000;94.685655;53;171
14;M-11901b-x40-05.tif;1652;1278.217918;473.254843;42.170264;51.865527;1.191863;1.229908;0.813069;0.781920;107.000000;0.582167;157.298000;83.759685;35;195
15;M-11901b-x40-05.tif;4156;1306.964389;761.871030;66.410945;79.864740;1.047972;1.202584;0.831543;0.829613;84.000000;0.555461;233.947000;105.642204;51;178
16;M-11901b-x40-05.tif;2986;1324.959478;264.238781;51.367008;74.450791;1.083153;1.449389;0.689946;0.685901;68.000000;0.723861;201.602000;94.183523;50;168
17;M-11901b-x40-05.tif;1743;1387.440046;424.682731;50.919016;55.640865;1.952418;1.092733;0.915137;0.716836;517.000000;0.403143;206.795000;91.272519;16;232
