No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-05.tif;1299;632.966128;599.357198;38.211938;47.293383;1.551184;1.237660;0.807976;0.739467;230.000000;0.589215;159.126000;0.534125;7.300672e-02;7.229893e-01
2;M-11901b-x40-05.tif;2153;656.501626;635.706456;47.920122;62.107802;1.720377;1.296069;0.771564;0.710660;297.000000;0.636152;215.744000;0.592434;4.732937e-03;8.739572e-01
3;M-11901b-x40-05.tif;1128;828.412234;227.019504;29.269257;50.478319;1.185273;1.724619;0.579838;0.563650;69.000000;0.814732;129.619000;0.622730;-3.324581e-02;8.470045e-01
4;M-11901b-x40-05.tif;649;848.545455;257.571649;24.597271;34.223461;1.072578;1.391352;0.718725;0.705516;24.000000;0.695294;93.528000;0.613842;-4.061994e-01;8.485535e-01
5;M-11901b-x40-05.tif;1911;886.899006;399.252747;53.728696;67.224127;3.144628;1.251177;0.799247;0.538419;916.000000;0.601002;274.802000;0.546850;3.236775e-01;7.304868e-01
6;M-11901b-x40-05.tif;1461;960.516085;301.411362;32.713203;60.352398;1.553520;1.844894;0.542037;0.510706;164.000000;0.840355;168.884000;0.550042;3.733624e-01;6.759945e-01
7;M-11901b-x40-05.tif;1358;1012.445508;489.518409;33.066022;55.518417;1.445475;1.679017;0.595587;0.560965;146.000000;0.803291;157.058000;0.569479;7.039724e-02;7.392177e-01
8;M-11901b-x40-05.tif;1238;1279.446688;474.996769;39.581680;42.304865;1.303801;1.068799;0.935629;0.880745;148.000000;0.352984;142.420000;0.601680;4.818459e-02;8.974378e-01
9;M-11901b-x40-05.tif;1207;1380.009114;423.870754;29.144805;58.752320;1.675677;2.015876;0.496062;0.445213;181.000000;0.868287;159.424000;0.621738;-2.114118e-01;9.573607e-01
10;M-11901b-x40-05.tif;1704;1538.373826;304.451878;26.302568;86.251274;1.879878;3.279196;0.304953;0.291641;305.000000;0.952367;200.634000;0.583667;1.587959e-01;7.596163e-01
