No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-10.tif;338;22.147929;374.254438;13.872978;33.557756;1.512599;2.418930;0.413406;0.382156;54.000000;0.910547;80.154000;0.452868;2.071534e-01;8.877813e-01
2;M-11901b-x40-10.tif;950;69.287368;613.096842;27.597742;47.506918;1.404100;1.721406;0.580920;0.535945;164.000000;0.813960;129.469000;0.715816;1.074459e-01;9.820249e-01
3;M-11901b-x40-10.tif;1495;100.983946;312.386622;27.577269;87.007573;3.477882;3.155047;0.316953;0.251442;601.000000;0.948441;255.613000;0.427701;0;9.143911e-01
4;M-11901b-x40-10.tif;771;115.561608;616.710765;23.130915;48.277327;1.811246;2.087134;0.479126;0.421190;141.000000;0.877746;132.471000;0.800113;4.026371e-01;9.910703e-01
5;M-11901b-x40-10.tif;322;132.639752;346.673913;17.870650;26.978267;1.755804;1.509641;0.662409;0.563298;79.000000;0.749142;84.289000;0.402364;1.687480e-01;8.864537e-01
6;M-11901b-x40-10.tif;1812;168.310706;389.252208;38.092669;70.006763;1.758504;1.837801;0.544128;0.470748;439.000000;0.839002;200.104000;0.609986;1.624028e-02;9.682922e-01
7;M-11901b-x40-10.tif;337;224.688427;688.139466;16.005286;34.077470;2.042595;2.129138;0.469674;0.369492;100.000000;0.882840;93.006000;0.449030;2.237970e-01;8.431143e-01
8;M-11901b-x40-10.tif;1047;283.834766;374.217765;29.464117;65.864987;2.905860;2.235431;0.447341;0.307289;655.000000;0.894363;195.531000;0.444462;1.382917e-01;9.044408e-01
9;M-11901b-x40-10.tif;4587;334.620449;626.850229;72.516291;132.439739;3.897030;1.826345;0.547542;0.332968;2719.000000;0.836778;473.954000;0.733224;1.267809e-01;9.591402e-01
10;M-11901b-x40-10.tif;3693;386.914162;735.386677;61.291021;94.142039;2.072759;1.535984;0.651048;0.530545;1094.000000;0.759036;310.148000;0.488164;0;9.572995e-01
11;M-11901b-x40-10.tif;363;377.991736;309.581267;17.706673;26.666144;1.090700;1.505994;0.664013;0.649974;15.000000;0.747721;70.536000;0.827254;6.873903e-01;9.661821e-01
12;M-11901b-x40-10.tif;993;388.805639;168.185297;28.947140;48.704536;1.530473;1.682534;0.594342;0.532992;163.000000;0.804213;138.195000;0.717981;2.729525e-01;9.587617e-01
13;M-11901b-x40-10.tif;924;407.533550;243.861472;33.223125;95.214605;4.729252;2.865914;0.348929;0.129770;1303.000000;0.937149;234.335000;0.422291;4.285042e-02;9.364429e-01
14;M-11901b-x40-10.tif;2128;414.759398;591.012218;37.458072;79.762142;2.629385;2.129371;0.469622;0.425881;488.000000;0.882867;265.166000;0.620486;2.377256e-01;9.871379e-01
15;M-11901b-x40-10.tif;2027;455.269857;415.294524;38.740600;68.592817;1.375718;1.770567;0.564791;0.548538;146.000000;0.825234;187.196000;0.152997;0;9.863979e-01
16;M-11901b-x40-10.tif;1120;481.084821;249.536607;31.571980;85.224142;4.483369;2.699360;0.370458;0.196337;1019.000000;0.928849;251.198000;0.475556;1.765528e-01;9.227684e-01
17;M-11901b-x40-10.tif;2916;524.072016;806.086763;39.347906;97.994484;1.670221;2.490462;0.401532;0.386629;355.000000;0.915845;247.392000;0.733771;1.739341e-01;9.972852e-01
18;M-11901b-x40-10.tif;1319;579.476118;172.954511;35.431003;49.689949;1.873169;1.402443;0.713042;0.680171;151.000000;0.701122;176.204000;0.723618;2.878872e-01;9.428156e-01
19;M-11901b-x40-10.tif;1104;663.888587;609.605072;26.861450;58.489318;1.728218;2.177445;0.459254;0.410890;162.000000;0.888305;154.842000;0.485501;0;9.448404e-01
20;M-11901b-x40-10.tif;884;713.893665;504.466063;30.222065;39.125150;1.264485;1.294589;0.772446;0.735276;85.000000;0.635080;118.519000;0.677205;5.301027e-02;9.760424e-01
21;M-11901b-x40-10.tif;620;787.482258;273.780645;26.086014;31.490992;1.464466;1.207198;0.828364;0.796029;52.000000;0.560190;106.817000;0.553313;2.371217e-01;9.510676e-01
22;M-11901b-x40-10.tif;1012;796.946640;122.119565;27.120511;47.877403;1.159017;1.765358;0.566457;0.562121;52.000000;0.824091;121.406000;0.747585;2.344628e-01;9.273191e-01
23;M-11901b-x40-10.tif;439;846.027335;250.289294;13.064832;47.799809;2.141001;3.658662;0.273324;0.244637;119.000000;0.961922;108.679000;0.459806;2.036741e-01;8.540944e-01
24;M-11901b-x40-10.tif;3145;992.641335;131.407313;75.485130;87.652581;6.431947;1.161190;0.861185;0.521196;2536.000000;0.508291;504.181000;0.650646;9.533212e-02;9.759783e-01
25;M-11901b-x40-10.tif;778;984.136247;64.024422;34.385489;44.817692;2.611520;1.303390;0.767230;0.493163;432.000000;0.641372;159.787000;0.266575;0;8.826079e-01
26;M-11901b-x40-10.tif;364;988.271978;180.527473;10.304493;50.380448;2.428033;4.889173;0.204534;0.182594;98.000000;0.978860;105.386000;0.401306;4.517151e-02;9.196138e-01
27;M-11901b-x40-10.tif;1122;1017.081105;27.059715;30.314666;58.924190;1.872877;1.943752;0.514469;0.411449;284.000000;0.857509;162.501000;0.439502;9.594936e-02;9.131304e-01
28;M-11901b-x40-10.tif;1153;1044.646141;599.959237;29.010345;52.023487;1.293901;1.793274;0.557639;0.542426;101.000000;0.830083;136.921000;0.671592;2.797789e-02;9.533028e-01
