No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-10.tif;2577;187.601087;216.559953;44.371113;74.428132;1.165493;1.677401;0.596161;0.592312;83.000000;0.802865;194.275000;59.386884;19;100
2;M-11901b-x40-10.tif;1007;192.055611;168.073486;29.487196;45.184816;1.265566;1.532354;0.652591;0.627993;95.000000;0.757711;126.550000;54.699106;5;100
3;M-11901b-x40-10.tif;1195;366.263598;740.066109;26.723532;60.575653;1.486378;2.266753;0.441160;0.414650;124.000000;0.897429;149.401000;56.726360;11;100
4;M-11901b-x40-10.tif;2249;395.061805;495.495776;45.278241;63.553668;1.042104;1.403625;0.712441;0.708954;52.000000;0.701732;171.615000;57.919964;18;100
5;M-11901b-x40-10.tif;2500;434.036800;465.757600;50.294692;63.531045;1.067841;1.263176;0.791655;0.788639;70.000000;0.610968;183.159000;62.311200;25;100
6;M-11901b-x40-10.tif;1913;455.025091;415.547831;38.000971;66.252092;1.366945;1.743432;0.573581;0.554914;112.000000;0.819149;181.275000;55.926817;14;100
7;M-11901b-x40-10.tif;3184;496.501570;372.159862;61.725585;67.401250;1.207976;1.091950;0.915793;0.892375;164.000000;0.401651;219.847000;58.569095;15;100
8;M-11901b-x40-10.tif;2186;488.490851;459.019671;46.787049;59.968449;1.025635;1.281732;0.780194;0.773953;60.000000;0.625537;167.852000;62.096523;29;100
9;M-11901b-x40-10.tif;2157;500.852573;503.611034;45.283305;61.920180;1.125877;1.367395;0.731317;0.716301;117.000000;0.682037;174.693000;62.283727;39;99
10;M-11901b-x40-10.tif;3708;521.475998;541.372977;51.548146;94.494198;1.252930;1.833125;0.545517;0.528737;217.000000;0.838100;241.623000;54.871899;17;100
11;M-11901b-x40-10.tif;2253;539.540613;339.043498;43.660917;66.060018;1.094491;1.513024;0.660928;0.657346;56.000000;0.750449;176.032000;60.532623;13;100
12;M-11901b-x40-10.tif;1655;545.612689;474.896073;41.030386;52.040089;1.064585;1.268330;0.788438;0.778094;49.000000;0.615114;148.797000;54.905740;18;100
13;M-11901b-x40-10.tif;3588;563.321349;401.297938;56.349709;81.961524;1.199160;1.454515;0.687514;0.680053;215.000000;0.726171;232.525000;68.150223;33;100
14;M-11901b-x40-10.tif;2717;600.292234;325.496135;55.678002;62.548712;1.041357;1.123401;0.890154;0.884225;56.000000;0.455659;188.560000;63.489142;26;100
15;M-11901b-x40-10.tif;2410;611.600415;406.260581;45.837904;68.009372;1.088402;1.483693;0.673994;0.663422;104.000000;0.738737;181.555000;63.679668;30;100
16;M-11901b-x40-10.tif;2034;651.936087;337.374631;40.045928;69.702324;1.282792;1.740560;0.574528;0.533048;211.000000;0.818485;181.075000;60.764503;30;100
17;M-11901b-x40-10.tif;2966;669.291976;411.871207;54.483689;69.902763;1.084926;1.283003;0.779421;0.772845;111.000000;0.626500;201.090000;63.233311;33;100
18;M-11901b-x40-10.tif;2644;697.161876;337.194402;51.972530;66.519772;1.228483;1.279903;0.781309;0.760799;179.000000;0.624144;202.032000;61.637670;34;100
19;M-11901b-x40-10.tif;2194;710.609389;385.520510;51.538259;56.543730;1.110251;1.097121;0.911476;0.873731;139.000000;0.411353;174.958000;59.825889;33;100
20;M-11901b-x40-10.tif;3406;941.726952;298.231356;51.960310;88.960851;1.353319;1.712092;0.584081;0.547970;337.000000;0.811696;240.673000;56.387551;8;100
21;M-11901b-x40-10.tif;3802;997.392688;250.492109;61.444218;81.017390;1.144265;1.318552;0.758408;0.737506;114.000000;0.651780;233.816000;57.978432;29;100
22;M-11901b-x40-10.tif;1826;980.486309;400.486309;31.102975;105.426425;2.715250;3.389593;0.295021;0.209176;729.000000;0.955491;249.609000;63.815991;15;100
23;M-11901b-x40-10.tif;5822;1052.188595;334.466335;79.666143;94.195493;1.124559;1.182378;0.845753;0.835453;267.000000;0.533574;286.835000;54.535211;6;100
24;M-11901b-x40-10.tif;1906;1091.942812;495.195173;43.185837;56.609466;1.115212;1.310834;0.762873;0.757277;90.000000;0.646548;163.435000;58.927072;18;100
25;M-11901b-x40-10.tif;1529;1117.066056;457.013080;28.933209;70.862803;1.750406;2.449186;0.408299;0.387687;216.000000;0.912848;183.391000;58.560497;6;100
26;M-11901b-x40-10.tif;2083;1112.367739;421.477676;46.671309;60.648525;1.433909;1.299482;0.769537;0.721039;313.000000;0.638602;193.736000;58.621699;29;100
27;M-11901b-x40-10.tif;2396;1135.131469;312.656928;35.375127;88.095025;1.433170;2.490310;0.401556;0.393092;142.000000;0.915834;207.729000;66.207429;18;100
28;M-11901b-x40-10.tif;892;1141.718610;104.874439;27.326132;44.841420;1.332914;1.640972;0.609395;0.564828;95.000000;0.792867;122.233000;51.634529;2;100
29;M-11901b-x40-10.tif;762;1148.750656;480.687664;29.248489;33.764768;1.043217;1.154411;0.866243;0.851016;20.000000;0.499623;99.947000;58.472441;16;100
30;M-11901b-x40-10.tif;2628;1167.014460;391.132040;50.425121;66.846485;1.075961;1.325658;0.754342;0.748822;68.000000;0.656481;188.502000;64.017884;26;100
31;M-11901b-x40-10.tif;2277;1181.914361;474.253843;42.349002;74.223247;1.721962;1.752656;0.570563;0.526251;562.000000;0.821254;221.972000;57.077734;8;100
32;M-11901b-x40-10.tif;2926;1183.777170;317.340055;45.525004;87.171074;1.784242;1.914796;0.522249;0.490275;323.000000;0.852793;256.135000;57.566986;0;100
33;M-11901b-x40-10.tif;1940;1197.347423;254.129381;46.542579;54.633590;1.177452;1.173841;0.851904;0.827546;87.000000;0.523698;169.425000;58.718041;20;100
34;M-11901b-x40-10.tif;6587;1235.487475;454.422499;70.776296;121.860733;1.292416;1.721773;0.580797;0.564768;398.000000;0.814049;327.077000;58.199787;13;100
35;M-11901b-x40-10.tif;2333;1253.237891;237.307758;44.350644;68.874118;1.287175;1.552945;0.643938;0.626200;175.000000;0.765078;194.259000;59.864552;12;100
36;M-11901b-x40-10.tif;2595;1309.227360;229.611561;46.222926;71.769946;1.068144;1.552692;0.644043;0.641449;48.000000;0.764989;186.633000;61.248555;22;100
37;M-11901b-x40-10.tif;1907;1317.120608;623.619297;35.116910;159.162306;5.393535;4.532355;0.220636;0.095847;2083.000000;0.975356;359.515000;69.931306;10;100
38;M-11901b-x40-10.tif;1928;1334.924274;297.572614;39.978017;63.833807;1.440617;1.596723;0.626283;0.602443;203.000000;0.779596;186.824000;56.288382;5;100
39;M-11901b-x40-10.tif;1881;1528.106858;161.073897;44.271226;54.213168;1.007959;1.224569;0.816614;0.814872;40.000000;0.577184;154.355000;58.177033;20;100
