No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-10.tif;2625;95.457143;616.956571;38.690097;110.155615;2.499019;2.847127;0.351231;0.275439;1040.000000;0.936289;287.114000;166.417524;128;194
2;M-11901b-x40-10.tif;1827;169.941981;390.003831;32.546866;76.407611;1.600264;2.347618;0.425964;0.398451;271.000000;0.904740;191.677000;170.593322;123;195
3;M-11901b-x40-10.tif;2849;315.482976;613.889435;48.066014;84.228682;1.661403;1.752354;0.570661;0.511308;454.000000;0.821186;243.887000;169.237978;136;188
4;M-11901b-x40-10.tif;1471;364.645819;740.236574;26.732179;78.132653;2.014745;2.922794;0.342138;0.306802;345.000000;0.939650;192.984000;161.360299;130;182
5;M-11901b-x40-10.tif;1516;382.757256;170.924142;35.658707;55.909546;1.580557;1.567907;0.637793;0.617501;135.000000;0.770208;173.524000;167.573879;131;188
6;M-11901b-x40-10.tif;1098;406.492714;575.927140;35.307730;41.085318;1.271524;1.163635;0.859376;0.828207;114.000000;0.511344;132.455000;172.504554;139;194
7;M-11901b-x40-10.tif;2663;453.966955;418.944048;50.527069;73.072136;1.727902;1.446198;0.691468;0.635006;644.000000;0.722407;240.464000;163.281262;127;188
8;M-11901b-x40-10.tif;3020;526.603974;805.512252;39.681888;101.657277;1.772389;2.561805;0.390350;0.372083;367.000000;0.920667;259.351000;169.487417;132;187
9;M-11901b-x40-10.tif;337;531.643917;624.979228;16.868315;34.836569;2.187841;2.065207;0.484213;0.353565;135.000000;0.874950;96.256000;149.599407;131;166
10;M-11901b-x40-10.tif;1306;666.986217;610.300919;26.802715;70.910589;2.199028;2.645650;0.377979;0.330698;353.000000;0.925814;189.973000;161.383614;127;192
11;M-11901b-x40-10.tif;1208;712.733444;502.948675;30.425829;55.271231;1.964116;1.816589;0.550482;0.503476;283.000000;0.834847;172.672000;167.592715;132;190
12;M-11901b-x40-10.tif;1285;799.822568;407.058366;27.653351;64.750919;1.692556;2.341522;0.427073;0.390231;159.000000;0.904217;165.321000;169.524514;137;190
13;M-11901b-x40-10.tif;1132;797.437279;121.299470;30.196498;48.346925;1.125818;1.601077;0.624580;0.616622;35.000000;0.780961;126.550000;169.543286;133;187
14;M-11901b-x40-10.tif;2275;980.461978;121.458901;50.101887;64.507145;1.710379;1.287519;0.776687;0.696107;618.000000;0.629886;221.127000;168.579780;132;191
15;M-11901b-x40-10.tif;552;989.237319;186.268116;13.017627;58.598587;2.370374;4.501480;0.222149;0.204680;129.000000;0.975013;128.228000;152.833333;129;188
16;M-11901b-x40-10.tif;1376;1043.997093;602.196221;33.461726;53.447785;1.214000;1.597281;0.626064;0.613295;102.000000;0.779772;144.885000;169.635174;131;193
17;M-11901b-x40-10.tif;1380;1106.573188;564.338406;27.098050;72.052061;1.752771;2.658939;0.376090;0.338451;227.000000;0.926583;174.344000;170.910870;131;194
18;M-11901b-x40-10.tif;608;1126.615132;494.646382;23.690827;38.654524;1.691968;1.631624;0.612886;0.518099;122.000000;0.790171;113.698000;157.797697;136;179
19;M-11901b-x40-10.tif;2802;1333.333690;373.720557;51.647872;83.870326;2.486466;1.623887;0.615806;0.507179;890.000000;0.787898;295.890000;170.169879;129;192
20;M-11901b-x40-10.tif;1196;1412.206522;50.631271;27.611201;56.895131;1.373037;2.060582;0.485300;0.470426;124.000000;0.874348;143.652000;173.440635;137;193
21;M-11901b-x40-10.tif;1795;1465.214485;107.063510;41.388031;57.501140;1.255678;1.389318;0.719778;0.691229;111.000000;0.694205;168.297000;168.761003;138;184
