No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-01.tif;856;269.738318;222.762850;24.571629;44.671905;1.100177;1.818028;0.550047;0.546154;20.000000;0.835134;108.786000;156.940421;15;255
2;M-11934b-x40-01.tif;843;434.395018;458.086595;27.724603;39.468401;1.049259;1.423588;0.702451;0.689031;31.000000;0.711732;105.429000;150.435350;42;255
3;M-11934b-x40-01.tif;2603;471.723396;478.399923;55.359950;64.811654;2.399027;1.170732;0.854167;0.789002;326.000000;0.519999;280.130000;171.308106;65;255
4;M-11934b-x40-01.tif;3808;474.173582;62.846901;57.415284;89.389530;1.406014;1.556894;0.642304;0.606783;363.000000;0.766450;259.387000;169.274685;7;255
5;M-11934b-x40-01.tif;4660;522.515665;425.344850;68.715514;87.770374;1.340354;1.277301;0.782901;0.770194;300.000000;0.622146;280.161000;156.808369;51;255
6;M-11934b-x40-01.tif;4069;695.610224;559.538216;62.296367;84.452172;1.078961;1.355652;0.737653;0.726401;190.000000;0.675180;234.883000;172.674367;56;255
7;M-11934b-x40-01.tif;1784;688.024664;351.282511;44.382953;52.958057;1.220963;1.193207;0.838077;0.809918;131.000000;0.545551;165.445000;159.851457;51;255
8;M-11934b-x40-01.tif;1644;728.970195;365.933698;44.017405;50.708259;1.476186;1.152005;0.868052;0.814056;260.000000;0.496473;174.633000;161.265207;79;255
9;M-11934b-x40-01.tif;4546;788.315882;502.710295;63.448219;97.163795;2.176419;1.531387;0.653003;0.613099;771.000000;0.757356;352.607000;180.760229;77;255
10;M-11934b-x40-01.tif;4237;824.821572;584.636299;72.776873;85.800818;2.419117;1.178957;0.848207;0.732800;904.000000;0.529665;358.891000;188.652348;77;255
11;M-11934b-x40-01.tif;2792;846.464900;499.042980;55.977408;66.900353;1.567250;1.195131;0.836728;0.794271;283.000000;0.547618;234.494000;176.282593;71;255
12;M-11934b-x40-01.tif;3601;898.752013;552.720078;53.511378;88.449695;1.403568;1.652914;0.604992;0.586058;266.000000;0.796231;252.019000;160.130519;9;255
13;M-11934b-x40-01.tif;3307;902.833384;394.638343;54.343979;79.875446;1.143786;1.469812;0.680359;0.659960;100.000000;0.732879;218.019000;161.284850;54;255
14;M-11934b-x40-01.tif;3432;941.183275;504.066725;61.178108;72.657616;1.257941;1.187641;0.842005;0.827742;179.000000;0.539469;232.921000;168.102273;37;255
15;M-11934b-x40-01.tif;1990;932.976884;45.391457;48.401894;53.294287;1.152113;1.101079;0.908200;0.892076;96.000000;0.418536;169.738000;170.520603;11;255
16;M-11934b-x40-01.tif;2731;964.118638;638.339802;43.571212;82.395750;1.585437;1.891059;0.528804;0.512180;260.000000;0.848744;233.260000;168.407177;43;255
17;M-11934b-x40-01.tif;2486;1007.012068;475.459775;48.643156;66.579061;1.432364;1.368724;0.730607;0.714062;226.000000;0.682798;211.535000;164.993966;35;255
18;M-11934b-x40-01.tif;2660;1113.231203;478.815414;49.690764;68.363850;1.023389;1.375786;0.726857;0.724667;52.000000;0.686789;184.955000;168.803383;24;255
19;M-11934b-x40-01.tif;1709;1166.157402;390.936805;35.924131;62.750718;1.358197;1.746757;0.572490;0.552605;164.000000;0.819912;170.788000;150.724400;40;255
20;M-11934b-x40-01.tif;950;1227.364211;477.302105;33.609027;37.186662;1.278444;1.106449;0.903793;0.874700;64.000000;0.427971;123.540000;156.160000;75;255
21;M-11934b-x40-01.tif;833;1261.434574;328.581032;32.804826;34.000182;1.552199;1.036438;0.964843;0.917472;88.000000;0.262828;127.468000;164.414166;29;255
22;M-11934b-x40-01.tif;3557;1331.048918;528.742480;65.212418;69.691640;1.014513;1.068687;0.935728;0.932465;73.000000;0.352722;212.949000;162.343548;0;255
23;M-11934b-x40-01.tif;1013;1460.153998;515.231984;26.504075;56.434419;1.793059;2.129273;0.469644;0.404978;175.000000;0.882856;151.080000;167.277394;14;255
