No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-01.tif;727;62.240715;733.178817;22.829559;56.693152;2.824042;2.483322;0.402686;0.287994;317.000000;0.915338;160.623000;0.546508;4.596257e-01;6.164749e-01
2;M-11934b-x40-01.tif;2203;75.142987;142.528370;47.446037;59.901698;1.224194;1.262523;0.792065;0.781711;147.000000;0.610437;184.093000;0.579856;4.582735e-01;6.725559e-01
3;M-11934b-x40-01.tif;4088;144.658023;244.412182;57.966666;93.007825;1.784747;1.604505;0.623245;0.601703;630.000000;0.782027;302.795000;0.606197;4.249337e-02;7.480699e-01
4;M-11934b-x40-01.tif;1770;171.820339;651.368927;35.527999;76.801295;2.108713;2.161712;0.462596;0.382073;514.000000;0.886569;216.571000;0.553438;4.890079e-01;6.500650e-01
5;M-11934b-x40-01.tif;2260;179.731416;563.586283;53.314757;63.021550;2.404531;1.182066;0.845977;0.724503;546.000000;0.533220;261.321000;0.628063;5.027353e-01;7.297495e-01
6;M-11934b-x40-01.tif;5653;275.540421;571.869096;74.608271;121.827522;2.415895;1.632896;0.612409;0.484951;1894.000000;0.790541;414.270000;0.626889;9.815232e-03;7.702011e-01
7;M-11934b-x40-01.tif;1132;257.823322;331.931095;36.282208;49.029414;2.227701;1.351335;0.740009;0.599574;323.000000;0.672597;178.015000;0.519949;4.459825e-01;5.560108e-01
8;M-11934b-x40-01.tif;734;322.077657;32.207084;21.758823;58.841880;2.385736;2.704277;0.369785;0.269919;303.000000;0.929117;148.342000;0.551741;4.453661e-01;8.006169e-01
9;M-11934b-x40-01.tif;842;365.129454;33.609264;29.197288;52.413453;2.899997;1.795148;0.557057;0.390244;387.000000;0.830474;175.170000;0.572929;4.927229e-01;9.327391e-01
10;M-11934b-x40-01.tif;1560;418.935897;47.050641;33.078164;65.202604;1.578436;1.971168;0.507314;0.467202;209.000000;0.861762;175.906000;0.568648;4.676136e-01;7.745440e-01
11;M-11934b-x40-01.tif;1153;575.274068;579.258456;30.040444;49.528609;1.167872;1.648731;0.606527;0.598449;60.000000;0.795063;130.082000;0.664961;1.157857e-02;7.659227e-01
12;M-11934b-x40-01.tif;2481;650.997985;656.553809;69.278674;87.080377;3.535749;1.256958;0.795572;0.416578;1934.000000;0.605860;332.016000;0.589807;4.314767e-01;7.206308e-01
13;M-11934b-x40-01.tif;6923;701.679619;128.691319;91.120710;119.501292;1.926506;1.311461;0.762508;0.617247;1624.000000;0.646979;409.390000;0.641833;0;8.278851e-01
14;M-11934b-x40-01.tif;3169;683.810035;275.671190;49.411195;101.432151;2.394666;2.052817;0.487135;0.392176;1048.000000;0.873326;308.808000;0.624991;0;7.768111e-01
15;M-11934b-x40-01.tif;2214;775.200090;244.017615;47.017668;66.692865;2.332054;1.418464;0.704988;0.633766;623.000000;0.709219;254.720000;0.562155;0;7.733104e-01
16;M-11934b-x40-01.tif;4020;972.277861;205.186816;54.035238;122.093086;3.379080;2.259509;0.442574;0.343363;1491.000000;0.896732;413.159000;0.545688;0;7.313879e-01
17;M-11934b-x40-01.tif;1094;985.911335;77.223949;34.218813;44.379075;1.862957;1.296920;0.771057;0.707247;145.000000;0.636766;160.035000;0.579197;0;9.660342e-01
18;M-11934b-x40-01.tif;351;1125.851852;724.737892;21.377242;29.256731;1.850755;1.368592;0.730678;0.522114;102.000000;0.682723;90.351000;0.429559;0;6.826281e-01
19;M-11934b-x40-01.tif;3043;1156.475518;138.554058;43.209425;93.896764;2.054150;2.173062;0.460180;0.439451;494.000000;0.887826;280.267000;0.614837;0;9.563210e-01
20;M-11934b-x40-01.tif;3347;1240.146997;547.175381;54.993169;81.422623;1.650241;1.480595;0.675404;0.642800;442.000000;0.737448;263.455000;0.679431;4.754935e-03;9.671678e-01
21;M-11934b-x40-01.tif;3769;1270.308835;187.787477;52.377035;120.601872;2.549184;2.302572;0.434297;0.329935;1573.000000;0.900770;347.471000;0.599009;0;7.861868e-01
22;M-11934b-x40-01.tif;2171;1312.143713;135.892676;42.232647;69.362471;1.728805;1.642390;0.608869;0.574541;310.000000;0.793271;217.174000;0.575345;1.506845e-02;6.888335e-01
23;M-11934b-x40-01.tif;4381;1335.211139;531.971696;67.970028;86.452692;1.460765;1.271924;0.786211;0.746322;397.000000;0.617959;283.584000;0.699037;0;9.761508e-01
24;M-11934b-x40-01.tif;5045;1441.880476;417.036075;60.938617;122.549688;1.871137;2.011035;0.497256;0.427708;902.000000;0.867604;344.420000;0.631080;1.238264e-02;7.439193e-01
25;M-11934b-x40-01.tif;1598;1407.387359;46.025031;41.027884;56.734521;2.341748;1.382828;0.723156;0.632109;426.000000;0.690685;216.852000;0.547211;1.221302e-02;7.472252e-01
26;M-11934b-x40-01.tif;2099;1470.248690;84.686517;46.882702;59.445571;1.588394;1.267964;0.788666;0.756282;268.000000;0.614822;204.687000;0.600349;7.361424e-03;8.757086e-01
