No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-01.tif;4496;111.341637;597.377002;61.596153;97.550103;1.809768;1.583704;0.631431;0.601563;563.000000;0.775432;319.764000;92.221975;60;100
2;M-11934b-x40-01.tif;938;270.727079;220.124733;29.212488;41.554873;1.116595;1.422504;0.702986;0.691622;49.000000;0.711204;114.724000;83.246269;44;100
3;M-11934b-x40-01.tif;481;435.663202;76.812890;19.145684;36.256026;1.646882;1.893692;0.528069;0.465902;80.000000;0.849201;99.772000;88.972973;63;100
4;M-11934b-x40-01.tif;862;436.345708;460.364269;28.837469;39.533670;1.313486;1.370913;0.729441;0.702236;79.000000;0.684044;119.281000;91.294664;50;100
5;M-11934b-x40-01.tif;3814;472.923440;58.194284;60.676117;89.457142;1.571727;1.474339;0.678270;0.606821;562.000000;0.734813;274.463000;90.192711;25;100
6;M-11934b-x40-01.tif;2593;469.954107;483.967219;57.118511;60.137140;1.346449;1.052849;0.949804;0.912908;218.000000;0.312845;209.460000;91.763209;48;100
7;M-11934b-x40-01.tif;3952;521.561488;422.321862;64.000480;82.363447;1.729068;1.286919;0.777050;0.741751;605.000000;0.629439;293.035000;94.564777;73;100
8;M-11934b-x40-01.tif;2383;695.334452;357.004196;43.313794;76.232662;2.011277;1.760009;0.568179;0.522098;562.000000;0.822905;245.416000;90.658833;38;100
9;M-11934b-x40-01.tif;1226;754.212072;54.751223;27.875165;59.635301;1.778432;2.139370;0.467427;0.438928;134.000000;0.884032;165.527000;91.628059;67;100
10;M-11934b-x40-01.tif;2668;902.718516;563.306222;49.841890;74.050528;1.699012;1.485709;0.673079;0.619498;428.000000;0.739570;238.669000;91.160045;27;100
11;M-11934b-x40-01.tif;2126;931.807620;43.547507;51.966812;52.819067;1.176921;1.016400;0.983865;0.970268;113.000000;0.178915;177.321000;84.782220;19;100
12;M-11934b-x40-01.tif;1780;943.123034;526.006180;42.168032;67.593182;2.631274;1.602948;0.623850;0.496049;627.000000;0.781544;242.604000;93.401124;63;100
13;M-11934b-x40-01.tif;2985;961.806700;641.332998;48.975744;81.410769;1.799260;1.662267;0.601588;0.573444;344.000000;0.798807;259.791000;93.294137;50;100
14;M-11934b-x40-01.tif;2650;1014.384528;482.944906;54.909893;73.051089;3.725691;1.330381;0.751664;0.632270;726.000000;0.659546;352.234000;92.334717;35;100
15;M-11934b-x40-01.tif;2637;1111.229048;480.135381;49.187418;68.901963;1.190347;1.400805;0.713875;0.707224;91.000000;0.700273;198.608000;91.037922;52;100
16;M-11934b-x40-01.tif;1241;1157.589041;126.887994;27.287616;90.153030;3.740766;3.303807;0.302681;0.194411;772.000000;0.953092;241.530000;82.232877;6;100
17;M-11934b-x40-01.tif;1870;1164.947059;394.417647;38.520142;63.960346;1.320006;1.660439;0.602250;0.582010;128.000000;0.798307;176.122000;82.849733;21;100
18;M-11934b-x40-01.tif;4820;1200.579876;54.899170;66.713242;92.548756;1.239702;1.387262;0.720844;0.716500;227.000000;0.693097;274.023000;91.840871;44;100
19;M-11934b-x40-01.tif;716;1224.229050;482.977654;28.456942;32.311670;1.080625;1.135458;0.880702;0.873181;40.000000;0.473671;98.605000;91.783520;69;100
20;M-11934b-x40-01.tif;981;1260.152905;329.413863;34.179030;38.089952;1.146156;1.114425;0.897324;0.860911;63.000000;0.441372;118.867000;83.673802;27;100
21;M-11934b-x40-01.tif;3822;1328.172684;529.806646;68.324769;71.583924;1.076788;1.047701;0.954471;0.949664;144.000000;0.298304;227.413000;85.178179;0;100
22;M-11934b-x40-01.tif;3387;1467.151166;500.819309;55.659878;79.961077;1.515432;1.436602;0.696087;0.674478;362.000000;0.717957;253.969000;87.106289;12;100
