No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-05.tif;3390;73.764012;105.117994;51.586903;86.773797;1.221620;1.682090;0.594499;0.573235;176.000000;0.804097;228.125000;151.105900;46;218
2;M-11934b-x40-05.tif;3115;338.237560;34.252327;54.271973;74.266842;1.088117;1.368420;0.730770;0.719082;97.000000;0.682624;206.382000;153.501124;35;205
3;M-11934b-x40-05.tif;361;468.182825;449.246537;15.280591;34.101946;1.582139;2.231716;0.448086;0.395238;44.000000;0.893991;84.719000;108.060942;57;174
4;M-11934b-x40-05.tif;2048;560.032227;301.748047;42.990572;63.102903;1.213436;1.467831;0.681277;0.654849;136.000000;0.732025;176.717000;168.549316;49;221
5;M-11934b-x40-05.tif;341;640.736070;241.178886;15.101034;30.917951;1.322603;2.047406;0.488423;0.454196;34.000000;0.872607;75.283000;119.862170;51;166
6;M-11934b-x40-05.tif;1248;768.089744;42.518429;31.874938;50.992033;1.168840;1.599753;0.625096;0.611111;80.000000;0.780548;135.391000;125.669071;61;177
7;M-11934b-x40-05.tif;823;790.241798;23.744836;25.022151;42.832184;1.238552;1.711771;0.584190;0.571175;70.000000;0.811617;113.178000;112.741191;45;152
8;M-11934b-x40-05.tif;365;1007.676712;329.391781;11.362183;45.566912;2.187143;4.010401;0.249352;0.223823;82.000000;0.968413;100.159000;90.019178;32;162
9;M-11934b-x40-05.tif;654;1161.870031;271.507645;25.723942;32.612097;0.981698;1.267772;0.788785;0.782943;12.000000;0.614669;89.822000;96.362385;32;138
10;M-11934b-x40-05.tif;1049;1210.543375;676.790276;36.311119;51.493017;2.511941;1.418106;0.705166;0.503720;456.000000;0.709042;181.969000;132.650143;36;226
11;M-11934b-x40-05.tif;6590;1232.360850;759.552049;71.578845;118.353392;1.287976;1.653469;0.604789;0.599010;328.000000;0.796386;326.589000;138.668741;29;221
12;M-11934b-x40-05.tif;1223;1226.770237;405.493868;34.328138;45.483274;1.002398;1.324956;0.754742;0.752719;31.000000;0.656022;124.119000;148.144726;35;230
13;M-11934b-x40-05.tif;3313;1281.050709;353.661636;58.507175;77.300793;1.403637;1.321219;0.756877;0.705933;393.000000;0.653558;241.737000;146.693933;34;219
14;M-11934b-x40-05.tif;4270;1293.700468;289.485480;67.028345;82.295416;1.063569;1.227770;0.814485;0.802762;125.000000;0.580185;238.892000;158.335597;29;239
15;M-11934b-x40-05.tif;1256;1317.219745;581.383758;32.928881;49.019077;1.055663;1.488635;0.671756;0.665533;28.000000;0.740772;129.081000;154.556529;49;232
16;M-11934b-x40-05.tif;2450;1341.939592;357.620816;44.427489;73.705325;1.315580;1.659003;0.602772;0.574220;204.000000;0.797914;201.255000;155.545306;35;230
17;M-11934b-x40-05.tif;2247;1358.838451;431.953271;34.471314;91.869495;2.183647;2.665100;0.375220;0.338977;478.000000;0.926936;248.312000;159.457499;35;232
18;M-11934b-x40-05.tif;860;1340.096512;626.787209;28.852226;38.473221;1.075498;1.333458;0.749930;0.739761;36.000000;0.661517;107.810000;109.709302;38;150
19;M-11934b-x40-05.tif;358;1522.832402;333.572626;21.409424;25.601449;1.551784;1.195803;0.836258;0.695447;79.000000;0.548336;83.553000;116.111732;33;172
