No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-05.tif;3357;74.760203;105.210307;52.389400;85.301135;1.226037;1.628214;0.614170;0.587424;205.000000;0.789174;227.422000;92.152219;74;123
2;M-11934b-x40-05.tif;650;373.432308;685.426154;25.414947;32.765584;1.006389;1.289225;0.775660;0.770882;18.000000;0.631151;90.666000;93.000000;79;122
3;M-11934b-x40-05.tif;381;592.519685;220.000000;18.825146;27.180186;1.195475;1.443823;0.692605;0.656644;25.000000;0.721317;75.655000;101.758530;81;122
4;M-11934b-x40-05.tif;764;1046.452880;20.811518;25.922689;37.976067;1.077432;1.464974;0.682606;0.674502;30.000000;0.730787;101.706000;93.390052;78;123
5;M-11934b-x40-05.tif;654;1161.579511;271.737003;26.196288;32.162753;1.001867;1.227760;0.814491;0.804973;16.000000;0.580176;90.740000;88.753823;69;123
6;M-11934b-x40-05.tif;952;1170.365546;627.121849;27.387821;44.963628;1.117678;1.641738;0.609111;0.599549;33.000000;0.793085;115.633000;96.002101;85;126
7;M-11934b-x40-05.tif;1174;1227.022147;405.880750;33.115602;45.263297;1.010010;1.366827;0.731622;0.729602;26.000000;0.681711;122.068000;95.588586;74;128
8;M-11934b-x40-05.tif;756;1235.986772;325.921958;25.733016;37.896510;1.071920;1.472680;0.679034;0.670245;24.000000;0.734107;100.913000;88.906085;61;125
9;M-11934b-x40-05.tif;1187;1317.133109;582.548441;31.271508;49.275427;1.172956;1.575729;0.634627;0.622444;57.000000;0.772819;132.273000;93.557709;74;117
10;M-11934b-x40-05.tif;790;1339.491139;626.197468;28.444448;35.783215;1.073911;1.258004;0.794910;0.785558;40.000000;0.606727;103.253000;89.503797;74;126
11;M-11934b-x40-05.tif;623;1365.932584;576.057785;25.142093;31.971722;1.030936;1.271641;0.786385;0.776008;24.000000;0.617736;89.839000;88.162119;77;114
12;M-11934b-x40-05.tif;601;1383.229617;594.267887;26.756750;28.957926;1.004920;1.082266;0.923987;0.912535;25.000000;0.382424;87.118000;87.835275;74;121
13;M-11934b-x40-05.tif;345;1522.857971;334.402899;20.494220;26.802558;1.661342;1.307811;0.764637;0.611472;92.000000;0.644462;84.868000;101.684058;83;125
