No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.bmp;1288;150.976708;125.770963;35.754667;46.019778;1.000233;1.287099;0.776941;0.774349;31.000000;0.629573;127.237000;116.585404;19;255
2;M-11934b-x40-06.bmp;2112;260.721591;388.568182;45.568156;59.570570;1.011850;1.307285;0.764944;0.757775;30.000000;0.644097;163.874000;97.475852;23;255
3;M-11934b-x40-06.bmp;2589;329.539204;88.302047;51.034311;64.924844;1.002666;1.272180;0.786052;0.782024;37.000000;0.618160;180.613000;113.841638;42;255
4;M-11934b-x40-06.bmp;3403;375.730532;332.470467;56.614386;78.330246;1.066607;1.383575;0.722765;0.706176;63.000000;0.691094;213.569000;108.325007;38;255
5;M-11934b-x40-06.bmp;5971;530.610283;354.409312;84.212376;91.432517;1.029204;1.085737;0.921033;0.909402;160.000000;0.389484;277.894000;109.289566;41;255
6;M-11934b-x40-06.bmp;5855;612.143980;345.024253;77.663117;99.221167;1.090720;1.277584;0.782727;0.757231;175.000000;0.622365;283.286000;111.315115;34;255
7;M-11934b-x40-06.bmp;3798;610.692206;270.494734;62.128678;79.979791;1.082334;1.287325;0.776805;0.755970;155.000000;0.629742;227.281000;117.877304;35;255
8;M-11934b-x40-06.bmp;3825;674.029542;452.589281;62.014700;78.681550;1.007051;1.268756;0.788173;0.786676;52.000000;0.615453;220.012000;113.810458;61;255
9;M-11934b-x40-06.bmp;2496;741.374199;492.967548;50.767815;62.889962;0.994615;1.238776;0.807248;0.803511;32.000000;0.590212;176.626000;96.962340;29;255
10;M-11934b-x40-06.bmp;5735;769.886835;362.960418;70.297056;104.343038;1.054412;1.484316;0.673711;0.670682;74.000000;0.738995;275.662000;101.661901;36;255
11;M-11934b-x40-06.bmp;901;903.422863;27.672586;30.960690;37.143586;0.958280;1.199701;0.833541;0.831510;12.000000;0.552458;104.163000;102.699223;22;255
12;M-11934b-x40-06.bmp;2817;1001.376997;400.649982;57.269816;62.872326;0.984578;1.097827;0.910891;0.907356;40.000000;0.412648;186.691000;101.825346;32;255
