No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.tif;832;21.562500;349.812500;30.364528;36.897449;1.207315;1.215150;0.822944;0.778110;68.000000;0.568123;112.351000;58.402644;17;100
2;M-11934b-x40-06.tif;930;68.378495;337.411828;24.465773;69.007953;2.533657;2.820592;0.354536;0.248654;440.000000;0.935043;172.076000;76.460215;39;100
3;M-11934b-x40-06.tif;1181;150.459780;126.423370;34.368859;43.941890;1.003892;1.278538;0.782143;0.778758;26.000000;0.623098;122.060000;56.345470;4;100
4;M-11934b-x40-06.tif;2178;259.781451;390.560147;48.150632;59.317951;1.150857;1.231925;0.811738;0.788126;95.000000;0.584022;177.478000;48.433425;5;100
5;M-11934b-x40-06.tif;2862;332.649546;90.811670;48.231616;77.115760;1.346807;1.598863;0.625444;0.612764;199.000000;0.780269;220.086000;62.248428;22;100
6;M-11934b-x40-06.tif;3541;373.996329;330.005366;58.926009;79.297915;1.198360;1.345720;0.743097;0.716989;183.000000;0.669184;230.920000;57.909912;21;100
7;M-11934b-x40-06.tif;5560;530.186151;353.082914;79.513580;89.815230;1.102001;1.129558;0.885302;0.877576;201.000000;0.465017;277.481000;59.098921;21;100
8;M-11934b-x40-06.tif;5605;609.797502;343.362533;74.891030;101.152265;1.572692;1.350659;0.740379;0.697484;402.000000;0.672189;332.824000;60.767351;16;100
9;M-11934b-x40-06.tif;3851;610.625811;267.557518;64.929905;79.931287;1.713761;1.231040;0.812322;0.767450;452.000000;0.583210;287.983000;64.168008;12;100
10;M-11934b-x40-06.tif;3251;617.566595;467.758843;62.960839;69.210468;1.416158;1.099262;0.909701;0.864139;325.000000;0.415264;240.530000;62.988619;29;100
11;M-11934b-x40-06.tif;3923;680.427989;448.478205;63.373733;82.618965;1.192217;1.303678;0.767060;0.731760;184.000000;0.641575;242.433000;61.165435;33;100
12;M-11934b-x40-06.tif;1185;713.486076;323.228692;28.500152;60.734034;2.185591;2.131007;0.469262;0.409039;277.000000;0.883059;180.405000;73.227848;38;100
13;M-11934b-x40-06.tif;2888;742.632618;488.576177;51.813441;72.553795;1.360176;1.400289;0.714138;0.698533;243.000000;0.700005;222.178000;53.135388;13;100
14;M-11934b-x40-06.tif;405;731.348148;377.720988;14.921285;35.767804;1.328378;2.397099;0.417171;0.403070;35.000000;0.908828;82.223000;78.387654;45;100
15;M-11934b-x40-06.tif;1910;781.269110;534.880628;32.204219;76.322467;1.353998;2.369952;0.421949;0.417483;73.000000;0.906619;180.273000;48.419372;1;100
16;M-11934b-x40-06.tif;2971;804.422753;286.817570;54.002922;76.648896;1.417849;1.419347;0.704549;0.643874;442.000000;0.709655;230.076000;54.511612;11;100
17;M-11934b-x40-06.tif;462;797.668831;398.041126;25.048718;42.439167;2.783752;1.694265;0.590226;0.326602;282.000000;0.807238;127.128000;71.874459;38;100
18;M-11934b-x40-06.tif;361;800.193906;359.299169;16.236537;29.428718;1.322560;1.812500;0.551724;0.530731;38.000000;0.834027;77.458000;71.470914;42;100
19;M-11934b-x40-06.tif;5087;890.356202;331.110674;64.900341;101.867340;1.428849;1.569596;0.637106;0.624169;337.000000;0.770776;302.224000;54.833694;10;100
20;M-11934b-x40-06.tif;6056;904.922061;465.327279;65.555918;121.784556;1.694541;1.857720;0.538294;0.519890;672.000000;0.842757;359.107000;59.609478;21;100
21;M-11934b-x40-06.tif;869;903.181818;28.173763;31.123449;35.684341;0.968959;1.146542;0.872188;0.868909;14.000000;0.489171;102.865000;52.026467;7;100
22;M-11934b-x40-06.tif;3177;971.378974;362.259994;54.083036;78.061892;1.392036;1.443371;0.692823;0.663818;268.000000;0.721108;235.743000;57.937048;25;100
23;M-11934b-x40-06.tif;1208;976.568709;126.567881;30.254171;53.459373;1.451058;1.767008;0.565928;0.538182;137.000000;0.824454;148.416000;49.734272;5;100
24;M-11934b-x40-06.tif;2700;1002.347037;401.535185;54.749889;63.867124;1.063801;1.166525;0.857247;0.842790;96.000000;0.514906;189.984000;53.928889;16;100
25;M-11934b-x40-06.tif;1085;1098.368664;466.626728;32.173878;43.781529;1.080005;1.360779;0.734873;0.720706;46.000000;0.678204;121.348000;56.585253;0;100
26;M-11934b-x40-06.tif;525;1262.243810;540.681905;19.068101;37.315557;1.628934;1.956962;0.510996;0.480053;62.000000;0.859583;103.666000;74.175238;32;100
27;M-11934b-x40-06.tif;6334;1309.631828;548.389012;66.242440;132.462824;1.904002;1.999667;0.500083;0.459621;965.000000;0.865977;389.294000;73.345911;28;100
