No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-04.tif;611;227.238953;169.263502;22.744446;34.448378;1.014926;1.514584;0.660247;0.655562;9.000000;0.751048;88.276000;139.847791;66;241
2;M-11940-x40-04.tif;3492;310.326747;764.295819;58.091058;76.812963;1.047498;1.322285;0.756266;0.753556;89.000000;0.654264;214.397000;136.392612;89;211
3;M-11940-x40-04.tif;3073;331.138627;625.308819;55.083113;72.585490;1.119253;1.317745;0.758872;0.742631;122.000000;0.651240;207.898000;142.649203;90;234
4;M-11940-x40-04.tif;1982;381.766902;755.596872;46.823890;54.357378;1.132535;1.160890;0.861408;0.854077;81.000000;0.507913;167.951000;142.857719;80;236
5;M-11940-x40-04.tif;1264;431.638449;405.750000;34.422845;48.025018;1.077683;1.395150;0.716769;0.697786;54.000000;0.697311;130.835000;139.606804;65;240
6;M-11940-x40-04.tif;1979;447.910561;615.773623;47.105155;53.589342;0.982115;1.137653;0.879002;0.877403;38.000000;0.476818;156.282000;138.672057;95;224
7;M-11940-x40-04.tif;745;813.671141;782.911409;30.864699;31.739859;1.246841;1.028355;0.972427;0.941578;54.000000;0.233207;108.041000;174.496644;125;229
8;M-11940-x40-04.tif;1817;848.801321;645.564117;43.715315;54.407071;1.081717;1.244577;0.803486;0.781546;78.000000;0.595324;157.159000;131.722620;15;221
9;M-11940-x40-04.tif;1643;864.915399;709.636032;40.952100;53.165627;1.238182;1.298239;0.770274;0.740092;156.000000;0.637713;159.888000;138.145466;91;222
10;M-11940-x40-04.tif;1846;888.742145;674.284399;42.640991;55.339359;1.014122;1.297797;0.770536;0.767491;43.000000;0.637396;153.379000;146.481040;102;226
11;M-11940-x40-04.tif;2433;909.877106;726.167694;54.765741;61.663065;1.408482;1.125942;0.888145;0.814708;263.000000;0.459563;207.516000;130.446774;58;239
12;M-11940-x40-04.tif;2858;963.283065;453.926522;44.175019;87.893386;1.556311;1.989663;0.502598;0.471042;348.000000;0.864520;236.420000;156.687194;75;231
13;M-11940-x40-04.tif;2967;975.256825;622.198854;46.392406;83.339811;1.208053;1.796411;0.556666;0.543904;156.000000;0.830737;212.230000;133.098753;83;225
14;M-11940-x40-04.tif;1469;959.930565;710.633084;31.487349;79.420172;2.270707;2.522288;0.396465;0.296531;603.000000;0.918050;204.737000;138.883594;20;239
15;M-11940-x40-04.tif;661;956.537065;560.928896;23.693282;37.278200;1.181392;1.573366;0.635580;0.605622;29.000000;0.772035;99.061000;136.059002;68;244
16;M-11940-x40-04.tif;3470;1020.834294;649.419885;57.255606;88.365985;1.974961;1.543360;0.647937;0.565808;791.000000;0.761694;293.460000;146.530259;96;240
17;M-11940-x40-04.tif;3728;1066.238466;506.603004;60.036054;79.357949;1.027991;1.321838;0.756522;0.753712;60.000000;0.653968;219.451000;137.856491;90;249
18;M-11940-x40-04.tif;1433;1100.584787;80.976274;25.142910;77.156704;1.804901;3.068726;0.325868;0.306485;167.000000;0.945415;180.283000;137.331472;4;233
19;M-11940-x40-04.tif;3445;1110.170102;462.523657;59.686612;74.707762;1.066738;1.251667;0.798935;0.785901;78.000000;0.601418;214.896000;129.202903;65;244
20;M-11940-x40-04.tif;4538;1130.120317;284.444689;60.881299;98.875689;1.193879;1.624073;0.615736;0.591011;224.000000;0.787953;260.926000;127.983253;25;245
21;M-11940-x40-04.tif;2522;1141.370341;419.306503;52.002257;65.755345;1.194001;1.264471;0.790845;0.742665;179.000000;0.612017;194.527000;126.732752;78;225
22;M-11940-x40-04.tif;3381;1182.218574;233.979592;56.612588;77.559801;1.170875;1.370010;0.729922;0.715619;193.000000;0.683531;223.040000;133.605442;36;222
23;M-11940-x40-04.tif;1258;1176.023052;406.089030;40.858192;49.825143;1.667404;1.219465;0.820032;0.645199;325.000000;0.572318;162.355000;151.306836;67;221
24;M-11940-x40-04.tif;3327;1194.061016;362.336640;64.724076;67.260680;1.090993;1.039191;0.962287;0.936355;172.000000;0.272036;213.571000;136.381425;84;219
25;M-11940-x40-04.tif;3171;1207.125512;287.428571;58.066704;70.348485;1.028621;1.211512;0.825415;0.815825;70.000000;0.564526;202.456000;130.190161;58;227
26;M-11940-x40-04.tif;3468;1209.559689;430.374567;57.006062;79.847043;1.137186;1.400676;0.713941;0.692583;96.000000;0.700206;222.618000;127.164937;88;227
27;M-11940-x40-04.tif;2510;1208.521514;547.554582;52.230647;65.649527;1.285498;1.256916;0.795598;0.741516;211.000000;0.605825;201.362000;157.478088;100;237
28;M-11940-x40-04.tif;582;1230.012027;588.943299;26.565296;31.353725;2.124101;1.180251;0.847277;0.753798;132.000000;0.531151;124.639000;180.060137;141;217
29;M-11940-x40-04.tif;2629;1245.204641;344.530240;46.568807;72.466516;1.070469;1.556117;0.642625;0.637420;56.000000;0.766181;188.056000;124.415367;55;227
30;M-11940-x40-04.tif;2743;1258.931462;417.502370;45.409926;77.848479;1.191717;1.714349;0.583312;0.576283;73.000000;0.812248;202.677000;133.314619;80;220
31;M-11940-x40-04.tif;918;1265.038126;565.326797;31.131329;38.335997;1.151628;1.231428;0.812065;0.795315;62.000000;0.583567;115.261000;151.468410;84;235
32;M-11940-x40-04.tif;1967;1380.807321;227.364514;36.678275;69.247867;1.154159;1.887980;0.529666;0.522278;70.000000;0.848206;168.904000;140.329944;96;234
