No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-04.tif;3158;310.420203;763.256491;53.830154;74.958001;1.066603;1.392491;0.718138;0.715626;94.000000;0.695901;205.737000;0.582805;3.921530e-01;9.348926e-01
2;M-11940-x40-04.tif;2615;330.313958;624.658891;52.377181;65.294997;1.323748;1.246631;0.802162;0.780948;180.000000;0.597106;208.566000;0.613499;3.400721e-01;1
3;M-11940-x40-04.tif;1648;381.373786;756.058859;43.686901;48.215489;1.041128;1.103660;0.906076;0.902598;41.000000;0.423115;146.837000;0.617873;2.786406e-01;1
4;M-11940-x40-04.tif;1776;448.059685;615.567568;43.909293;51.600918;0.975152;1.175171;0.850940;0.849255;21.000000;0.525263;147.524000;0.588000;3.352202e-01;1
5;M-11940-x40-04.tif;585;509.883761;587.073504;25.183222;32.056230;1.290006;1.272920;0.785595;0.724838;76.000000;0.618741;97.382000;0.694098;5.420552e-01;9.467604e-01
6;M-11940-x40-04.tif;3878;553.704229;652.748066;42.170047;127.331940;2.419904;3.019488;0.331182;0.304539;763.000000;0.943567;343.406000;0.667799;4.819994e-01;9.515224e-01
7;M-11940-x40-04.tif;734;813.993188;783.418256;29.806374;31.998511;1.056777;1.073546;0.931493;0.912739;41.000000;0.363760;98.729000;0.655303;3.381610e-01;1
8;M-11940-x40-04.tif;1389;850.323254;643.258459;41.229788;43.350717;1.036258;1.051442;0.951075;0.941065;53.000000;0.308960;134.490000;0.532637;1.473075e-01;9.409471e-01
9;M-11940-x40-04.tif;1513;866.869134;711.196960;34.663471;56.795912;1.207750;1.638495;0.610316;0.597193;76.000000;0.792158;151.535000;0.551415;3.377776e-01;9.398479e-01
10;M-11940-x40-04.tif;1633;887.840784;674.111451;39.851174;53.825455;1.323081;1.350662;0.740378;0.717664;127.000000;0.672191;164.775000;0.618548;3.885338e-01;1
11;M-11940-x40-04.tif;1954;912.837257;724.415558;47.543745;57.472965;1.563502;1.208844;0.827237;0.753195;285.000000;0.561854;195.937000;0.541034;2.291743e-01;1
12;M-11940-x40-04.tif;1163;960.700774;708.199484;28.191439;72.280576;2.457860;2.563919;0.390028;0.283431;488.000000;0.920803;189.528000;0.588799;1.553786e-01;1
13;M-11940-x40-04.tif;1499;965.244830;459.195464;34.863116;63.483697;2.053609;1.820942;0.549166;0.473573;350.000000;0.835713;196.682000;0.614776;2.598564e-01;1
14;M-11940-x40-04.tif;1556;974.006427;371.742931;36.255408;65.427974;2.483938;1.804640;0.554127;0.462799;605.000000;0.832432;220.384000;0.686009;4.634320e-01;8.637646e-01
15;M-11940-x40-04.tif;2406;978.472984;621.714048;42.631462;73.221659;1.285039;1.717550;0.582225;0.571382;139.000000;0.813028;197.111000;0.537904;3.445462e-01;9.342374e-01
16;M-11940-x40-04.tif;2977;1022.343299;648.140746;53.375947;82.702581;2.062844;1.549435;0.645396;0.554180;766.000000;0.763848;277.797000;0.566493;3.701874e-01;1
17;M-11940-x40-04.tif;479;1005.183716;378.826722;20.482263;31.532499;1.160482;1.539503;0.649560;0.613379;51.000000;0.760310;83.578000;0.699295;4.440590e-01;1
18;M-11940-x40-04.tif;3349;1066.995521;504.574798;55.798136;77.241031;1.141305;1.384294;0.722390;0.714709;142.000000;0.691486;219.161000;0.574718;3.123665e-01;1
19;M-11940-x40-04.tif;3244;1110.313502;462.577990;58.534900;71.791615;1.055964;1.226475;0.815345;0.801389;81.000000;0.578976;207.477000;0.544598;2.730278e-01;1
20;M-11940-x40-04.tif;4225;1130.961183;285.146272;58.375245;96.389618;1.213288;1.651207;0.605618;0.578997;244.000000;0.795756;253.805000;0.544648;1.638768e-01;1
21;M-11940-x40-04.tif;2969;1145.869316;418.420344;60.751141;63.616814;1.118817;1.047171;0.954954;0.934064;91.000000;0.296753;204.310000;0.545158;3.000258e-01;1
22;M-11940-x40-04.tif;2964;1183.523617;236.278003;51.803538;74.181823;1.158092;1.431984;0.698332;0.685793;139.000000;0.715774;207.690000;0.567209;2.350419e-01;1
23;M-11940-x40-04.tif;3621;1192.797570;367.465065;61.168346;76.131536;1.116329;1.244623;0.803456;0.795444;114.000000;0.595364;225.380000;0.569973;2.956841e-01;9.382941e-01
24;M-11940-x40-04.tif;3009;1207.155533;287.977401;56.175767;68.951881;1.029615;1.227431;0.814710;0.805824;61.000000;0.579869;197.312000;0.563925;2.892698e-01;1
25;M-11940-x40-04.tif;3504;1209.767694;428.497717;60.358977;75.403049;1.083584;1.249243;0.800485;0.784687;97.000000;0.599353;218.433000;0.534923;3.293714e-01;1
26;M-11940-x40-04.tif;2034;1210.018682;544.564897;50.932201;53.796123;1.321275;1.056230;0.946763;0.894868;219.000000;0.321930;183.771000;0.618171;3.966548e-01;1
