No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-04.tif;1607;42.181705;656.853143;31.303419;70.111513;1.617429;2.239740;0.446480;0.416243;224.000000;0.894793;180.728000;150.848787;39;199
2;M-11940-x40-04.tif;1020;70.035294;622.618627;30.891253;42.774501;1.128264;1.384680;0.722188;0.709807;61.000000;0.691696;120.257000;163.651961;84;211
3;M-11940-x40-04.tif;1127;96.340728;571.741792;30.090499;48.881009;1.474967;1.624467;0.615587;0.600556;89.000000;0.788069;144.530000;148.335404;82;224
4;M-11940-x40-04.tif;2441;120.447767;606.377304;48.812266;72.602821;1.989012;1.487389;0.672319;0.589618;552.000000;0.740261;247.006000;176.527653;65;223
5;M-11940-x40-04.tif;874;125.630435;143.441648;22.590396;50.483840;1.376237;2.234748;0.447478;0.436633;62.000000;0.894295;122.944000;147.708238;22;193
6;M-11940-x40-04.tif;924;121.196970;266.485931;29.531875;42.990660;1.459150;1.455738;0.686937;0.636552;125.000000;0.726717;130.164000;162.560606;68;221
7;M-11940-x40-04.tif;1158;148.692573;556.549223;34.255298;45.318841;1.407531;1.322973;0.755873;0.717895;140.000000;0.654718;143.116000;190.197755;52;249
8;M-11940-x40-04.tif;5171;206.746857;321.327403;72.058353;111.303042;1.872410;1.544624;0.647407;0.531460;1153.000000;0.762145;348.813000;173.974086;72;233
9;M-11940-x40-04.tif;2275;179.778901;271.670769;40.079585;78.302302;1.714883;1.953670;0.511857;0.472435;388.000000;0.859071;221.418000;183.031648;67;230
10;M-11940-x40-04.tif;2680;170.403358;83.081716;44.958653;79.392479;1.601675;1.765900;0.566284;0.541360;192.000000;0.824211;232.252000;153.847388;71;205
11;M-11940-x40-04.tif;617;163.322528;518.549433;23.810269;35.343261;1.232262;1.484371;0.673686;0.628901;53.000000;0.739017;97.746000;142.437601;72;185
12;M-11940-x40-04.tif;1584;183.374369;144.800505;40.635979;53.115556;1.361544;1.307107;0.765049;0.714861;145.000000;0.643973;164.626000;151.268308;74;190
13;M-11940-x40-04.tif;6337;199.515859;581.319078;81.616949;111.575245;2.821176;1.367060;0.731497;0.648124;1599.000000;0.681845;473.982000;170.294935;65;247
