No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-07.tif;909;36.845985;275.803080;29.248857;41.727460;1.272659;1.426636;0.700950;0.664707;107.000000;0.713211;120.571000;0.667830;-1.540643e-01;8.963923e-01
2;M-11940-x40-07.tif;1351;598.340489;433.692080;38.680772;47.894887;1.518425;1.238209;0.807618;0.749872;185.000000;0.589706;160.557000;0.574372;2.715411e-01;7.372776e-01
3;M-11940-x40-07.tif;1965;652.870738;435.409160;44.495061;56.728826;1.037966;1.274947;0.784347;0.777437;61.000000;0.620323;160.095000;0.612914;-2.160843e-02;8.263371e-01
4;M-11940-x40-07.tif;1669;688.209107;457.857400;42.729637;51.095907;1.145018;1.195795;0.836263;0.813943;87.000000;0.548328;154.967000;0.601766;2.028164e-01;8.086326e-01
5;M-11940-x40-07.tif;1448;704.165055;494.482044;40.772153;48.842296;1.521185;1.197933;0.834771;0.772835;162.000000;0.550597;166.372000;0.576410;3.461996e-01;7.680252e-01
6;M-11940-x40-07.tif;1736;707.006336;539.386521;45.782691;50.712341;1.496146;1.107675;0.902792;0.859474;173.000000;0.430078;180.662000;0.546224;1.407571e-01;8.200350e-01
7;M-11940-x40-07.tif;2445;762.657260;307.806135;52.510320;61.677137;1.423878;1.174572;0.851374;0.818353;201.000000;0.524559;209.161000;0.579823;1.313096e-01;7.768516e-01
8;M-11940-x40-07.tif;666;806.420420;390.315315;26.537247;32.580205;1.130392;1.227716;0.814521;0.798871;46.000000;0.580135;97.265000;0.558595;-5.201849e-02;8.578060e-01
9;M-11940-x40-07.tif;776;833.505155;387.015464;31.271497;32.597723;1.279026;1.042410;0.959315;0.929817;47.000000;0.282337;111.680000;0.549935;-1.342231e-02;7.047644e-01
10;M-11940-x40-07.tif;2824;851.952195;210.976275;46.390047;78.578742;1.410137;1.693871;0.590364;0.582324;144.000000;0.807137;223.701000;0.632037;1.598664e-01;8.578322e-01
11;M-11940-x40-07.tif;2186;864.985361;32.241537;46.837955;62.062344;1.302039;1.325044;0.754692;0.722610;175.000000;0.656079;189.122000;0.630472;1.373262e-01;9.191715e-01
12;M-11940-x40-07.tif;3122;891.369635;245.284753;55.213219;72.452318;1.075444;1.312228;0.762063;0.757249;93.000000;0.647503;205.407000;0.604358;1.102889e-01;8.573058e-01
13;M-11940-x40-07.tif;719;877.354659;386.011127;27.656080;33.250084;0.960633;1.202270;0.831760;0.828044;15.000000;0.555136;93.164000;0.659511;-1.050845e-01;9.609266e-01
14;M-11940-x40-07.tif;2846;898.677091;332.209417;57.158534;65.630354;1.635745;1.148216;0.870916;0.841270;266.000000;0.491432;241.869000;0.588135;-3.576244e-02;8.385460e-01
15;M-11940-x40-07.tif;2707;926.285187;102.175102;49.959602;72.530267;1.442917;1.451778;0.688810;0.655179;271.000000;0.724942;221.549000;0.595805;1.047865e-01;8.009976e-01
16;M-11940-x40-07.tif;2639;940.837438;192.776809;48.702339;70.091087;1.156297;1.439173;0.694844;0.683949;104.000000;0.719161;195.821000;0.607230;-2.065741e-01;8.113807e-01
17;M-11940-x40-07.tif;1010;1214.869307;325.003960;28.573424;46.472605;1.440027;1.626428;0.614844;0.595439;101.000000;0.788648;135.192000;0.660293;-1.799865e-01;9.066221e-01
18;M-11940-x40-07.tif;1426;1311.153576;298.099579;30.198792;61.588312;1.337129;2.039430;0.490333;0.478667;107.000000;0.871535;154.793000;0.625631;-6.412167e-02;9.437591e-01
19;M-11940-x40-07.tif;1322;1375.912254;449.098336;32.492602;54.182126;1.399794;1.667522;0.599692;0.573363;117.000000;0.800231;152.494000;0.608916;-5.247923e-02;8.363791e-01
20;M-11940-x40-07.tif;1629;1536.543892;515.215470;44.169299;47.392123;1.080007;1.072965;0.931997;0.923462;54.000000;0.362467;148.689000;0.582402;6.504074e-02;8.297191e-01
