No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-08.tif;1388;60.345101;788.770173;47.811227;51.735052;2.632277;1.082069;0.924155;0.660283;473.000000;0.382017;214.272000;0.825904;2.078079e-01;1
2;M-11940-x40-08.tif;4105;116.524970;577.518392;57.543644;110.831081;3.120847;1.926035;0.519201;0.425501;1489.000000;0.854652;401.234000;0.594931;3.286860e-02;1
3;M-11940-x40-08.tif;390;94.638462;777.123077;20.023770;30.890992;1.800677;1.542716;0.648207;0.520369;98.000000;0.761464;93.941000;0.868804;3.917340e-01;1
4;M-11940-x40-08.tif;501;101.626747;360.866267;16.036942;41.300876;1.447726;2.575359;0.388295;0.373964;55.000000;0.921535;95.470000;0.589287;2.358351e-01;9.126307e-01
5;M-11940-x40-08.tif;2529;124.257809;752.581653;54.187309;61.054993;1.374518;1.126740;0.887516;0.863807;191.000000;0.460776;209.004000;0.909481;6.945306e-01;1
6;M-11940-x40-08.tif;730;154.456164;797.846575;27.222819;34.775435;1.163101;1.277437;0.782817;0.768578;47.000000;0.622251;103.294000;0.896878;5.930535e-01;1
7;M-11940-x40-08.tif;999;161.618619;384.719720;33.375671;51.366180;2.514705;1.539031;0.649760;0.482082;371.000000;0.760140;177.677000;0.636303;1.225267e-01;9.816659e-01
8;M-11940-x40-08.tif;438;165.824201;680.235160;22.713740;33.642817;3.048576;1.481166;0.675144;0.492719;156.000000;0.737686;129.536000;0.723586;2.980228e-01;9.861262e-01
9;M-11940-x40-08.tif;446;187.002242;362.392377;21.074917;27.534194;0.995307;1.306491;0.765409;0.749032;9.000000;0.643544;74.688000;0.560042;7.526065e-02;8.814195e-01
10;M-11940-x40-08.tif;325;186.833846;772.335385;12.942116;35.503119;1.681031;2.743224;0.364535;0.328292;54.000000;0.931190;82.858000;0.849880;5.071463e-01;1
11;M-11940-x40-08.tif;338;199.810651;708.905325;14.243374;31.669505;1.291585;2.223455;0.449750;0.429086;28.000000;0.893154;74.067000;0.823760;6.550963e-01;1
12;M-11940-x40-08.tif;889;259.022497;627.906637;29.592722;43.438956;1.417667;1.467893;0.681248;0.599864;146.000000;0.732052;125.847000;0.907180;4.108090e-01;1
13;M-11940-x40-08.tif;2315;280.158531;686.571922;43.329185;84.770934;2.730146;1.956440;0.511133;0.410173;769.000000;0.859502;281.821000;0.817410;1.404227e-01;1
14;M-11940-x40-08.tif;755;293.190728;144.029139;30.340188;37.574786;1.798742;1.238449;0.807461;0.680870;150.000000;0.589920;130.636000;0.589673;3.607655e-01;7.421615e-01
