No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-09.tif;1235;40.079352;434.093927;31.244455;53.584153;1.487360;1.714997;0.583091;0.547652;136.000000;0.812407;151.931000;0.408792;3.037300e-02;8.986184e-01
2;M-11940-x40-09.tif;845;93.569231;115.170414;26.646490;42.363487;1.188381;1.589834;0.628997;0.599492;86.000000;0.777408;112.334000;0.733198;4.973783e-01;9.090822e-01
3;M-11940-x40-09.tif;1198;150.375626;121.589316;34.559894;50.477639;1.568720;1.460584;0.684658;0.598644;219.000000;0.728865;153.676000;0.791291;6.414691e-01;9.299295e-01
4;M-11940-x40-09.tif;1340;185.844776;194.394030;33.170365;74.484267;3.443314;2.245506;0.445334;0.307529;825.000000;0.895365;240.794000;0.784107;1.091186e-01;9.233827e-01
5;M-11940-x40-09.tif;6465;259.137819;136.249188;91.052094;106.872342;3.086702;1.173749;0.851971;0.720689;2306.000000;0.523590;500.768000;0.644991;4.367393e-01;9.100267e-01
6;M-11940-x40-09.tif;4410;622.142630;211.190476;67.137112;86.367131;1.221517;1.286429;0.777346;0.752752;353.000000;0.629074;260.180000;0.539359;4.078132e-01;7.765002e-01
7;M-11940-x40-09.tif;3561;676.992418;89.828419;49.797574;116.924865;3.403957;2.348003;0.425894;0.331641;1232.000000;0.904773;390.286000;0.696624;4.860105e-01;9.508793e-01
8;M-11940-x40-09.tif;319;691.852665;384.633229;17.658790;24.724855;1.263056;1.400144;0.714212;0.664406;39.000000;0.699929;71.156000;0.484925;1.878642e-01;9.329096e-01
9;M-11940-x40-09.tif;2813;745.497689;396.846783;47.917176;77.741959;1.446164;1.622424;0.616362;0.592610;269.000000;0.787463;226.099000;0.586529;4.076116e-01;8.411613e-01
10;M-11940-x40-09.tif;2702;776.209104;208.858993;52.934800;65.590841;1.138131;1.239087;0.807046;0.799667;141.000000;0.590489;196.582000;0.589804;1.878642e-01;9.530490e-01
11;M-11940-x40-09.tif;3440;806.036919;486.256395;59.459578;74.231492;1.035143;1.248436;0.801002;0.794863;83.000000;0.598662;211.536000;0.590687;4.710809e-01;8.673260e-01
12;M-11940-x40-09.tif;5912;821.204499;299.565291;71.745404;111.630365;1.328141;1.555924;0.642705;0.604060;509.000000;0.766114;314.119000;0.591969;4.410367e-01;8.771773e-01
13;M-11940-x40-09.tif;3931;874.461460;364.436276;57.807238;88.127949;1.209512;1.524514;0.655947;0.644445;179.000000;0.754807;244.434000;0.636174;5.030393e-01;8.743475e-01
14;M-11940-x40-09.tif;2605;885.609981;417.538196;47.652373;71.056522;1.093203;1.491143;0.670626;0.656916;69.000000;0.741795;189.173000;0.572020;4.433824e-01;8.776810e-01
15;M-11940-x40-09.tif;1295;968.118147;243.926641;39.915751;48.828591;1.920095;1.223291;0.817467;0.691563;305.000000;0.575976;176.767000;0.706048;4.507695e-01;8.909519e-01
16;M-11940-x40-09.tif;652;1089.197853;280.854294;24.705336;34.889270;1.322749;1.412216;0.708107;0.681984;75.000000;0.706105;104.104000;0.786633;6.832628e-01;8.928277e-01
17;M-11940-x40-09.tif;3643;1113.388142;478.905847;60.868196;91.167633;2.225594;1.497788;0.667651;0.558069;804.000000;0.744474;319.196000;0.620315;1.843644e-01;9.938579e-01
18;M-11940-x40-09.tif;2728;1169.916789;51.826246;45.627057;92.771174;1.897222;2.033249;0.491824;0.403579;777.000000;0.870695;255.027000;0.612976;4.328506e-01;8.905066e-01
19;M-11940-x40-09.tif;985;1175.284264;399.417259;24.176412;54.089959;1.415811;2.237303;0.446967;0.428660;87.000000;0.894551;132.381000;0.626211;4.576809e-01;9.162612e-01
20;M-11940-x40-09.tif;1762;1192.954030;475.421112;45.817451;49.094392;1.002169;1.071522;0.933252;0.930791;43.000000;0.359222;148.963000;0.630457;4.809981e-01;9.207961e-01
21;M-11940-x40-09.tif;2261;1238.448916;456.656789;35.462211;82.788881;1.315886;2.334566;0.428345;0.420017;101.000000;0.903615;193.359000;0.674967;5.130545e-01;9.151765e-01
22;M-11940-x40-09.tif;2521;1291.768743;375.388338;35.764656;91.203363;1.512008;2.550098;0.392142;0.385888;177.000000;0.919905;218.861000;0.674898;5.338821e-01;8.842708e-01
23;M-11940-x40-09.tif;3028;1301.198151;430.648613;54.400501;79.070783;2.226640;1.453494;0.687998;0.616643;688.000000;0.725713;291.077000;0.680372;1.761982e-01;9.527986e-01
24;M-11940-x40-09.tif;3147;1309.280585;752.959644;64.618161;97.628847;3.068475;1.510858;0.661876;0.420388;1340.000000;0.749614;348.349000;0.641117;1.836110e-01;9.333859e-01
25;M-11940-x40-09.tif;4806;1363.301290;155.978985;59.749909;141.869515;4.265728;2.374389;0.421161;0.304029;2327.000000;0.906986;507.567000;0.714123;4.340019e-01;9.491008e-01
26;M-11940-x40-09.tif;2995;1380.420701;56.552254;50.008891;85.490410;2.506311;1.709504;0.584965;0.521762;532.000000;0.811059;307.129000;0.720107;4.572004e-01;9.414230e-01
27;M-11940-x40-09.tif;3458;1397.213418;456.710816;49.147446;105.674378;3.593991;2.150150;0.465084;0.394272;1150.000000;0.885267;395.190000;0.752376;5.768948e-01;8.698235e-01
28;M-11940-x40-09.tif;806;1397.923077;276.895782;26.209095;41.030736;1.173393;1.565515;0.638767;0.609574;40.000000;0.769400;109.017000;0.625940;4.518808e-01;9.021090e-01
