No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-11.tif;1750;63.742286;419.158857;43.581205;70.317614;2.025398;1.613485;0.619777;0.450630;723.000000;0.784778;211.047000;208.309714;134;231
2;M-11940-x40-11.tif;329;56.905775;385.726444;13.734020;31.572930;1.266600;2.298885;0.434994;0.420220;18.000000;0.900434;72.364000;196.920973;154;225
3;M-11940-x40-11.tif;1098;105.953552;437.200364;27.737549;52.106857;1.405229;1.878567;0.532321;0.514900;128.000000;0.846543;139.245000;205.551913;153;229
4;M-11940-x40-11.tif;1023;142.950147;592.591398;27.492040;56.194247;1.690639;2.044019;0.489232;0.412479;204.000000;0.872154;147.424000;202.787879;151;233
5;M-11940-x40-11.tif;5326;163.971649;691.898047;70.119637;109.437072;2.001381;1.560719;0.640730;0.566216;869.000000;0.767766;365.991000;217.309425;150;239
6;M-11940-x40-11.tif;1575;185.889524;615.864127;42.345716;55.026462;1.732093;1.299458;0.769552;0.662289;381.000000;0.638584;185.153000;204.332063;152;235
7;M-11940-x40-11.tif;4519;219.798185;760.747732;56.827140;111.479036;1.537377;1.961722;0.509756;0.462984;689.000000;0.860319;295.472000;217.271963;147;240
8;M-11940-x40-11.tif;531;234.393597;382.798493;21.291732;33.224921;1.268830;1.560461;0.640836;0.612459;60.000000;0.767678;92.014000;200.576271;169;226
9;M-11940-x40-11.tif;1317;272.120729;642.462415;34.651875;49.856256;1.371314;1.438775;0.695036;0.674616;129.000000;0.718975;150.649000;196.995444;147;218
10;M-11940-x40-11.tif;3257;287.016273;192.341726;48.446020;90.773255;1.685648;1.873699;0.533704;0.503283;519.000000;0.845672;262.662000;215.920479;147;245
11;M-11940-x40-11.tif;1442;331.792649;586.871012;34.748811;60.258456;1.678044;1.734116;0.576663;0.505638;330.000000;0.816982;174.377000;201.211512;147;231
12;M-11940-x40-11.tif;670;337.943284;551.241791;22.639023;45.147676;1.976674;1.994241;0.501444;0.418518;188.000000;0.865190;129.006000;193.823881;149;220
13;M-11940-x40-11.tif;953;346.568730;221.286464;30.626508;42.230520;1.271018;1.378888;0.725222;0.680378;122.000000;0.688515;123.375000;204.370409;165;236
14;M-11940-x40-11.tif;340;387.994118;325.188235;20.735093;22.640200;1.217505;1.091878;0.915853;0.844556;32.000000;0.401514;72.124000;184.388235;165;209
15;M-11940-x40-11.tif;959;412.376434;309.913452;31.740230;38.964959;1.023055;1.227621;0.814584;0.804230;30.000000;0.580046;111.036000;176.523462;147;207
16;M-11940-x40-11.tif;794;424.342569;342.162469;30.322500;33.814814;1.048909;1.115172;0.896722;0.884131;34.000000;0.442594;102.302000;163.367758;115;219
17;M-11940-x40-11.tif;1474;431.761872;34.786974;37.791755;50.996872;1.251777;1.349418;0.741060;0.721640;137.000000;0.671439;152.271000;211.856852;156;239
18;M-11940-x40-11.tif;2825;439.814159;166.953982;47.344313;80.240286;1.604145;1.694824;0.590032;0.558655;442.000000;0.807380;238.636000;212.034336;133;244
19;M-11940-x40-11.tif;620;486.482258;664.925806;23.702769;35.725170;1.346092;1.507215;0.663475;0.618519;66.000000;0.748198;102.409000;191.079032;163;217
20;M-11940-x40-11.tif;726;502.282369;288.257576;23.391093;41.031420;1.221014;1.754147;0.570078;0.549052;55.000000;0.821591;105.544000;174.268595;150;208
21;M-11940-x40-11.tif;1759;535.171688;653.227402;34.220835;75.575689;1.950483;2.208470;0.452802;0.392113;448.000000;0.891611;207.639000;203.723707;149;232
22;M-11940-x40-11.tif;2906;542.596696;260.647281;71.118370;76.657787;2.079377;1.077890;0.927738;0.629641;1105.000000;0.373231;275.562000;155.144873;105;224
23;M-11940-x40-11.tif;638;544.500000;780.780564;22.128961;57.573654;2.652439;2.601733;0.384359;0.245066;317.000000;0.923184;145.827000;191.133229;158;214
24;M-11940-x40-11.tif;915;575.465574;560.145355;24.300935;60.955824;2.325869;2.508374;0.398665;0.313546;407.000000;0.917097;163.534000;195.363934;170;227
25;M-11940-x40-11.tif;1129;576.494243;615.117803;31.292461;51.654728;1.497542;1.650708;0.605801;0.538746;124.000000;0.795617;145.761000;203.420726;148;230
26;M-11940-x40-11.tif;1847;639.138062;295.335679;43.795952;55.820155;1.175556;1.274551;0.784590;0.754736;99.000000;0.620015;165.181000;164.053600;123;207
27;M-11940-x40-11.tif;3579;686.172115;195.287790;58.355204;78.383796;1.106734;1.343219;0.744480;0.741685;117.000000;0.667644;223.104000;156.986588;90;205
28;M-11940-x40-11.tif;2807;770.996081;750.754898;53.614959;71.778223;1.367225;1.338772;0.746953;0.693693;387.000000;0.664877;219.607000;206.614891;137;229
29;M-11940-x40-11.tif;828;746.527778;795.242754;31.577035;34.989624;1.048078;1.108072;0.902469;0.861116;16.000000;0.430756;104.428000;207.299517;154;232
30;M-11940-x40-11.tif;693;1050.606061;219.939394;26.324636;34.821974;1.132102;1.322790;0.755978;0.727674;50.000000;0.654597;99.292000;176.526696;158;200
31;M-11940-x40-11.tif;1294;1085.024730;246.858578;38.357251;47.034379;1.501091;1.226219;0.815515;0.744755;176.000000;0.578736;156.234000;153.329985;94;221
32;M-11940-x40-11.tif;971;1111.881565;269.459320;26.104782;49.344419;1.345360;1.890244;0.529032;0.507754;68.000000;0.848602;128.125000;138.217302;91;219
33;M-11940-x40-11.tif;1684;1125.195962;301.926960;39.323865;62.844449;1.433787;1.598125;0.625733;0.542898;287.000000;0.780037;174.188000;139.085511;77;229
34;M-11940-x40-11.tif;932;1146.689914;245.539700;28.917840;41.728159;1.076528;1.442990;0.693005;0.681503;25.000000;0.720932;112.286000;151.746781;117;224
35;M-11940-x40-11.tif;2752;1216.909157;73.797602;48.738445;76.360575;1.483324;1.566742;0.638267;0.600925;328.000000;0.769815;226.489000;173.978198;134;234
