No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-11.tif;1115;41.881614;556.804484;31.159737;45.902131;1.072989;1.473123;0.678830;0.673782;38.000000;0.734296;122.614000;95.970404;53;179
2;M-11940-x40-11.tif;638;125.343260;571.357367;27.329792;31.309695;1.157064;1.145625;0.872886;0.828654;45.000000;0.487924;96.315000;98.879310;18;213
3;M-11940-x40-11.tif;1708;241.367681;66.446136;42.773468;51.829052;1.119826;1.211710;0.825280;0.809565;75.000000;0.564724;155.033000;114.218384;41;198
4;M-11940-x40-11.tif;1019;240.398430;154.439647;33.428866;39.821589;1.199220;1.191234;0.839466;0.818177;61.000000;0.543412;123.920000;102.692836;54;198
5;M-11940-x40-11.tif;2643;288.026863;193.303443;45.703480;75.637195;1.309637;1.654955;0.604246;0.588215;211.000000;0.796798;208.559000;222.566402;144;245
6;M-11940-x40-11.tif;2376;396.169192;321.033670;37.924645;81.238101;1.279203;2.142093;0.466833;0.458392;143.000000;0.884345;195.433000;133.443603;62;215
7;M-11940-x40-11.tif;3108;575.440798;162.304054;55.724911;71.376101;1.046280;1.280865;0.780722;0.776758;68.000000;0.624878;202.148000;88.504183;55;179
8;M-11940-x40-11.tif;3306;685.653660;193.921053;56.291883;75.257476;1.091875;1.336915;0.747991;0.743214;87.000000;0.663709;212.982000;94.751059;41;180
9;M-11940-x40-11.tif;1675;688.562985;473.891940;42.182754;51.076097;1.075503;1.210829;0.825881;0.817503;56.000000;0.563845;150.459000;96.408955;55;210
10;M-11940-x40-11.tif;2102;1330.670790;734.228354;47.059967;57.065073;1.039359;1.212603;0.824672;0.821868;52.000000;0.565611;165.693000;121.103711;22;220
11;M-11940-x40-11.tif;1931;1367.317970;786.813568;41.195855;59.926205;1.046211;1.454666;0.687443;0.684635;40.000000;0.726238;159.333000;112.242361;46;205
12;M-11940-x40-11.tif;1566;1414.028736;703.693487;40.063139;50.053235;1.017489;1.249359;0.800411;0.795862;37.000000;0.599452;141.503000;100.708812;52;202
13;M-11940-x40-11.tif;1396;1419.553725;524.797994;41.605501;43.063407;1.059390;1.035041;0.966145;0.958471;45.000000;0.257999;136.325000;102.351719;65;188
14;M-11940-x40-11.tif;1436;1457.272284;707.899721;38.129298;49.181262;1.163661;1.289855;0.775281;0.755902;81.000000;0.631616;144.909000;102.396936;36;193
15;M-11940-x40-11.tif;1679;1504.897558;734.197141;37.877097;57.384303;1.091303;1.515013;0.660060;0.649194;55.000000;0.751213;151.741000;110.679571;29;227
