No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-11.tif;2432;42.644737;774.766036;45.536840;75.474137;1.444453;1.657430;0.603344;0.543597;371.000000;0.797481;210.106000;193.642681;88;255
2;M-11940-x40-11.tif;1668;68.663070;724.429856;37.326726;60.173652;1.210928;1.612080;0.620317;0.586534;109.000000;0.784351;159.317000;197.145084;54;238
3;M-11940-x40-11.tif;1279;77.202502;202.881939;36.315827;46.052243;1.106334;1.268104;0.788579;0.767855;52.000000;0.614934;133.347000;222.594996;79;255
4;M-11940-x40-11.tif;5128;94.336388;280.012285;57.365981;119.318925;1.422936;2.079960;0.480779;0.458606;506.000000;0.876842;302.811000;231.947543;84;255
5;M-11940-x40-11.tif;4865;138.002261;368.784378;55.580885;115.206060;1.452755;2.072764;0.482448;0.466705;561.000000;0.875925;298.018000;223.172251;67;255
6;M-11940-x40-11.tif;3953;166.799899;718.586643;50.378893;102.979039;1.498600;2.044091;0.489215;0.474613;349.000000;0.872163;272.842000;219.825955;63;251
7;M-11940-x40-11.tif;893;155.660694;660.032475;28.320527;41.722067;1.248259;1.473209;0.678790;0.653176;54.000000;0.734332;118.354000;202.029115;75;247
8;M-11940-x40-11.tif;2995;200.532554;508.078464;46.884318;88.953196;1.634471;1.897291;0.527067;0.481930;390.000000;0.849824;248.023000;189.393656;33;238
9;M-11940-x40-11.tif;2547;210.347468;425.031802;46.402321;72.125956;1.258307;1.554361;0.643351;0.623384;189.000000;0.765571;200.684000;213.778563;54;255
10;M-11940-x40-11.tif;2916;228.126886;764.397119;44.532263;86.084181;1.331831;1.933074;0.517311;0.501015;225.000000;0.855798;220.914000;217.413580;50;255
11;M-11940-x40-11.tif;2499;288.278912;194.383754;44.317430;73.092351;1.132824;1.649291;0.606321;0.595570;112.000000;0.795220;188.612000;218.588235;50;255
