No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-06.tif;1956;129.538344;602.832822;46.093017;54.087276;0.974303;1.173438;0.852197;0.851312;29.000000;0.523221;154.752000;154.916667;124;216
2;B-11704-x40-06.tif;1793;166.186838;497.035137;37.502874;66.399120;1.547692;1.770507;0.564810;0.517804;221.000000;0.825221;186.740000;151.794200;98;207
3;B-11704-x40-06.tif;797;157.028858;783.107905;27.378836;37.258204;0.993736;1.360840;0.734840;0.731012;16.000000;0.678240;99.763000;125.185696;32;227
4;B-11704-x40-06.tif;1963;171.060621;544.889455;48.613627;51.854766;1.027568;1.066671;0.937496;0.929508;71.000000;0.347996;159.210000;162.068263;109;201
5;B-11704-x40-06.tif;1906;211.307450;565.340504;43.959328;56.935646;1.208394;1.295189;0.772088;0.748625;163.000000;0.635516;170.126000;158.961175;122;202
6;B-11704-x40-06.tif;5354;250.965820;504.651102;73.920043;101.259259;1.509327;1.369848;0.730008;0.664843;548.000000;0.683439;318.666000;148.973851;89;207
7;B-11704-x40-06.tif;2433;272.591040;555.023017;36.317651;89.365932;1.577265;2.460675;0.406393;0.387890;245.000000;0.913699;219.598000;157.758323;100;201
8;B-11704-x40-06.tif;2256;341.767287;509.828901;43.031748;67.963104;1.286039;1.579371;0.633163;0.621875;154.000000;0.774018;190.942000;161.020390;124;202
9;B-11704-x40-06.tif;1410;376.226950;479.292908;33.713681;58.268583;1.469459;1.728336;0.578591;0.528762;146.000000;0.815618;161.359000;152.261702;110;198
10;B-11704-x40-06.tif;637;383.281005;543.659341;20.069171;43.817403;1.488981;2.183319;0.458018;0.422431;94.000000;0.888943;109.174000;178.836735;162;216
11;B-11704-x40-06.tif;2711;413.208041;498.675028;48.255705;76.485426;1.500788;1.585003;0.630914;0.590041;357.000000;0.775853;226.115000;164.301365;107;203
12;B-11704-x40-06.tif;2164;487.190388;517.451479;44.872528;69.347012;1.631634;1.545422;0.647072;0.572944;360.000000;0.762429;210.642000;162.542976;112;210
13;B-11704-x40-06.tif;1918;501.665276;424.557351;42.473918;62.707453;1.448112;1.476376;0.677334;0.621041;213.000000;0.735675;186.823000;152.469760;89;204
14;B-11704-x40-06.tif;1676;498.587112;463.826372;39.314703;54.778328;1.075333;1.393329;0.717705;0.711159;55.000000;0.696347;150.492000;158.084129;119;209
15;B-11704-x40-06.tif;1844;561.838937;443.449566;35.201223;67.676115;1.313698;1.922550;0.520142;0.512625;133.000000;0.854079;174.475000;156.983189;118;202
16;B-11704-x40-06.tif;4095;585.361416;386.130891;67.407234;85.813695;1.600887;1.273064;0.785507;0.708029;585.000000;0.618853;287.020000;148.250794;80;206
17;B-11704-x40-06.tif;1620;559.008025;520.308025;37.231699;55.898630;1.085321;1.501372;0.666057;0.660120;47.000000;0.745900;148.642000;154.571605;116;202
