No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11704-x40-08.tif;1022;125.031311;190.129159;33.609521;39.143289;0.984456;1.164649;0.858628;0.849271;20.000000;0.512599;112.442000;162.535225;85;236
2;B-11704-x40-08.tif;1021;231.412341;115.961802;34.040094;38.450243;0.961069;1.129557;0.885302;0.879301;16.000000;0.465016;111.044000;154.535749;112;229
3;B-11704-x40-08.tif;2228;280.541741;759.040844;28.030789;122.665826;3.131813;4.376110;0.228513;0.188529;842.000000;0.973541;296.115000;179.351885;133;227
4;B-11704-x40-08.tif;495;261.014141;703.949495;18.103997;37.606459;1.426458;2.077246;0.481407;0.445646;64.000000;0.876497;94.197000;169.109091;111;222
5;B-11704-x40-08.tif;1025;292.560976;164.762927;26.893542;49.833386;1.193489;1.852987;0.539669;0.525525;59.000000;0.841877;123.987000;153.197073;101;231
6;B-11704-x40-08.tif;1109;293.155095;615.624887;28.499453;51.381238;1.329367;1.802885;0.554667;0.534851;67.000000;0.832073;136.111000;187.466186;137;223
7;B-11704-x40-08.tif;347;373.253602;316.746398;16.133445;36.439964;2.320394;2.258660;0.442740;0.332724;84.000000;0.896650;100.589000;196.227666;181;212
8;B-11704-x40-08.tif;914;390.749453;460.252735;31.300286;37.331740;0.970784;1.192696;0.838436;0.835026;17.000000;0.545000;105.594000;151.724289;107;228
9;B-11704-x40-08.tif;653;410.594181;315.263400;22.110622;45.878750;1.738187;2.074964;0.481936;0.395003;173.000000;0.876206;119.429000;192.451761;159;221
10;B-11704-x40-08.tif;939;478.843450;326.289670;9.805834;136.754571;5.468918;13.946246;0.071704;0.063928;258.000000;0.997426;254.032000;195.632588;164;222
11;B-11704-x40-08.tif;986;532.043611;586.738337;28.185053;46.390742;1.278200;1.645934;0.607558;0.583344;84.000000;0.794276;125.847000;181.400609;126;216
12;B-11704-x40-08.tif;3029;595.645758;333.560911;47.774686;85.011253;1.923740;1.779420;0.561981;0.533650;487.000000;0.827150;270.600000;171.761307;122;215
13;B-11704-x40-08.tif;1062;567.292844;574.017891;32.824743;43.987488;1.331773;1.340071;0.746229;0.698838;155.000000;0.665689;133.316000;168.440678;108;223
14;B-11704-x40-08.tif;3439;584.759523;239.080547;52.674182;86.444282;1.591496;1.641113;0.609343;0.585962;459.000000;0.792907;262.255000;172.244257;119;217
15;B-11704-x40-08.tif;1102;615.240472;375.859347;29.069119;52.812557;1.491402;1.816792;0.550421;0.503057;148.000000;0.834888;143.712000;164.721416;118;222
16;B-11704-x40-08.tif;1163;618.334480;262.356836;29.534247;52.919366;1.386751;1.791797;0.558099;0.528762;142.000000;0.829774;142.362000;164.923474;120;223
17;B-11704-x40-08.tif;1924;658.294179;432.939189;39.618165;71.793523;1.610882;1.812136;0.551835;0.475275;354.000000;0.833953;197.351000;169.180353;104;216
18;B-11704-x40-08.tif;1097;678.030082;353.371923;31.086471;46.092206;1.154606;1.482710;0.674441;0.657449;68.000000;0.738329;126.161000;168.675479;112;212
19;B-11704-x40-08.tif;1341;682.964952;241.042506;32.903159;53.599617;1.257544;1.629011;0.613869;0.594313;88.000000;0.789408;145.573000;166.122297;108;215
20;B-11704-x40-08.tif;2079;711.139971;633.502646;48.567850;58.930486;1.338344;1.213364;0.824155;0.762227;220.000000;0.566364;186.989000;171.025012;106;221
21;B-11704-x40-08.tif;2566;734.955183;290.512081;39.660527;85.872228;1.738622;2.165181;0.461855;0.443059;288.000000;0.886955;236.775000;180.084957;133;219
22;B-11704-x40-08.tif;1100;742.946364;464.322727;31.352647;45.210641;1.157068;1.442004;0.693479;0.685207;58.000000;0.720476;126.468000;168.063636;129;222
23;B-11704-x40-08.tif;1487;748.547411;353.420309;41.024046;50.724017;1.462491;1.236446;0.808770;0.735858;196.000000;0.588126;165.313000;177.084734;136;212
24;B-11704-x40-08.tif;1255;752.367331;630.990438;33.797850;48.782464;1.269488;1.443360;0.692828;0.671470;97.000000;0.721103;141.495000;162.365737;108;229
25;B-11704-x40-08.tif;1430;761.235664;423.251049;37.042414;49.372424;1.061738;1.332862;0.750265;0.746925;41.000000;0.661137;138.128000;179.508392;150;213
26;B-11704-x40-08.tif;1716;796.814685;345.711538;33.908361;66.547612;1.400240;1.962572;0.509535;0.493358;168.000000;0.860450;173.766000;171.927739;122;217
27;B-11704-x40-08.tif;1118;790.615385;388.033095;32.913460;44.610728;1.211480;1.355395;0.737792;0.715275;94.000000;0.675028;130.462000;170.796064;130;221
28;B-11704-x40-08.tif;4545;812.854125;521.329593;54.271381;115.078717;2.533649;2.120431;0.471602;0.436972;1032.000000;0.881811;380.404000;172.474807;112;219
29;B-11704-x40-08.tif;3257;801.724286;599.041756;56.544976;83.937962;1.620145;1.484446;0.673652;0.588587;494.000000;0.739049;257.508000;158.055266;82;228
30;B-11704-x40-08.tif;1202;805.826955;445.373544;30.906745;50.280041;1.237857;1.626831;0.614692;0.605373;72.000000;0.788767;136.739000;171.400998;135;213
31;B-11704-x40-08.tif;1440;834.552083;380.456944;41.175366;45.396825;1.136465;1.102524;0.907010;0.889655;70.000000;0.421109;143.405000;175.812500;136;214
32;B-11704-x40-08.tif;1097;835.803099;417.466727;32.865129;43.632983;1.183095;1.327638;0.753218;0.733647;46.000000;0.657771;127.708000;169.975387;142;215
33;B-11704-x40-08.tif;1113;852.079964;460.258760;37.189266;39.139906;1.197709;1.052452;0.950162;0.925051;104.000000;0.311755;129.428000;171.134771;138;214
34;B-11704-x40-08.tif;1384;872.721821;596.561416;26.468986;73.593543;2.055436;2.780369;0.359665;0.325362;205.000000;0.933082;189.071000;168.856214;97;226
35;B-11704-x40-08.tif;1163;869.071367;503.730009;28.310171;53.133307;1.171846;1.876827;0.532814;0.524513;54.000000;0.846232;130.867000;167.132416;126;216
36;B-11704-x40-08.tif;1215;883.204115;383.744856;26.048632;60.887572;1.404844;2.337458;0.427815;0.417281;81.000000;0.903866;146.456000;164.898765;110;215
37;B-11704-x40-08.tif;1150;878.854783;430.632174;31.232904;48.773503;1.294454;1.561606;0.640366;0.615517;96.000000;0.768070;136.772000;170.864348;135;213
38;B-11704-x40-08.tif;977;897.564995;459.393040;29.428664;42.505960;1.031302;1.444373;0.692342;0.688502;25.000000;0.721569;112.524000;166.920164;131;214
39;B-11704-x40-08.tif;2236;908.722272;501.806798;49.325767;60.984388;1.264256;1.236360;0.808826;0.765499;182.000000;0.588048;188.477000;168.508945;107;215
40;B-11704-x40-08.tif;1714;934.718786;409.606768;40.596458;55.868434;1.620605;1.376190;0.726644;0.699178;150.000000;0.687014;186.831000;179.808051;139;218
41;B-11704-x40-08.tif;533;932.493433;588.812383;15.307140;47.335582;1.763089;3.092386;0.323375;0.302874;70.000000;0.946271;108.669000;169.590994;118;226
42;B-11704-x40-08.tif;769;939.599480;275.507152;24.819126;41.296302;1.157440;1.663890;0.601001;0.574135;53.000000;0.799248;105.759000;178.019506;142;226
43;B-11704-x40-08.tif;922;940.318872;463.479393;31.151586;37.935783;1.023602;1.217780;0.821166;0.815723;32.000000;0.570689;108.902000;164.067245;129;221
44;B-11704-x40-08.tif;4589;980.015690;551.041621;63.319200;99.398432;2.182398;1.569799;0.637024;0.591383;842.000000;0.770844;354.757000;174.573545;112;213
45;B-11704-x40-08.tif;942;938.998938;627.631635;25.695614;47.735310;1.218317;1.857722;0.538294;0.526358;59.000000;0.842757;120.091000;160.774947;116;221
46;B-11704-x40-08.tif;1318;967.327011;438.207891;37.847252;45.282940;1.257749;1.196466;0.835795;0.818382;111.000000;0.549042;144.331000;172.531108;131;221
47;B-11704-x40-08.tif;964;994.802905;471.398340;33.420328;37.759652;1.179376;1.129841;0.885080;0.860857;70.000000;0.465438;119.528000;165.145228;114;214
48;B-11704-x40-08.tif;1313;1026.668698;438.601676;41.475088;42.407644;1.628406;1.022485;0.978010;0.929580;182.000000;0.208559;163.915000;171.823305;127;222
49;B-11704-x40-08.tif;4214;1062.294495;484.063360;57.010746;99.373107;1.744478;1.743059;0.573704;0.543334;550.000000;0.819063;303.938000;179.002848;128;220
