No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-04.tif;713;23.078541;159.774194;24.134421;37.798832;1.044964;1.566179;0.638496;0.635394;19.000000;0.769625;96.761000;167.639551;140;220
2;F-11333-x40-04.tif;1363;85.096845;317.775495;33.379275;52.493490;1.079141;1.572637;0.635875;0.629789;44.000000;0.771792;135.954000;171.903155;123;212
3;F-11333-x40-04.tif;2069;174.996617;251.903335;37.402575;76.830819;1.453389;2.054159;0.486817;0.446272;219.000000;0.873504;194.391000;167.777187;134;213
4;F-11333-x40-04.tif;607;184.645799;521.037891;23.704198;32.752872;0.978065;1.381733;0.723729;0.720444;11.000000;0.690084;86.374000;181.490939;166;207
5;F-11333-x40-04.tif;2296;303.620209;198.212108;39.100633;81.476610;1.625875;2.083767;0.479900;0.440368;364.000000;0.877323;216.588000;168.118031;121;212
6;F-11333-x40-04.tif;655;323.541985;124.407634;22.775167;37.030973;1.066506;1.625936;0.615030;0.608165;17.000000;0.788504;93.693000;173.616794;135;213
7;F-11333-x40-04.tif;869;361.628308;159.537399;27.740218;40.587463;1.079439;1.463127;0.683468;0.671655;28.000000;0.729981;108.571000;161.034522;93;211
8;F-11333-x40-04.tif;631;361.036450;440.976228;24.752017;33.129090;1.074093;1.338440;0.747138;0.732016;31.000000;0.664668;92.287000;183.793978;166;214
9;F-11333-x40-04.tif;388;382.115979;249.048969;18.543172;30.274465;1.636786;1.632648;0.612502;0.539000;68.000000;0.790469;89.334000;188.744845;174;214
10;F-11333-x40-04.tif;722;393.304709;224.745152;28.730586;32.222264;0.958162;1.121532;0.891638;0.885391;18.000000;0.452750;93.238000;177.998615;150;220
11;F-11333-x40-04.tif;473;425.613108;292.446089;21.982809;28.785719;1.164065;1.309465;0.763671;0.726804;49.000000;0.645606;83.181000;182.160677;158;209
12;F-11333-x40-04.tif;1136;429.334507;331.146127;29.376084;52.894022;1.386598;1.800581;0.555376;0.516982;167.000000;0.831599;140.692000;179.007042;142;209
13;F-11333-x40-04.tif;1065;484.750235;750.207512;35.237661;38.581035;0.963554;1.094881;0.913342;0.910987;19.000000;0.407194;113.558000;170.688263;137;222
14;F-11333-x40-04.tif;2210;504.694118;127.528507;40.842756;73.224169;1.402429;1.792831;0.557777;0.524800;194.000000;0.829991;197.352000;165.510860;128;221
15;F-11333-x40-04.tif;795;564.616352;176.155975;26.261378;39.128536;1.116265;1.489965;0.671157;0.661135;43.000000;0.741316;105.602000;176.033962;138;215
16;F-11333-x40-04.tif;1276;590.503135;566.767241;36.492146;60.421332;2.532880;1.655735;0.603961;0.445021;383.000000;0.797014;201.529000;199.664577;151;221
17;F-11333-x40-04.tif;1300;619.833077;644.363846;39.134926;42.755912;1.039622;1.092526;0.915310;0.905443;30.000000;0.402749;130.321000;172.110769;133;221
18;F-11333-x40-04.tif;2135;667.777986;639.033255;40.842211;69.369377;1.226701;1.698473;0.588764;0.564901;139.000000;0.808305;181.415000;165.887119;136;220
19;F-11333-x40-04.tif;1512;666.026455;517.833995;39.215958;49.490904;1.057764;1.262009;0.792387;0.785979;37.000000;0.610018;141.767000;182.347884;152;211
20;F-11333-x40-04.tif;1340;691.611940;605.635075;36.860947;47.401304;1.174151;1.285949;0.777636;0.759337;120.000000;0.628715;140.611000;173.400000;145;206
21;F-11333-x40-04.tif;1370;699.456934;549.768613;37.882353;46.656358;1.074923;1.231612;0.811944;0.801326;53.000000;0.583735;136.036000;173.596350;150;213
