No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11779-x40-07.tif;673;119.916790;42.846954;22.772765;38.045934;1.090294;1.670677;0.598560;0.591982;20.000000;0.801078;96.025000;164.069837;118;207
2;M-11779-x40-07.tif;771;198.928664;566.241245;28.896563;34.447154;1.050899;1.192085;0.838866;0.827290;30.000000;0.544337;100.905000;180.604410;147;220
3;M-11779-x40-07.tif;726;197.980716;313.121212;24.638803;37.866588;1.062349;1.536868;0.650674;0.644665;29.000000;0.759357;98.448000;178.808540;160;204
4;M-11779-x40-07.tif;771;221.901427;539.350195;23.656562;42.222840;1.159880;1.784826;0.560279;0.550642;38.000000;0.828304;106.008000;180.421530;157;217
5;M-11779-x40-07.tif;1516;403.693931;293.457784;33.397553;58.493770;1.230080;1.751439;0.570959;0.564144;75.000000;0.820978;153.081000;166.967678;138;213
6;M-11779-x40-07.tif;852;410.037559;451.137324;23.676007;47.781244;1.274894;2.018129;0.495508;0.475154;67.000000;0.868603;116.832000;167.711268;138;209
7;M-11779-x40-07.tif;1081;456.508788;220.359852;33.157931;44.736394;1.375911;1.349191;0.741185;0.687723;135.000000;0.671301;136.714000;178.980574;154;207
8;M-11779-x40-07.tif;1395;476.476703;694.096057;39.487407;46.539064;1.133560;1.178580;0.848479;0.820066;60.000000;0.529229;140.966000;180.561290;159;205
9;M-11779-x40-07.tif;2618;497.873186;371.882353;50.179652;67.288447;1.111478;1.340951;0.745739;0.736205;111.000000;0.666238;191.223000;163.988923;129;217
10;M-11779-x40-07.tif;3336;511.526978;478.272482;63.670180;67.805988;1.218019;1.064957;0.939005;0.923847;241.000000;0.343903;225.967000;168.689448;137;207
11;M-11779-x40-07.tif;663;504.040724;721.159879;23.072733;38.007750;1.471393;1.647302;0.607053;0.584358;50.000000;0.794661;110.720000;181.939668;162;201
12;M-11779-x40-07.tif;2722;532.223365;421.221896;50.206384;79.255722;1.726691;1.578598;0.633473;0.551743;542.000000;0.773765;243.028000;164.058780;130;203
13;M-11779-x40-07.tif;584;533.614726;588.349315;23.400978;32.242563;1.008433;1.377830;0.725779;0.715260;12.000000;0.687928;86.027000;169.551370;132;208
14;M-11779-x40-07.tif;1728;555.802083;262.881366;41.700500;53.549075;1.050221;1.284135;0.778734;0.767273;52.000000;0.627354;151.014000;169.720486;134;206
15;M-11779-x40-07.tif;1769;571.781232;552.352176;41.941442;58.469028;1.328314;1.394063;0.717328;0.658849;152.000000;0.696736;171.838000;150.519503;105;225
16;M-11779-x40-07.tif;4664;591.454974;413.418310;74.199950;82.295223;1.111062;1.109101;0.901631;0.876838;182.000000;0.432505;255.184000;159.660163;118;217
17;M-11779-x40-07.tif;5400;627.432222;349.020370;71.211676;99.321278;1.334784;1.394733;0.716983;0.696978;381.000000;0.697091;300.959000;162.776296;130;224
18;M-11779-x40-07.tif;5454;618.231573;697.130363;78.421081;92.872448;1.285286;1.184279;0.844396;0.805103;523.000000;0.535720;296.799000;166.807297;136;211
19;M-11779-x40-07.tif;2129;613.147487;578.510099;44.177661;67.072280;2.154454;1.518240;0.658658;0.602559;342.000000;0.752443;240.083000;177.074213;145;206
20;M-11779-x40-07.tif;1660;606.417470;286.060241;41.722731;53.211627;1.329403;1.275363;0.784090;0.746458;122.000000;0.620647;166.528000;163.059639;112;216
21;M-11779-x40-07.tif;510;607.425490;539.435294;25.703261;26.883377;1.264692;1.045913;0.956102;0.898489;54.000000;0.293033;90.029000;164.590196;133;221
22;M-11779-x40-07.tif;6008;657.947071;504.549268;78.384956;115.277704;1.608324;1.470661;0.679966;0.575638;1029.000000;0.733243;348.463000;165.601531;123;217
23;M-11779-x40-07.tif;478;653.046025;405.023013;21.779296;28.266847;1.027408;1.297877;0.770489;0.761699;12.000000;0.637453;78.558000;169.970711;140;214
