No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;559;26.198569;440.663685;17.414389;43.539867;1.738401;2.500224;0.399964;0.375446;91.000000;0.916531;110.506000;187.184258;164;222
2;M-11820b-x40-10.tif;1051;45.152236;580.367269;29.547586;46.053446;1.287249;1.558620;0.641593;0.630941;76.000000;0.767045;130.388000;184.396765;162;208
3;M-11820b-x40-10.tif;1119;113.636282;183.242181;32.986496;44.232745;1.255133;1.340935;0.745748;0.728203;89.000000;0.666228;132.851000;187.589812;171;222
4;M-11820b-x40-10.tif;2292;127.116492;588.307155;49.353380;63.877916;1.493343;1.294297;0.772620;0.715193;403.000000;0.634868;207.392000;161.959860;101;209
5;M-11820b-x40-10.tif;1765;123.260623;735.217564;39.470633;59.412152;1.372121;1.505224;0.664353;0.636655;164.000000;0.747419;174.451000;171.790935;138;216
6;M-11820b-x40-10.tif;341;113.322581;378.539589;17.243889;25.562763;1.048514;1.482424;0.674571;0.664430;19.000000;0.738210;67.030000;160.401760;122;219
7;M-11820b-x40-10.tif;2450;141.676735;434.670612;38.860617;96.311134;2.719387;2.478374;0.403490;0.336297;828.000000;0.914984;289.350000;179.111837;139;215
8;M-11820b-x40-10.tif;3054;170.797315;306.304519;58.234863;69.268839;1.404816;1.189474;0.840708;0.810407;289.000000;0.541489;232.193000;150.137852;106;217
9;M-11820b-x40-10.tif;923;164.655471;143.266522;26.640504;46.923084;1.456470;1.761344;0.567748;0.533751;98.000000;0.823202;129.974000;173.771398;138;215
10;M-11820b-x40-10.tif;1133;180.527802;500.257723;36.267799;40.295905;1.064071;1.111066;0.900037;0.888420;53.000000;0.435814;123.085000;180.004413;155;214
11;M-11820b-x40-10.tif;3860;222.850000;458.396114;64.346478;98.763603;2.832536;1.534872;0.651520;0.503853;1835.000000;0.758631;370.669000;171.497927;118;210
