No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-03.tif;1103;39.500453;745.135993;34.871266;40.561217;1.044647;1.163170;0.859719;0.853618;40.000000;0.510767;120.331000;167.633726;129;217
2;M-11830a-x40-03.tif;3841;97.249414;704.272846;63.493882;87.748849;2.197131;1.382005;0.723586;0.635143;881.000000;0.690234;325.653000;177.971622;127;219
3;M-11830a-x40-03.tif;2318;91.301122;633.752373;49.365860;61.756032;1.311560;1.250987;0.799369;0.773864;112.000000;0.600840;195.459000;180.290768;151;217
4;M-11830a-x40-03.tif;2426;120.449299;596.656224;54.933074;57.631048;1.114614;1.049114;0.953185;0.930011;103.000000;0.302386;184.337000;168.863149;137;220
5;M-11830a-x40-03.tif;783;108.721584;518.665390;24.074242;42.316927;1.175288;1.757768;0.568903;0.556729;38.000000;0.822404;107.537000;192.779055;179;208
6;M-11830a-x40-03.tif;3931;157.606461;415.592724;70.679879;82.205832;1.880270;1.163073;0.859792;0.740641;783.000000;0.510645;304.766000;191.784279;174;209
7;M-11830a-x40-03.tif;1379;138.517041;486.643945;37.854775;46.677087;1.072985;1.233057;0.810993;0.805874;68.000000;0.585056;136.359000;171.542422;132;216
8;M-11830a-x40-03.tif;2361;203.144430;599.282931;45.401484;69.801264;1.487749;1.537423;0.650439;0.616992;344.000000;0.759558;210.096000;188.578992;172;208
9;M-11830a-x40-03.tif;1901;200.297212;473.069963;45.562229;54.109578;1.153615;1.187597;0.842036;0.826692;120.000000;0.539421;166.007000;186.557075;162;207
10;M-11830a-x40-03.tif;1405;263.777224;599.637011;37.474111;53.596880;1.870828;1.430238;0.699185;0.622741;272.000000;0.714941;181.744000;195.289680;171;212
11;M-11830a-x40-03.tif;1252;255.952077;740.627796;37.458712;43.243195;1.084971;1.154423;0.866234;0.852470;49.000000;0.499639;130.652000;169.214856;130;224
12;M-11830a-x40-03.tif;1323;297.275132;181.783069;30.801268;55.329532;1.170134;1.796339;0.556688;0.550245;59.000000;0.830722;139.477000;169.780801;127;216
13;M-11830a-x40-03.tif;1439;325.705351;251.104934;36.508933;56.774958;1.744139;1.555098;0.643046;0.568404;306.000000;0.765827;177.593000;190.585823;156;209
