No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-11.tif;1139;42.033363;555.482880;31.087090;46.804376;1.034575;1.505589;0.664192;0.662004;22.000000;0.747562;121.688000;149.878841;117;179
2;M-11940-x40-11.tif;1391;236.841840;157.760604;32.622098;60.773194;1.590456;1.862946;0.536784;0.479527;226.000000;0.843720;166.736000;152.121495;126;175
3;M-11940-x40-11.tif;2287;243.421076;61.454307;45.939981;64.917809;1.132054;1.413100;0.707664;0.690953;100.000000;0.706549;180.373000;152.947967;130;189
4;M-11940-x40-11.tif;5946;398.514632;307.595863;79.205218;106.585233;2.865980;1.345684;0.743116;0.666409;1521.000000;0.669162;462.758000;147.628322;125;181
5;M-11940-x40-11.tif;5889;438.455256;440.050433;77.986558;105.824552;2.553512;1.356959;0.736942;0.669543;1487.000000;0.675956;434.705000;147.751231;126;178
6;M-11940-x40-11.tif;616;409.201299;238.217532;18.084442;47.317454;1.795439;2.616473;0.382194;0.350306;107.000000;0.924082;117.891000;142.990260;127;179
7;M-11940-x40-11.tif;6223;505.282179;628.949060;79.305512;107.191958;2.348822;1.351633;0.739846;0.689581;1276.000000;0.672777;428.578000;146.103005;127;170
8;M-11940-x40-11.tif;1862;492.911923;735.096133;38.774330;85.264375;3.836879;2.198990;0.454754;0.326103;1075.000000;0.890617;299.629000;142.093985;119;176
9;M-11940-x40-11.tif;2074;533.494214;797.669720;53.466595;71.796932;3.177934;1.342837;0.744692;0.512280;1324.000000;0.667408;287.794000;142.456123;129;155
10;M-11940-x40-11.tif;823;529.650061;679.352369;31.549358;34.933372;1.129737;1.107261;0.903129;0.858675;49.000000;0.429368;108.092000;143.467801;129;164
11;M-11940-x40-11.tif;5667;584.573496;164.204164;69.365165;106.361205;1.375073;1.533352;0.652166;0.637818;475.000000;0.758076;312.928000;152.284101;125;180
12;M-11940-x40-11.tif;5805;676.838071;192.522825;68.742274;112.985976;1.486233;1.643617;0.608414;0.578980;787.000000;0.793620;329.268000;153.738501;125;176
13;M-11940-x40-11.tif;2474;1325.017381;732.189167;55.167376;65.724948;2.430889;1.191373;0.839367;0.729204;746.000000;0.543565;274.908000;153.337914;127;174
