No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;362;226.837017;206.276243;14.283032;52.074948;2.629673;3.645931;0.274278;0.169966;186.000000;0.961650;109.373000;126.635359;21;191
2;B-11865-x40-03.tif;594;448.720539;172.173401;22.704360;48.557997;2.334591;2.138708;0.467572;0.320756;258.000000;0.883955;132.009000;126.215488;53;191
3;B-11865-x40-03.tif;442;503.223982;604.278281;20.545021;48.013124;2.463424;2.336971;0.427904;0.244125;304.000000;0.903824;116.973000;86.067873;0;234
4;B-11865-x40-03.tif;970;858.147423;576.830928;26.321909;52.106514;1.459157;1.979587;0.505156;0.454881;130.000000;0.863028;133.365000;109.063918;0;191
5;B-11865-x40-03.tif;326;855.196319;229.585890;12.284672;43.561681;2.143924;3.546019;0.282006;0.218735;110.000000;0.959413;93.717000;119.901840;53;244
6;B-11865-x40-03.tif;1048;872.801527;479.306298;34.639645;43.306873;1.834018;1.250211;0.799865;0.711472;287.000000;0.600180;155.413000;117.010496;0;234
7;B-11865-x40-03.tif;939;887.752929;592.965921;22.219447;59.638077;2.366766;2.684049;0.372571;0.336146;248.000000;0.928003;167.115000;122.171459;53;181
8;B-11865-x40-03.tif;1465;905.681229;510.370648;36.002616;55.893980;1.627182;1.552498;0.644123;0.597060;279.000000;0.764922;173.078000;115.200683;43;202
9;B-11865-x40-03.tif;1297;939.353894;584.220509;28.020218;69.471658;2.143712;2.479340;0.403333;0.342164;384.000000;0.915053;186.921000;121.488049;64;191
10;B-11865-x40-03.tif;4240;985.497170;457.409906;49.846451;146.993172;4.231864;2.948920;0.339107;0.249851;2924.000000;0.940748;474.847000;107.408962;0;234
11;B-11865-x40-03.tif;974;988.305955;575.112936;31.493067;44.087668;1.844274;1.399917;0.714328;0.638021;195.000000;0.699811;150.244000;122.994867;53;191
12;B-11865-x40-03.tif;3990;1246.548371;472.743609;51.720576;108.761656;2.590232;2.102870;0.475541;0.429469;1148.000000;0.879694;360.380000;110.737093;43;202
