No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-08.tif;578;146.057093;512.922145;24.024417;30.864179;0.964017;1.284700;0.778392;0.772553;7.000000;0.627779;83.678000;209.437716;36;255
2;F-11333-x40-08.tif;730;428.005479;420.943836;28.324628;33.191551;0.993097;1.171827;0.853369;0.843680;22.000000;0.521308;95.447000;208.028767;18;255
3;F-11333-x40-08.tif;5330;483.338649;634.333959;82.972572;95.695420;2.860303;1.153338;0.867049;0.741063;1609.000000;0.498224;437.698000;156.463977;18;255
4;F-11333-x40-08.tif;690;456.856522;208.973913;25.931808;34.280868;1.067289;1.321962;0.756451;0.747576;28.000000;0.654050;96.199000;215.876812;55;255
5;F-11333-x40-08.tif;1240;470.791935;700.961290;34.668599;52.442653;1.952119;1.512685;0.661076;0.574067;311.000000;0.750319;174.409000;150.588710;73;237
6;F-11333-x40-08.tif;5250;539.446476;354.422095;67.464360;105.940345;2.240113;1.570316;0.636815;0.595589;904.000000;0.771017;384.432000;183.713143;18;255
7;F-11333-x40-08.tif;648;566.175926;621.199074;29.025743;41.375805;2.548814;1.425487;0.701515;0.481939;267.000000;0.712655;144.066000;128.072531;55;200
8;F-11333-x40-08.tif;327;571.792049;711.562691;16.584124;29.480172;1.538420;1.777614;0.562552;0.479069;64.000000;0.826762;79.509000;135.813456;73;219
9;F-11333-x40-08.tif;648;668.233025;61.129630;23.259964;49.650476;3.023545;2.134590;0.468474;0.334687;350.000000;0.883477;156.910000;163.836420;55;255
10;F-11333-x40-08.tif;1011;761.097923;191.156281;33.321201;49.184829;2.066856;1.476082;0.677469;0.532107;382.000000;0.735551;162.045000;154.489614;36;255
11;F-11333-x40-08.tif;1168;835.307363;545.182363;25.786026;65.513188;3.144220;2.540647;0.393601;0.346494;296.000000;0.919282;214.824000;135.717466;0;255
12;F-11333-x40-08.tif;2484;894.766908;155.356683;50.320477;68.421055;2.361899;1.359706;0.735453;0.675588;454.000000;0.677576;271.526000;160.082931;18;255
13;F-11333-x40-08.tif;819;907.147741;200.047619;26.865581;42.476615;1.716825;1.581079;0.632479;0.577955;140.000000;0.774577;132.926000;149.476190;18;255
14;F-11333-x40-08.tif;1003;929.309073;228.312064;35.608159;43.489768;2.320453;1.221343;0.818771;0.675207;212.000000;0.574120;171.018000;149.088734;0;255
15;F-11333-x40-08.tif;658;937.658055;325.346505;19.984350;46.497367;1.861109;2.326689;0.429795;0.387507;150.000000;0.902926;124.052000;132.486322;18;255
16;F-11333-x40-08.tif;489;996.437628;274.417178;22.198197;33.440369;1.794941;1.506445;0.663814;0.556771;102.000000;0.747897;105.023000;157.750511;0;255
17;F-11333-x40-08.tif;688;1197.914244;153.674419;21.981631;40.128403;1.104146;1.825543;0.547782;0.543995;23.000000;0.836621;97.704000;194.255814;55;255
18;F-11333-x40-08.tif;3122;1227.983664;571.792761;66.237586;80.112302;2.836707;1.209469;0.826809;0.619362;1182.000000;0.562483;333.602000;170.883088;0;255
19;F-11333-x40-08.tif;1873;1273.687667;587.956754;40.162443;64.402868;1.508637;1.603560;0.623613;0.574960;261.000000;0.781733;188.437000;165.231714;36;255
20;F-11333-x40-08.tif;571;1264.677758;529.840630;16.772185;48.079694;2.070979;2.866633;0.348841;0.314502;122.000000;0.937182;121.902000;148.765324;55;255
21;F-11333-x40-08.tif;1350;1296.762222;539.111111;33.288702;55.635629;1.821938;1.671307;0.598334;0.555313;221.000000;0.801247;175.808000;164.960741;0;255
22;F-11333-x40-08.tif;2067;1337.974359;563.839381;45.311423;64.928719;1.780296;1.432944;0.697864;0.624276;375.000000;0.716230;215.041000;157.920174;0;255
23;F-11333-x40-08.tif;876;1349.713470;529.867580;25.103773;56.485550;2.038223;2.250082;0.444428;0.349574;279.000000;0.895814;149.790000;164.331050;18;255
24;F-11333-x40-08.tif;705;1367.897872;398.181560;25.467150;35.605096;1.015169;1.398079;0.715267;0.708068;17.000000;0.698851;94.835000;217.226950;18;255
25;F-11333-x40-08.tif;598;1403.364548;335.332776;24.865486;31.717943;1.032155;1.275581;0.783956;0.756835;8.000000;0.620816;88.070000;206.727425;36;255
26;F-11333-x40-08.tif;650;1460.880000;490.366154;27.284199;30.479031;0.965325;1.117095;0.895179;0.890884;16.000000;0.445706;88.797000;213.266154;18;255
27;F-11333-x40-08.tif;653;1565.486983;542.932619;26.438654;32.200358;1.007076;1.217927;0.821067;0.801866;24.000000;0.570832;90.906000;212.629403;36;255
