No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-01.tif;560;186.901786;181.333929;24.954885;28.763750;0.996764;1.152630;0.867581;0.861801;15.000000;0.497296;83.752000;160.255357;99;227
2;M-11783-x40-01.tif;544;229.889706;442.966912;22.178032;32.869635;1.562774;1.482081;0.674727;0.641090;58.000000;0.738067;103.360000;139.183824;57;198
3;M-11783-x40-01.tif;851;262.757932;530.709753;30.077986;39.387873;1.342851;1.309525;0.763636;0.698417;101.000000;0.645647;119.835000;207.012926;0;255
4;M-11783-x40-01.tif;1900;366.427895;300.147895;46.023197;65.217675;2.634481;1.417061;0.705686;0.568765;706.000000;0.708525;250.801000;174.293158;14;255
5;M-11783-x40-01.tif;835;371.026347;135.184431;27.115447;39.571709;1.099044;1.459379;0.685223;0.678933;38.000000;0.728333;107.388000;161.404790;71;198
6;M-11783-x40-01.tif;377;391.381963;481.055703;19.072451;27.425407;1.292527;1.437959;0.695430;0.638183;53.000000;0.718594;78.252000;125.111406;57;198
7;M-11783-x40-01.tif;353;412.807365;559.407932;14.222000;36.114087;1.747174;2.539312;0.393808;0.344613;94.000000;0.919193;88.036000;146.855524;57;213
8;M-11783-x40-01.tif;817;535.747858;288.201958;31.842986;39.657226;2.319356;1.245399;0.802955;0.661436;247.000000;0.596039;154.312000;132.238678;71;227
9;M-11783-x40-01.tif;1698;1037.907538;694.796820;37.803906;67.514752;2.256609;1.785920;0.559936;0.474297;432.000000;0.828536;219.433000;153.492933;42;255
10;M-11783-x40-01.tif;421;1098.534442;698.907363;15.261819;39.846506;1.901559;2.610862;0.383015;0.337607;79.000000;0.923742;100.300000;123.814727;28;198
11;M-11783-x40-01.tif;1204;1304.729236;501.647010;32.492962;51.285791;1.317675;1.578366;0.633567;0.582831;131.000000;0.773688;141.196000;178.160299;71;255
12;M-11783-x40-01.tif;3022;1337.207478;773.495698;43.253224;101.379155;2.015803;2.343852;0.426648;0.374375;662.000000;0.904418;276.679000;191.968564;57;255
