No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-06.tif;2833;49.382280;537.005295;42.960981;94.692097;2.181500;2.204142;0.453691;0.402281;790.000000;0.891159;278.680000;185.422873;60;255
2;M-11830a-x40-06.tif;985;108.678173;494.607107;18.699704;98.178248;3.244091;5.250257;0.190467;0.130112;564.000000;0.981694;200.387000;174.970558;76;255
3;M-11830a-x40-06.tif;1044;116.193487;679.715517;22.891050;59.644723;1.415207;2.605591;0.383790;0.373651;31.000000;0.923420;136.259000;196.586207;60;255
4;M-11830a-x40-06.tif;460;105.050000;551.276087;20.441458;29.189143;1.021160;1.427938;0.700310;0.687425;20.000000;0.713839;76.830000;159.021739;76;204
5;M-11830a-x40-06.tif;1842;142.479370;539.573290;40.146691;60.495947;1.252821;1.506873;0.663626;0.640836;163.000000;0.748064;170.292000;215.961455;60;255
6;M-11830a-x40-06.tif;1683;141.667261;612.976827;41.481208;52.286983;1.120143;1.260498;0.793337;0.783803;94.000000;0.608782;153.916000;182.673797;102;238
7;M-11830a-x40-06.tif;1145;206.113537;632.117031;33.538474;43.884214;1.097522;1.308474;0.764249;0.757005;46.000000;0.644921;125.665000;206.320524;102;255
8;M-11830a-x40-06.tif;1803;271.233500;75.295618;34.880513;71.254124;1.558123;2.042806;0.489523;0.452153;176.000000;0.871991;187.890000;186.457571;68;255
9;M-11830a-x40-06.tif;411;254.255474;274.635036;17.776541;33.816187;1.863315;1.902293;0.525681;0.457618;81.000000;0.850682;98.100000;145.858881;102;179
10;M-11830a-x40-06.tif;1215;276.306173;629.033745;27.727646;58.374105;1.322333;2.105267;0.474999;0.453990;118.000000;0.879986;142.090000;175.325103;60;238
11;M-11830a-x40-06.tif;1049;294.620591;111.653956;26.089772;51.734658;1.161204;1.982948;0.504300;0.499025;50.000000;0.863529;123.722000;187.500477;51;255
12;M-11830a-x40-06.tif;2821;361.396313;294.775611;32.748006;117.127353;2.204826;3.576625;0.279593;0.261816;516.000000;0.960119;279.572000;158.996455;93;204
13;M-11830a-x40-06.tif;1107;345.982836;661.519422;25.330346;56.891723;1.265284;2.245991;0.445238;0.435471;47.000000;0.895412;132.670000;191.584463;93;255
14;M-11830a-x40-06.tif;815;362.565644;623.214724;31.965484;32.789631;0.986513;1.025782;0.974866;0.965150;19.000000;0.222794;100.516000;209.555828;68;255
15;M-11830a-x40-06.tif;1119;400.563896;661.038427;30.958083;46.667033;1.140247;1.507426;0.663382;0.654214;62.000000;0.748281;126.625000;194.221626;68;255
16;M-11830a-x40-06.tif;1564;464.590793;264.765985;32.832288;65.583560;1.740979;1.997532;0.500618;0.462974;245.000000;0.865669;184.978000;153.761509;68;187
