No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.tif;1502;35.307590;585.328895;33.310441;62.974762;1.412181;1.890541;0.528949;0.482222;139.000000;0.848654;163.262000;191.194407;68;255
2;M-11934b-x40-06.tif;553;43.918626;30.848101;24.947617;28.473705;0.980688;1.141340;0.876163;0.868455;24.000000;0.482014;82.553000;195.119349;94;255
3;M-11934b-x40-06.tif;805;80.730435;597.670807;21.514319;49.401183;1.321410;2.296200;0.435502;0.419983;40.000000;0.900188;115.617000;171.457143;114;208
4;M-11934b-x40-06.tif;1238;88.862682;430.680129;31.658133;50.289013;1.162790;1.588502;0.629524;0.623282;45.000000;0.776981;134.498000;191.150242;47;239
5;M-11934b-x40-06.tif;2191;178.539480;515.822912;40.546605;81.768219;1.666802;2.016648;0.495872;0.417238;457.000000;0.868395;214.224000;201.099042;47;255
6;M-11934b-x40-06.tif;1292;172.937307;376.346749;34.106429;49.640890;1.250343;1.455470;0.687063;0.667565;128.000000;0.726598;142.479000;194.087461;104;255
7;M-11934b-x40-06.tif;841;179.722949;335.142687;30.341075;36.570577;1.094233;1.205316;0.829658;0.800650;52.000000;0.558272;107.537000;179.778835;83;219
8;M-11934b-x40-06.tif;1246;213.198234;363.952648;26.325293;66.934998;1.586076;2.542612;0.393296;0.354097;167.000000;0.919412;157.589000;175.930979;42;229
9;M-11934b-x40-06.tif;1162;268.357143;268.804647;30.130306;50.082694;1.169756;1.662203;0.601611;0.589849;77.000000;0.798789;130.694000;179.640275;104;229
10;M-11934b-x40-06.tif;557;274.195691;322.642729;22.064562;34.123492;1.255247;1.546529;0.646609;0.609058;67.000000;0.762821;93.734000;161.581688;99;203
11;M-11934b-x40-06.tif;698;295.935530;519.879656;28.649238;31.867867;1.064334;1.112346;0.899001;0.875104;28.000000;0.437947;96.621000;167.087393;83;198
12;M-11934b-x40-06.tif;1288;323.229814;253.648292;37.270034;46.316673;1.174871;1.242732;0.804679;0.764454;80.000000;0.593711;137.898000;184.042702;62;250
13;M-11934b-x40-06.tif;1091;325.357470;541.534372;34.068606;41.270511;1.071588;1.211394;0.825495;0.815559;40.000000;0.564409;121.208000;170.511457;120;213
14;M-11934b-x40-06.tif;6932;409.745961;154.126370;98.950849;104.791941;2.071887;1.059030;0.944260;0.803735;1695.000000;0.329200;424.832000;199.473889;62;255
15;M-11934b-x40-06.tif;626;384.206070;61.250799;24.433984;33.393763;1.066613;1.366693;0.731693;0.714749;31.000000;0.681634;91.600000;182.507987;109;245
16;M-11934b-x40-06.tif;4835;416.591313;266.170010;71.792577;93.983748;1.638379;1.309101;0.763883;0.696949;627.000000;0.645355;315.508000;189.135471;36;255
17;M-11934b-x40-06.tif;2323;453.973741;474.002583;40.283167;80.237783;1.502701;1.991844;0.502047;0.459411;381.000000;0.864840;209.443000;186.729660;114;250
18;M-11934b-x40-06.tif;760;449.256579;188.497368;30.179040;32.661532;1.031259;1.082259;0.923993;0.907090;30.000000;0.382408;99.242000;185.598684;83;245
19;M-11934b-x40-06.tif;1787;485.940123;531.073307;37.774584;63.440813;1.491619;1.679458;0.595430;0.565324;206.000000;0.803407;183.019000;174.452714;120;224
20;M-11934b-x40-06.tif;1243;529.962993;78.849558;28.377316;58.605161;1.285043;2.065212;0.484212;0.460797;116.000000;0.874951;141.677000;188.479485;47;239
21;M-11934b-x40-06.tif;1252;578.905751;405.710863;32.615176;50.916515;1.335304;1.561130;0.640562;0.614890;122.000000;0.767907;144.943000;195.059105;83;255
22;M-11934b-x40-06.tif;830;733.797590;662.859036;28.197911;37.895957;1.056676;1.343928;0.744088;0.735872;29.000000;0.668082;104.982000;172.244578;120;203
23;M-11934b-x40-06.tif;972;748.109053;411.647119;30.034872;42.275643;1.196062;1.407552;0.710453;0.692462;74.000000;0.703744;120.869000;182.094650;104;239
24;M-11934b-x40-06.tif;1910;780.114660;205.288482;40.300036;61.417407;1.164964;1.524004;0.656166;0.644704;91.000000;0.754616;167.216000;204.422513;21;255
25;M-11934b-x40-06.tif;1910;808.822513;177.019895;29.975144;84.310713;1.558770;2.812687;0.355532;0.342120;172.000000;0.934664;193.425000;189.806806;88;250
26;M-11934b-x40-06.tif;1658;822.202051;33.837756;41.444789;57.526447;1.484294;1.388026;0.720448;0.637910;334.000000;0.693509;175.856000;99.750905;26;245
27;M-11934b-x40-06.tif;2842;866.011612;632.283603;56.149673;78.538663;1.955340;1.398738;0.714930;0.586634;773.000000;0.699196;264.258000;172.989092;26;229
28;M-11934b-x40-06.tif;427;847.882904;207.594848;22.361168;25.261082;1.116491;1.129685;0.885202;0.851989;37.000000;0.465206;77.401000;178.990632;52;213
29;M-11934b-x40-06.tif;626;857.394569;669.073482;21.975638;36.802525;1.124409;1.674697;0.597123;0.588477;32.000000;0.802150;94.049000;163.829073;120;187
30;M-11934b-x40-06.tif;837;876.667861;211.696535;27.154959;40.143894;1.126848;1.478326;0.676441;0.661297;39.000000;0.736497;108.868000;180.703704;78;224
31;M-11934b-x40-06.tif;689;880.470247;517.895501;28.006727;31.941066;1.111703;1.140478;0.876825;0.859866;37.000000;0.480810;98.109000;177.447025;94;234
32;M-11934b-x40-06.tif;776;894.353093;607.887887;29.618175;34.019968;1.072883;1.148618;0.870611;0.853698;44.000000;0.491971;102.285000;175.328608;73;224
33;M-11934b-x40-06.tif;642;919.387850;297.095016;22.911847;36.419467;1.154994;1.589547;0.629110;0.616280;31.000000;0.777316;96.530000;189.202492;47;245
34;M-11934b-x40-06.tif;723;922.549101;380.893499;27.015286;34.904591;1.075378;1.292031;0.773975;0.755585;39.000000;0.633216;98.845000;186.495159;68;250
35;M-11934b-x40-06.tif;2589;991.583623;220.218231;38.792625;92.915888;1.602940;2.395195;0.417503;0.381823;386.000000;0.908676;228.365000;191.632290;57;255
36;M-11934b-x40-06.tif;693;1010.207792;641.379509;27.697271;33.108529;1.098784;1.195372;0.836560;0.804940;36.000000;0.547875;97.820000;163.455988;109;193
37;M-11934b-x40-06.tif;855;1039.487719;624.909942;25.246197;46.017277;1.461885;1.822741;0.548624;0.514084;132.000000;0.836069;125.327000;162.874854;120;182
38;M-11934b-x40-06.tif;4801;1094.358675;82.206832;50.905238;130.572887;2.051084;2.565019;0.389861;0.358539;893.000000;0.920874;351.773000;183.850864;47;250
39;M-11934b-x40-06.tif;6965;1086.786504;230.697631;91.153536;112.715593;2.126067;1.236547;0.808704;0.698013;1775.000000;0.588216;431.374000;205.243934;62;255
40;M-11934b-x40-06.tif;724;1065.421271;647.669890;28.633739;32.406675;0.999398;1.131765;0.883575;0.877768;19.000000;0.468289;95.355000;166.265193;104;198
41;M-11934b-x40-06.tif;582;1091.489691;498.788660;25.456496;29.610640;1.028290;1.163186;0.859708;0.845157;23.000000;0.510786;86.721000;178.891753;104;224
42;M-11934b-x40-06.tif;1312;1113.762957;161.210366;32.298068;52.956072;1.176613;1.639605;0.609903;0.595679;54.000000;0.792476;139.280000;192.389482;109;255
43;M-11934b-x40-06.tif;565;1106.233628;308.261947;23.039525;31.925572;1.104979;1.385687;0.721664;0.705799;31.000000;0.692244;88.574000;171.458407;99;219
