No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;1727;96.581355;548.056167;39.919433;55.231110;1.020997;1.383565;0.722771;0.720833;42.000000;0.691088;148.855000;85.687898;35;175
2;B-hosp1385-x40-09.tif;2904;124.034780;594.182851;57.571992;68.219118;1.679279;1.184936;0.843928;0.794501;344.000000;0.536457;247.551000;76.088843;24;170
3;B-hosp1385-x40-09.tif;2837;134.261191;492.149806;52.565318;69.514910;1.069168;1.322448;0.756173;0.747504;85.000000;0.654371;195.235000;79.701445;5;187
4;B-hosp1385-x40-09.tif;1798;126.824805;645.938821;45.500493;51.762903;1.241546;1.137634;0.879017;0.854403;132.000000;0.476790;167.487000;76.570078;13;145
5;B-hosp1385-x40-09.tif;1938;155.593911;396.170795;47.078771;52.722623;0.995692;1.119881;0.892952;0.887707;47.000000;0.450152;155.720000;87.863777;28;190
6;B-hosp1385-x40-09.tif;1588;166.886650;691.136650;43.776973;46.788295;1.065068;1.068788;0.935639;0.923605;52.000000;0.352957;145.787000;72.096348;16;200
7;B-hosp1385-x40-09.tif;2524;175.821315;636.463154;55.343045;58.692983;1.140258;1.060530;0.942924;0.932883;133.000000;0.333007;190.174000;66.205230;6;151
8;B-hosp1385-x40-09.tif;1754;203.342645;425.466363;45.545765;49.153750;0.992490;1.079217;0.926598;0.924329;24.000000;0.376053;147.905000;79.827252;42;151
9;B-hosp1385-x40-09.tif;3090;226.884142;326.308738;57.473608;68.802027;0.997662;1.197106;0.835348;0.831125;44.000000;0.549722;196.823000;76.018123;4;171
10;B-hosp1385-x40-09.tif;2053;259.538724;396.160253;43.892558;59.712663;1.015978;1.360428;0.735063;0.733105;39.000000;0.677999;161.898000;80.606917;42;139
11;B-hosp1385-x40-09.tif;2111;258.050213;443.162956;48.989516;56.892400;1.373309;1.161318;0.861091;0.830405;252.000000;0.508451;190.868000;78.671246;26;137
12;B-hosp1385-x40-09.tif;1973;265.416118;238.356310;42.321316;60.183228;1.178046;1.422055;0.703208;0.693564;93.000000;0.710984;170.903000;91.918905;7;209
13;B-hosp1385-x40-09.tif;2357;274.671192;299.700891;40.870437;75.653562;1.215212;1.851058;0.540231;0.524338;146.000000;0.841516;189.719000;72.549852;25;180
14;B-hosp1385-x40-09.tif;2887;310.638379;524.150675;53.835811;69.417970;1.153729;1.289439;0.775531;0.762804;198.000000;0.631309;204.588000;75.217527;19;156
15;B-hosp1385-x40-09.tif;2619;308.723177;365.202749;56.535579;59.193120;0.994630;1.047007;0.955104;0.951707;45.000000;0.296271;180.927000;68.814051;0;172
16;B-hosp1385-x40-09.tif;1849;312.171444;179.783126;44.484395;53.272745;0.994981;1.197560;0.835031;0.829539;35.000000;0.550203;152.048000;82.537047;34;163
17;B-hosp1385-x40-09.tif;3428;350.648775;274.490373;65.556807;66.967938;1.035842;1.021525;0.978928;0.973234;89.000000;0.204204;211.238000;76.459452;40;156
18;B-hosp1385-x40-09.tif;2716;352.758468;142.782032;48.621049;72.938940;1.158518;1.500151;0.666599;0.650011;117.000000;0.745416;198.848000;81.086156;29;173
19;B-hosp1385-x40-09.tif;3743;390.442693;216.617419;65.356285;73.379270;1.133452;1.122758;0.890664;0.885081;125.000000;0.454662;230.896000;76.788939;2;160
20;B-hosp1385-x40-09.tif;485;414.430928;498.472165;19.716709;40.866774;1.912309;2.072698;0.482463;0.369753;180.000000;0.875916;107.958000;126.080412;55;171
