No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11806-x40-02.tif;3551;198.141650;590.946212;46.858432;97.921062;1.457705;2.089721;0.478533;0.471529;261.000000;0.878070;255.044000;91.498451;45;166
2;M-11806-x40-02.tif;1794;283.667224;182.978818;33.822342;69.620346;1.509272;2.058413;0.485811;0.471260;113.000000;0.874064;184.459000;105.954292;42;188
3;M-11806-x40-02.tif;3051;328.630941;467.326123;46.451718;91.618784;1.878254;1.972344;0.507011;0.462789;606.000000;0.861940;268.351000;91.943953;30;158
4;M-11806-x40-02.tif;2303;366.040816;412.561007;47.751588;62.711456;1.174220;1.313285;0.761449;0.745608;109.000000;0.648225;184.343000;85.749457;30;188
5;M-11806-x40-02.tif;1545;374.268608;309.158576;39.568546;50.221535;1.026267;1.269229;0.787880;0.779935;42.000000;0.615829;141.156000;76.133333;6;197
6;M-11806-x40-02.tif;2026;414.601185;257.303060;41.328276;62.707740;1.046297;1.517308;0.659062;0.656005;41.000000;0.752089;163.212000;82.834650;20;187
7;M-11806-x40-02.tif;2387;445.435274;200.751152;54.248830;57.162720;1.019013;1.053713;0.949025;0.930115;61.000000;0.315202;174.832000;82.521575;24;180
8;M-11806-x40-02.tif;1188;493.473064;550.734848;31.396788;49.352585;1.162031;1.571899;0.636173;0.621022;80.000000;0.771546;131.711000;100.973064;42;178
9;M-11806-x40-02.tif;3429;569.208807;554.517352;58.718344;78.448298;1.485293;1.336010;0.748497;0.709432;355.000000;0.663138;252.985000;90.364538;48;149
10;M-11806-x40-02.tif;2636;553.865706;608.299317;49.815549;69.088093;1.132824;1.386878;0.721044;0.703152;121.000000;0.692889;193.713000;91.063733;52;159
11;M-11806-x40-02.tif;3020;646.055629;60.388079;53.034611;72.944639;1.080553;1.375416;0.727053;0.722654;87.000000;0.686581;202.503000;86.084437;45;153
12;M-11806-x40-02.tif;997;862.662989;654.374122;31.593926;44.492643;1.447947;1.408266;0.710093;0.641252;132.000000;0.704108;134.688000;80.905717;17;175
13;M-11806-x40-02.tif;2485;906.828169;182.039034;50.801237;65.875333;1.429583;1.296727;0.771172;0.729106;314.000000;0.636626;211.287000;84.662777;14;171
14;M-11806-x40-02.tif;585;944.213675;212.801709;24.140366;31.208031;1.044004;1.292774;0.773531;0.764774;29.000000;0.633759;87.606000;122.635897;90;147
15;M-11806-x40-02.tif;2137;991.950866;252.771642;38.638619;71.247216;1.138327;1.843938;0.542318;0.536017;35.000000;0.840174;174.840000;80.505381;41;165
16;M-11806-x40-02.tif;2219;1012.401983;123.277152;45.194716;62.824488;1.041376;1.390085;0.719381;0.715829;56.000000;0.694616;170.407000;87.612889;1;178
17;M-11806-x40-02.tif;3699;1061.711544;265.262233;53.203800;92.864208;1.401225;1.745443;0.572920;0.546132;299.000000;0.819611;255.212000;84.538254;38;157
18;M-11806-x40-02.tif;4586;1086.929786;211.709987;66.381859;90.955566;1.214721;1.370187;0.729827;0.705806;214.000000;0.683632;264.582000;78.151984;23;165
19;M-11806-x40-02.tif;5278;1137.165404;349.789883;59.042079;118.112410;1.568483;2.000478;0.499880;0.481713;370.000000;0.866094;322.537000;83.226222;10;181
20;M-11806-x40-02.tif;3519;1158.433646;247.396988;59.446612;76.941362;1.161351;1.294293;0.772622;0.756850;162.000000;0.634866;226.619000;92.057118;51;158
21;M-11806-x40-02.tif;3777;1246.725973;365.474186;62.927173;76.884626;1.063405;1.221803;0.818462;0.813538;101.000000;0.574560;224.661000;76.850675;34;177
22;M-11806-x40-02.tif;1316;1283.847264;333.571429;35.785906;47.878521;1.104551;1.337916;0.747431;0.730945;54.000000;0.664339;135.153000;66.306231;3;209
23;M-11806-x40-02.tif;1335;1539.625468;134.355805;32.515592;54.243594;1.226141;1.668233;0.599437;0.577690;112.000000;0.800422;143.422000;114.331835;75;186
