No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-01.tif;1235;39.582996;561.750607;37.046949;43.421779;1.181144;1.172074;0.853188;0.833992;85.000000;0.521603;135.391000;125.905263;101;181
2;M-11934b-x40-01.tif;2169;143.301982;785.331950;44.858086;63.153714;1.346787;1.407856;0.710300;0.692424;188.000000;0.703899;191.595000;114.914707;68;195
3;M-11934b-x40-01.tif;697;145.418938;427.129125;27.715358;32.790827;1.069327;1.183128;0.845217;0.825350;37.000000;0.534424;96.778000;123.413199;99;164
4;M-11934b-x40-01.tif;1613;168.364538;745.624923;42.050201;52.951844;1.665426;1.259253;0.794122;0.732457;229.000000;0.607759;183.732000;124.623683;80;184
5;M-11934b-x40-01.tif;1977;206.104704;757.360647;40.823997;68.369053;1.546370;1.674727;0.597112;0.538515;366.000000;0.802158;196.004000;125.164390;76;217
6;M-11934b-x40-01.tif;347;207.489914;277.141210;18.372155;24.449503;1.024551;1.330791;0.751433;0.739094;16.000000;0.659810;66.840000;131.011527;108;155
7;M-11934b-x40-01.tif;1245;230.615261;261.381526;35.661131;46.667524;1.345111;1.308638;0.764153;0.727864;98.000000;0.645035;145.067000;130.573494;89;196
8;M-11934b-x40-01.tif;1021;234.372184;474.184133;34.177100;38.901344;1.090698;1.138228;0.878558;0.859027;54.000000;0.477635;118.296000;124.705191;91;184
9;M-11934b-x40-01.tif;858;255.723776;741.786713;25.264461;47.310913;1.463500;1.872627;0.534009;0.488062;113.000000;0.845479;125.616000;131.187646;96;198
10;M-11934b-x40-01.tif;1979;265.163214;182.359778;49.589783;53.068759;1.568081;1.070155;0.934444;0.894701;158.000000;0.356110;197.475000;125.648813;7;196
11;M-11934b-x40-01.tif;1077;267.895079;225.432683;29.083740;48.409856;1.299392;1.664499;0.600781;0.585138;59.000000;0.799413;132.612000;78.596100;0;202
12;M-11934b-x40-01.tif;1760;305.609091;752.400568;30.235885;78.904777;1.635337;2.609640;0.383195;0.359928;247.000000;0.923668;190.180000;120.272159;77;192
13;M-11934b-x40-01.tif;1859;309.431415;707.389457;34.690349;74.357639;2.136736;2.143468;0.466534;0.428093;359.000000;0.884503;223.419000;129.063475;107;198
14;M-11934b-x40-01.tif;770;293.200000;561.444156;29.055617;34.506726;1.034569;1.187609;0.842028;0.823367;28.000000;0.539434;100.053000;126.423377;89;209
15;M-11934b-x40-01.tif;1361;314.489346;63.136664;37.334950;57.354975;2.052184;1.536227;0.650945;0.526776;386.000000;0.759125;187.345000;105.875827;0;178
16;M-11934b-x40-01.tif;822;358.092457;763.963504;27.110989;40.008261;1.179909;1.475721;0.677635;0.653857;83.000000;0.735399;110.399000;130.020681;75;192
17;M-11934b-x40-01.tif;1462;383.118331;460.956908;39.715970;53.090055;2.066263;1.336743;0.748087;0.660437;290.000000;0.663601;194.837000;111.807114;52;199
18;M-11934b-x40-01.tif;775;384.049032;716.058065;27.599431;37.116024;1.179747;1.344811;0.743599;0.716290;61.000000;0.668626;107.189000;118.489032;71;180
19;M-11934b-x40-01.tif;1065;394.893897;55.759624;23.215708;60.594345;1.500307;2.610058;0.383133;0.369314;109.000000;0.923693;141.700000;80.817840;0;183
20;M-11934b-x40-01.tif;2573;418.955694;385.255733;44.154924;77.557275;1.539793;1.756481;0.569320;0.544634;354.000000;0.822116;223.129000;109.698018;47;202
21;M-11934b-x40-01.tif;361;400.648199;13.290859;19.373331;24.281503;1.036396;1.253347;0.797864;0.779590;13.000000;0.602838;68.568000;75.149584;0;188
22;M-11934b-x40-01.tif;2362;423.262489;569.613887;46.623693;69.535884;1.601646;1.491428;0.670498;0.621974;437.000000;0.741911;218.036000;97.009738;0;185
23;M-11934b-x40-01.tif;3655;440.308892;722.267579;57.598092;96.054365;2.341672;1.667666;0.599641;0.504386;773.000000;0.800269;327.953000;114.767442;38;215
24;M-11934b-x40-01.tif;6452;457.621668;460.212492;85.426804;101.238839;1.618294;1.185095;0.843815;0.801512;1036.000000;0.536635;362.227000;86.636082;0;216
25;M-11934b-x40-01.tif;3641;466.279044;174.988190;57.117338;88.465278;1.684536;1.548834;0.645647;0.592359;693.000000;0.763636;277.623000;119.006042;41;204
