No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-hosp1385-x40-09.tif;2219;127.497071;592.343398;51.797375;55.403295;1.158519;1.069616;0.934915;0.920442;97.000000;0.354872;179.736000;215.008562;145;255
2;B-hosp1385-x40-09.tif;1977;137.012140;495.969145;43.039990;65.905751;1.937408;1.531268;0.653054;0.579522;409.000000;0.757312;219.391000;220.761760;109;255
3;B-hosp1385-x40-09.tif;1334;126.754123;647.590705;37.632621;45.421676;1.017515;1.206976;0.828517;0.823265;42.000000;0.559964;130.603000;215.296102;141;255
4;B-hosp1385-x40-09.tif;1312;166.003811;691.018293;39.018986;42.989469;0.975695;1.101758;0.907641;0.903899;26.000000;0.419748;126.832000;208.993902;132;255
5;B-hosp1385-x40-09.tif;2207;175.024468;635.253738;51.022975;55.250579;0.997345;1.082857;0.923483;0.920532;53.000000;0.383639;166.314000;206.181242;131;255
6;B-hosp1385-x40-09.tif;1005;187.408955;581.628856;32.262731;41.260240;1.120386;1.278882;0.781933;0.751645;38.000000;0.623363;118.952000;205.483582;158;255
7;B-hosp1385-x40-09.tif;2358;203.350297;539.448261;51.093944;59.498440;1.125420;1.164491;0.858744;0.848092;101.000000;0.512404;182.614000;214.919847;147;255
8;B-hosp1385-x40-09.tif;1042;203.039347;431.333973;32.777894;41.890298;1.286525;1.278005;0.782470;0.756051;83.000000;0.622689;129.792000;221.507678;182;255
9;B-hosp1385-x40-09.tif;1454;213.991747;727.545392;42.474209;43.944810;0.998711;1.034623;0.966535;0.958648;31.000000;0.256534;135.085000;212.277166;104;255
10;B-hosp1385-x40-09.tif;1694;218.873672;608.248524;44.147927;50.402219;1.113014;1.141667;0.875912;0.849032;95.000000;0.482470;153.926000;197.231405;129;255
11;B-hosp1385-x40-09.tif;2118;231.422568;328.960340;45.092028;69.487566;1.620017;1.541017;0.648922;0.558498;428.000000;0.760855;207.648000;216.638810;128;255
12;B-hosp1385-x40-09.tif;2191;230.731173;664.368325;50.037048;55.866982;0.998344;1.116512;0.895646;0.893804;39.000000;0.444767;165.793000;201.928800;112;255
13;B-hosp1385-x40-09.tif;2412;242.694859;494.077944;49.673866;62.451743;1.229886;1.257235;0.795396;0.787405;134.000000;0.606090;193.075000;218.608624;159;255
14;B-hosp1385-x40-09.tif;1439;256.993051;441.780403;40.724813;46.109408;1.155440;1.132219;0.883221;0.861771;81.000000;0.468956;144.547000;222.222377;156;255
15;B-hosp1385-x40-09.tif;2436;262.270525;561.814039;51.432502;60.526655;1.119379;1.176817;0.849750;0.846631;91.000000;0.527187;185.111000;213.760263;143;255
16;B-hosp1385-x40-09.tif;2075;274.863133;300.910843;37.934504;72.390891;1.301956;1.908313;0.524023;0.504151;192.000000;0.851704;184.252000;213.549880;160;255
17;B-hosp1385-x40-09.tif;1487;272.712172;713.125084;35.724919;53.225136;1.042813;1.489860;0.671204;0.668325;36.000000;0.741273;139.593000;211.829186;139;255
18;B-hosp1385-x40-09.tif;1330;272.152632;771.698496;36.150966;47.057201;1.013351;1.301686;0.768235;0.764733;34.000000;0.640169;130.140000;210.437594;129;255
19;B-hosp1385-x40-09.tif;1493;285.650368;653.344943;39.407320;48.421819;0.995756;1.228752;0.813834;0.810751;28.000000;0.581097;136.682000;211.864702;156;255
20;B-hosp1385-x40-09.tif;2192;305.848540;527.896898;44.487546;66.060983;1.416067;1.484932;0.673431;0.639530;232.000000;0.739250;197.500000;217.140511;156;255
21;B-hosp1385-x40-09.tif;2153;307.613562;367.904784;49.417331;56.032464;1.105215;1.133863;0.881941;0.873122;101.000000;0.471360;172.922000;206.568974;95;255
22;B-hosp1385-x40-09.tif;2386;316.108131;611.033110;46.443243;65.614347;1.036196;1.412786;0.707821;0.705640;58.000000;0.706391;176.263000;197.396899;128;255
23;B-hosp1385-x40-09.tif;1026;306.432749;473.468811;34.004449;39.281750;1.092551;1.155194;0.865655;0.846595;57.000000;0.500641;118.686000;196.230019;91;255
24;B-hosp1385-x40-09.tif;1351;314.522576;704.553664;35.120534;49.234855;1.043120;1.401882;0.713327;0.709611;30.000000;0.700832;133.076000;193.568468;131;255
25;B-hosp1385-x40-09.tif;1518;318.088933;759.548748;40.588677;47.690587;0.978526;1.174973;0.851084;0.849800;27.000000;0.525030;136.624000;205.336627;122;255
26;B-hosp1385-x40-09.tif;962;334.857588;578.206861;30.224180;41.074428;1.068901;1.358992;0.735839;0.726009;42.000000;0.677156;113.674000;194.840956;132;255
27;B-hosp1385-x40-09.tif;1515;335.994719;663.461386;41.313467;46.956319;1.062337;1.136586;0.879828;0.874852;55.000000;0.475293;142.214000;213.476568;137;255
28;B-hosp1385-x40-09.tif;2390;345.058159;460.497490;51.104222;60.809974;1.187266;1.189921;0.840392;0.822921;155.000000;0.541979;188.833000;209.108787;138;255
29;B-hosp1385-x40-09.tif;1402;345.484308;409.264622;38.472221;47.528336;1.277304;1.235394;0.809459;0.790229;123.000000;0.587177;150.012000;217.878031;142;255
30;B-hosp1385-x40-09.tif;1636;357.149144;147.726773;34.358374;65.333991;1.472737;1.901545;0.525888;0.487995;208.000000;0.850554;174.004000;213.726161;158;255
31;B-hosp1385-x40-09.tif;2344;353.369881;277.830205;50.987939;60.347973;1.421913;1.183574;0.844899;0.819488;222.000000;0.534926;204.654000;219.339590;172;255
32;B-hosp1385-x40-09.tif;2992;371.398730;715.376671;49.380410;78.684200;1.213146;1.593429;0.627577;0.615314;181.000000;0.778554;213.571000;186.816845;113;255
33;B-hosp1385-x40-09.tif;2561;374.085904;768.190551;51.592669;63.965630;1.052424;1.239820;0.806569;0.796941;89.000000;0.591140;184.037000;194.066380;119;255
34;B-hosp1385-x40-09.tif;2678;380.469754;348.015683;54.098195;63.270704;1.014686;1.169553;0.855028;0.851756;63.000000;0.518583;184.789000;213.979462;142;255
35;B-hosp1385-x40-09.tif;2140;381.314486;575.458879;48.900862;56.799749;1.315761;1.161529;0.860934;0.844561;130.000000;0.508716;188.105000;204.750935;137;255
36;B-hosp1385-x40-09.tif;3307;395.884185;628.954642;44.187230;98.593810;1.334593;2.231274;0.448174;0.433157;224.000000;0.893946;235.503000;191.157545;134;255
37;B-hosp1385-x40-09.tif;1227;386.413203;497.368378;37.079990;45.195421;1.509320;1.218863;0.820437;0.764832;161.000000;0.571737;152.552000;219.980440;170;255
38;B-hosp1385-x40-09.tif;2568;398.222741;675.809969;46.617954;71.192594;1.137247;1.527150;0.654815;0.645113;87.000000;0.755789;191.571000;186.658100;131;255
39;B-hosp1385-x40-09.tif;2306;399.686470;412.078491;45.093016;66.414271;1.180696;1.472828;0.678966;0.665651;138.000000;0.734170;184.971000;213.197745;147;255
40;B-hosp1385-x40-09.tif;2210;397.048869;219.333032;45.295828;67.987075;1.566321;1.500957;0.666242;0.608765;348.000000;0.745736;208.565000;223.249321;162;255
41;B-hosp1385-x40-09.tif;2720;410.239338;459.200368;48.303186;72.306565;1.124247;1.496932;0.668033;0.662405;105.000000;0.744131;196.029000;195.427941;131;255
42;B-hosp1385-x40-09.tif;1545;418.560518;153.611650;44.725133;46.598914;1.548834;1.041895;0.959789;0.905914;170.000000;0.280722;173.409000;219.023948;136;255
43;B-hosp1385-x40-09.tif;1704;423.182512;307.900822;39.565458;57.316735;1.501180;1.448656;0.690295;0.660415;206.000000;0.723528;179.290000;204.346244;126;255
44;B-hosp1385-x40-09.tif;3156;438.066540;519.584601;57.124878;74.574451;1.305923;1.305464;0.766011;0.722548;315.000000;0.642827;227.579000;203.715146;82;255
45;B-hosp1385-x40-09.tif;3005;438.401331;588.460233;58.431323;67.339583;1.147743;1.152457;0.867711;0.843750;181.000000;0.497068;208.185000;194.795674;104;255
46;B-hosp1385-x40-09.tif;2639;442.937476;346.407730;51.489521;66.037128;1.188163;1.282535;0.779706;0.770501;160.000000;0.626146;198.501000;210.741948;140;255
47;B-hosp1385-x40-09.tif;2781;454.203164;267.962963;49.123168;73.775950;1.297708;1.501857;0.665843;0.650551;224.000000;0.746092;212.958000;206.423948;85;255
48;B-hosp1385-x40-09.tif;1544;468.550518;383.718264;37.189549;55.448085;1.639967;1.490959;0.670709;0.639417;161.000000;0.741720;178.380000;217.915803;140;255
49;B-hosp1385-x40-09.tif;2709;472.660391;152.723514;54.822672;64.957673;1.631233;1.184869;0.843975;0.817444;258.000000;0.536382;235.650000;213.383906;140;255
50;B-hosp1385-x40-09.tif;1608;468.892413;217.295398;40.730850;50.798731;1.231961;1.247181;0.801808;0.793397;93.000000;0.597581;157.778000;220.465174;126;255
51;B-hosp1385-x40-09.tif;3419;484.374378;440.239544;54.691945;83.492064;1.393063;1.526588;0.655056;0.624480;377.000000;0.755581;244.647000;198.650775;121;255
52;B-hosp1385-x40-09.tif;2904;492.435262;638.541667;58.486802;67.310172;1.340824;1.150861;0.868915;0.816104;282.000000;0.494962;221.202000;202.352961;103;255
53;B-hosp1385-x40-09.tif;1063;479.730009;545.054563;33.541272;41.428527;1.070612;1.235151;0.809618;0.788578;52.000000;0.586957;119.588000;197.194732;98;255
54;B-hosp1385-x40-09.tif;2725;509.803303;105.639266;55.592795;62.884701;1.229437;1.131166;0.884043;0.877378;112.000000;0.467405;205.183000;215.550459;151;255
55;B-hosp1385-x40-09.tif;1743;500.347676;582.570855;42.560675;52.884418;1.111200;1.242565;0.804787;0.793509;69.000000;0.593564;156.009000;203.725760;145;255
56;B-hosp1385-x40-09.tif;771;516.403372;722.146563;19.747391;59.773775;2.016513;3.026920;0.330369;0.274753;301.000000;0.943852;139.776000;242.885863;125;255
57;B-hosp1385-x40-09.tif;2518;519.400715;216.497220;50.057686;64.762337;1.176892;1.293754;0.772944;0.764400;103.000000;0.634474;192.975000;213.607625;145;255
