No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11069-x40-07.tif;1405;689.860498;298.181495;37.723297;49.411537;1.409370;1.309841;0.763451;0.732706;141.000000;0.645866;157.745000;227.256228;176;255
2;F-11069-x40-07.tif;2247;774.764575;266.174010;41.584958;71.150411;1.254439;1.710965;0.584465;0.565143;163.000000;0.811419;188.205000;210.788162;148;255
3;F-11069-x40-07.tif;1118;774.198569;411.663685;28.815533;50.602685;1.291238;1.756091;0.569447;0.555910;65.000000;0.822028;134.688000;229.678891;187;255
4;F-11069-x40-07.tif;1323;818.780045;252.975057;35.964380;47.630047;1.131596;1.324367;0.755078;0.742520;67.000000;0.655635;137.161000;220.820862;155;255
5;F-11069-x40-07.tif;1481;818.801485;395.644835;37.905782;50.956377;1.148905;1.344290;0.743887;0.726220;86.000000;0.668306;146.226000;214.940581;165;255
6;F-11069-x40-07.tif;769;834.366710;355.014304;27.765909;40.782979;2.021931;1.468815;0.680821;0.588679;174.000000;0.732450;139.782000;234.742523;179;255
7;F-11069-x40-07.tif;1322;846.179274;452.595310;38.472314;46.192455;1.337335;1.200667;0.832870;0.788859;126.000000;0.553469;149.053000;220.673222;155;255
8;F-11069-x40-07.tif;1413;852.718330;278.201699;38.384438;50.615278;1.619866;1.318641;0.758357;0.702246;257.000000;0.651840;169.596000;224.961076;169;255
9;F-11069-x40-07.tif;1131;853.020336;418.647215;36.823115;40.093107;1.085090;1.088803;0.918440;0.895846;51.000000;0.395560;124.185000;223.274978;175;255
10;F-11069-x40-07.tif;2348;909.677598;278.472743;50.060316;73.032576;1.990984;1.458892;0.685452;0.560499;577.000000;0.728118;242.375000;216.693356;131;255
11;F-11069-x40-07.tif;598;956.162207;265.979933;21.642176;36.877034;1.196611;1.703943;0.586874;0.559886;51.000000;0.809678;94.827000;232.625418;190;255
