No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-10.tif;3042;323.024655;218.276463;53.560626;75.532224;1.409386;1.410219;0.709110;0.678898;340.000000;0.705098;232.113000;215.857002;149;255
2;M-11811a-x40-10.tif;3685;366.849661;248.228494;62.103598;79.362183;1.387008;1.277900;0.782534;0.744938;372.000000;0.622608;253.433000;212.390502;164;255
3;M-11811a-x40-10.tif;2391;372.703890;143.350899;43.443393;71.953971;1.684756;1.656270;0.603766;0.588004;212.000000;0.797161;224.990000;222.058553;174;255
4;M-11811a-x40-10.tif;841;363.489893;299.382878;26.553391;44.774747;1.555240;1.686216;0.593044;0.534121;123.000000;0.805170;128.204000;221.601665;173;255
5;M-11811a-x40-10.tif;3275;429.991145;211.243664;52.721006;80.283903;1.215404;1.522807;0.656682;0.646941;153.000000;0.754167;223.651000;216.366718;173;255
6;M-11811a-x40-10.tif;3348;431.331541;282.210275;58.957644;72.537887;1.035409;1.230339;0.812784;0.810151;89.000000;0.582565;208.715000;211.976105;149;255
7;M-11811a-x40-10.tif;3136;454.352997;349.960778;54.503390;74.464950;1.126349;1.366244;0.731933;0.720083;119.000000;0.681376;210.683000;216.399554;160;255
8;M-11811a-x40-10.tif;726;481.698347;793.085399;29.850304;31.915755;1.076315;1.069194;0.935284;0.907479;35.000000;0.353897;99.093000;225.851240;190;255
9;M-11811a-x40-10.tif;3173;506.683265;60.699968;50.970713;79.624625;1.094159;1.562164;0.640138;0.637214;91.000000;0.768260;208.872000;213.739048;169;255
10;M-11811a-x40-10.tif;1163;500.515907;298.667240;32.253513;50.971710;1.859060;1.580346;0.632773;0.569943;197.000000;0.774337;164.832000;221.215821;173;255
11;M-11811a-x40-10.tif;1372;509.489067;353.619534;33.291196;74.356626;3.429191;2.233522;0.447723;0.315955;523.000000;0.894172;243.152000;207.378280;108;255
12;M-11811a-x40-10.tif;3429;547.162438;199.695538;62.066736;70.690746;1.152674;1.138947;0.878004;0.873680;168.000000;0.478654;222.865000;214.279382;162;255
13;M-11811a-x40-10.tif;4268;586.046157;60.404405;69.055515;79.547080;1.276958;1.151929;0.868109;0.858788;238.000000;0.496374;261.701000;222.018744;169;255
14;M-11811a-x40-10.tif;826;610.875303;794.697337;25.659053;41.234445;1.072358;1.607014;0.622272;0.618543;27.000000;0.782801;105.503000;216.692494;181;255
15;M-11811a-x40-10.tif;2729;675.784170;70.900330;52.095996;69.613989;1.338793;1.336264;0.748355;0.717002;257.000000;0.663298;214.271000;228.563576;173;255
16;M-11811a-x40-10.tif;2459;712.575031;143.876779;56.069521;57.431594;1.245873;1.024293;0.976284;0.949220;170.000000;0.216496;196.210000;223.631964;169;255
17;M-11811a-x40-10.tif;3393;851.261126;641.457118;53.090931;82.486008;1.308798;1.553674;0.643636;0.634941;177.000000;0.765332;236.229000;224.589744;187;255
18;M-11811a-x40-10.tif;2477;856.614857;743.006056;53.341305;59.538969;1.098996;1.116189;0.895906;0.889679;101.000000;0.444244;184.955000;213.050061;156;255
19;M-11811a-x40-10.tif;3037;885.935133;571.336187;50.388590;89.538275;2.251684;1.776955;0.562760;0.482322;812.000000;0.826620;293.144000;223.249588;154;255
20;M-11811a-x40-10.tif;3885;975.344916;713.827799;58.699499;87.198946;1.626093;1.485514;0.673168;0.650547;447.000000;0.739490;281.756000;221.886229;176;255
21;M-11811a-x40-10.tif;1092;959.967033;563.384615;27.454870;52.316378;1.336311;1.905541;0.524785;0.507993;85.000000;0.851235;135.416000;198.863553;118;255
22;M-11811a-x40-10.tif;5713;1020.996849;633.712410;83.659231;106.390279;2.775189;1.271710;0.786343;0.642644;2234.000000;0.617790;446.358000;198.986522;140;255
23;M-11811a-x40-10.tif;2117;1137.947567;666.282003;42.535448;78.976178;1.931198;1.856714;0.538586;0.432154;525.000000;0.842571;226.662000;202.511101;124;255
24;M-11811a-x40-10.tif;3502;1159.734437;581.623358;58.628677;77.962081;1.411015;1.329760;0.752015;0.733600;250.000000;0.659146;249.189000;209.368646;136;255
25;M-11811a-x40-10.tif;460;1145.060870;636.123913;22.662199;26.171083;1.018079;1.154834;0.865925;0.855115;16.000000;0.500174;76.714000;219.417391;180;255
26;M-11811a-x40-10.tif;395;1199.144304;644.063291;12.694383;48.140596;2.292247;3.792275;0.263694;0.217012;129.000000;0.964606;106.668000;223.022785;177;255
27;M-11811a-x40-10.tif;2265;1232.955850;611.013245;44.255004;70.466764;1.473895;1.592289;0.628027;0.580777;275.000000;0.778192;204.820000;190.084327;119;255
28;M-11811a-x40-10.tif;950;1228.628421;547.690526;28.092275;44.010307;1.074533;1.566634;0.638311;0.624489;33.000000;0.769778;113.260000;205.006316;133;255
29;M-11811a-x40-10.tif;4014;1464.580468;541.457399;57.512904;89.650574;1.349028;1.558791;0.641523;0.635889;248.000000;0.767104;260.858000;207.123318;160;255
