No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-05.tif;2561;479.436548;578.604061;46.725553;70.946013;1.201294;1.518356;0.658607;0.647834;188.000000;0.752487;196.623000;197.973057;104;255
2;M-11901b-x40-05.tif;2152;491.340149;688.089219;48.636602;59.273685;1.405295;1.218705;0.820543;0.779881;179.000000;0.571585;194.944000;210.318773;112;255
3;M-11901b-x40-05.tif;4142;520.544182;463.412120;63.316830;86.417534;1.678489;1.364843;0.732685;0.706182;470.000000;0.680568;295.576000;200.504104;130;255
4;M-11901b-x40-05.tif;2399;557.984160;620.419758;51.752456;59.893552;1.310943;1.157308;0.864074;0.851491;171.000000;0.503365;198.798000;202.583160;92;255
5;M-11901b-x40-05.tif;2914;595.524022;661.520247;51.444894;75.192836;1.447884;1.461619;0.684173;0.656216;316.000000;0.729320;230.259000;210.202814;118;255
6;M-11901b-x40-05.tif;2752;599.702762;80.847747;55.052373;63.997064;1.168710;1.162476;0.860233;0.855536;88.000000;0.509901;201.040000;210.623547;106;255
7;M-11901b-x40-05.tif;2319;610.075895;380.727038;51.138754;60.179455;1.627113;1.176788;0.849771;0.815294;268.000000;0.527152;217.753000;210.594653;150;255
8;M-11901b-x40-05.tif;2523;627.218391;602.109394;54.128240;60.224533;1.071935;1.112627;0.898774;0.885687;90.000000;0.438412;184.352000;195.822037;115;255
9;M-11901b-x40-05.tif;3475;644.870791;437.918561;64.421637;68.916214;1.037887;1.069768;0.934782;0.931584;79.000000;0.355222;212.891000;213.407482;109;255
10;M-11901b-x40-05.tif;4182;646.857006;175.390483;61.147531;97.424870;2.686921;1.593276;0.627638;0.560989;1099.000000;0.778505;375.772000;215.621234;119;255
11;M-11901b-x40-05.tif;2209;656.328656;638.307379;43.174869;67.875837;1.465729;1.572114;0.636086;0.610486;258.000000;0.771618;201.711000;179.058850;88;255
12;M-11901b-x40-05.tif;2537;719.903429;42.070162;58.324176;62.839905;2.864413;1.077425;0.928139;0.818012;539.000000;0.372233;302.192000;220.638944;132;255
13;M-11901b-x40-05.tif;3325;753.797594;560.808120;61.540350;69.114510;1.069507;1.123076;0.890411;0.886264;102.000000;0.455157;211.394000;196.766917;120;255
14;M-11901b-x40-05.tif;3867;769.571244;636.183088;60.298762;82.576273;1.361683;1.369452;0.730219;0.722061;251.000000;0.683213;257.235000;204.681665;106;255
15;M-11901b-x40-05.tif;3010;770.837874;379.062458;56.035162;69.450686;1.241038;1.239413;0.806834;0.794554;174.000000;0.590778;216.661000;189.443854;134;255
16;M-11901b-x40-05.tif;2909;795.363699;509.280853;54.970088;75.562993;1.951045;1.374620;0.727474;0.648688;431.000000;0.686136;267.061000;195.730148;108;255
17;M-11901b-x40-05.tif;2390;789.246444;125.561925;52.495275;58.766784;1.090124;1.119468;0.893281;0.881138;62.000000;0.449498;180.943000;206.428452;86;255
18;M-11901b-x40-05.tif;1314;827.942161;225.937595;33.442745;52.508401;1.277536;1.570098;0.636903;0.606803;118.000000;0.770944;145.241000;169.596651;92;255
19;M-11901b-x40-05.tif;5415;880.114127;399.691597;70.785640;111.159645;2.439878;1.570370;0.636793;0.557974;1315.000000;0.771035;407.463000;200.372299;76;255
20;M-11901b-x40-05.tif;3049;864.722860;176.839620;57.367890;69.244685;1.151494;1.207029;0.828481;0.809645;180.000000;0.560018;210.046000;209.451296;127;255
21;M-11901b-x40-05.tif;706;847.550992;256.386686;24.589314;38.014840;1.231146;1.545990;0.646835;0.622026;56.000000;0.762630;104.511000;197.400850;106;255
22;M-11901b-x40-05.tif;3928;875.695519;485.961303;62.034286;81.628052;1.317447;1.315854;0.759963;0.750590;223.000000;0.649967;255.010000;208.853870;125;255
23;M-11901b-x40-05.tif;3604;907.147336;293.076582;59.251121;81.024302;1.623241;1.367473;0.731276;0.698979;445.000000;0.682082;271.137000;193.972531;109;255
24;M-11901b-x40-05.tif;3232;931.254022;472.707302;59.755573;73.050202;1.466217;1.222484;0.818007;0.771150;248.000000;0.575208;244.028000;207.163366;135;255
25;M-11901b-x40-05.tif;375;924.093333;246.722667;19.963953;24.265337;1.026309;1.215458;0.822735;0.810903;16.000000;0.568424;69.544000;204.658667;132;255
26;M-11901b-x40-05.tif;3308;957.384522;310.720375;47.190576;93.275646;1.395763;1.976574;0.505926;0.484104;316.000000;0.862577;240.876000;192.893894;144;255
27;M-11901b-x40-05.tif;2900;974.340345;392.606552;56.074355;67.195077;1.214868;1.198321;0.834501;0.817774;161.000000;0.551007;210.411000;196.372759;96;255
28;M-11901b-x40-05.tif;3422;1003.666277;323.822911;57.257394;79.148187;1.381167;1.382323;0.723420;0.695518;333.000000;0.690408;243.707000;202.896844;138;255
29;M-11901b-x40-05.tif;1935;1016.333850;486.934367;38.543725;65.860206;1.326471;1.708714;0.585235;0.567996;170.000000;0.810863;179.595000;190.220672;109;255
30;M-11901b-x40-05.tif;2691;1136.241546;409.474916;51.796996;70.932483;1.575067;1.369432;0.730230;0.680979;316.000000;0.683202;230.787000;212.699740;136;255
31;M-11901b-x40-05.tif;2496;1188.479167;139.942308;51.135588;66.760012;1.894332;1.305549;0.765961;0.713053;266.000000;0.642887;243.756000;210.157853;118;255
32;M-11901b-x40-05.tif;2269;1200.165271;306.286029;52.973857;55.052370;1.030921;1.039237;0.962245;0.953219;61.000000;0.272185;171.449000;197.061701;107;255
33;M-11901b-x40-05.tif;1947;1209.348742;477.699024;41.136551;62.694755;1.417334;1.524064;0.656140;0.630687;224.000000;0.754639;186.219000;210.043657;139;255
34;M-11901b-x40-05.tif;2025;1275.353086;205.227160;46.900488;59.771656;1.781182;1.274436;0.784661;0.721680;368.000000;0.619925;212.898000;205.387160;107;255
35;M-11901b-x40-05.tif;3084;1274.164073;332.309663;50.103200;80.003827;1.263228;1.596781;0.626260;0.613484;180.000000;0.779614;221.260000;204.599222;131;255
36;M-11901b-x40-05.tif;1493;1278.055593;474.174146;40.419430;48.617206;1.108801;1.202818;0.831381;0.804248;81.000000;0.555703;144.232000;180.200268;69;255
37;M-11901b-x40-05.tif;2642;1326.914459;265.309614;47.234679;71.918572;1.189482;1.522580;0.656780;0.650370;118.000000;0.754082;198.724000;202.407267;121;255
38;M-11901b-x40-05.tif;2736;1338.983918;204.778509;49.826386;71.512266;1.559732;1.435229;0.696753;0.681185;201.000000;0.717311;231.573000;203.045687;123;255
39;M-11901b-x40-05.tif;1590;1382.525157;424.362264;40.286864;65.466230;2.027313;1.625002;0.615384;0.472359;450.000000;0.788228;201.263000;182.648428;43;255
40;M-11901b-x40-05.tif;2862;1376.592942;312.384696;58.150171;63.381873;1.075674;1.089969;0.917457;0.907088;89.000000;0.397834;196.689000;203.271488;122;255
41;M-11901b-x40-05.tif;2927;1404.033481;723.059105;60.527192;63.936777;1.499482;1.056331;0.946673;0.911657;288.000000;0.322197;234.848000;209.947386;104;255
42;M-11901b-x40-05.tif;6632;1461.207630;370.583082;89.967508;94.570101;1.242824;1.051158;0.951331;0.944163;373.000000;0.308170;321.834000;206.093335;120;255
43;M-11901b-x40-05.tif;1207;1467.123447;27.882353;33.669322;48.152391;1.465067;1.430156;0.699224;0.662799;154.000000;0.714902;149.069000;213.159901;130;255
44;M-11901b-x40-05.tif;3214;1504.937461;779.169571;62.388269;70.330280;1.475238;1.127300;0.887076;0.827316;384.000000;0.461624;244.095000;210.514312;127;255
45;M-11901b-x40-05.tif;2124;1539.058851;303.372881;32.112405;89.972067;1.598371;2.801785;0.356915;0.334079;320.000000;0.934137;206.548000;183.901601;108;255
46;M-11901b-x40-05.tif;2372;1544.367622;71.533727;53.317924;59.423641;1.332383;1.114515;0.897251;0.855276;201.000000;0.441521;199.286000;206.286678;116;255
47;M-11901b-x40-05.tif;3168;1553.275568;752.118371;56.337413;73.611937;1.261572;1.306626;0.765330;0.744387;287.000000;0.643638;224.106000;186.396780;94;255
