No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11940-x40-11.tif;4114;68.373116;485.056879;48.439567;116.383699;2.649357;2.402658;0.416206;0.386714;1053.000000;0.909270;370.090000;187.138551;83;255
2;M-11940-x40-11.tif;1116;105.482079;525.862903;33.922945;46.584678;1.482526;1.373250;0.728200;0.654769;189.000000;0.685365;144.191000;205.605735;104;255
3;M-11940-x40-11.tif;2185;134.143707;473.466819;51.036062;75.384735;2.395512;1.477088;0.677008;0.489547;796.000000;0.735976;256.466000;196.352860;108;255
4;M-11940-x40-11.tif;592;124.829392;572.400338;25.846673;30.195170;1.166915;1.168242;0.855987;0.826717;60.000000;0.516997;93.172000;175.050676;59;255
5;M-11940-x40-11.tif;505;134.285149;541.873267;22.979081;29.215913;1.117816;1.271413;0.786526;0.753291;26.000000;0.617557;84.224000;200.908911;130;255
6;M-11940-x40-11.tif;4245;186.534276;567.290224;54.660509;124.405828;2.240559;2.275973;0.439373;0.349226;1194.000000;0.898305;345.718000;182.615548;70;255
7;M-11940-x40-11.tif;1743;214.620195;648.932874;46.437666;55.131800;1.629116;1.187222;0.842303;0.730135;272.000000;0.539005;188.899000;188.089501;113;255
8;M-11940-x40-11.tif;2884;253.986130;691.271151;56.176159;71.354565;1.516814;1.270193;0.787282;0.721210;559.000000;0.616593;234.460000;173.746186;64;255
9;M-11940-x40-11.tif;762;269.482940;754.391076;24.896168;41.464490;1.276808;1.665497;0.600421;0.564303;66.000000;0.799684;110.572000;192.944882;94;255
10;M-11940-x40-11.tif;1016;291.705709;732.720472;25.855268;53.747958;1.617260;2.078801;0.481047;0.447796;170.000000;0.876695;143.695000;202.192913;152;255
11;M-11940-x40-11.tif;1076;287.210037;788.576208;28.796816;49.418192;1.302071;1.716099;0.582717;0.560982;128.000000;0.812675;132.687000;184.492565;87;255
12;M-11940-x40-11.tif;1069;314.637044;619.779233;26.389969;54.032659;1.565857;2.047470;0.488408;0.466203;140.000000;0.872616;145.034000;196.742750;92;255
13;M-11940-x40-11.tif;2780;352.162950;648.404676;44.523106;84.162310;1.700141;1.890306;0.529015;0.499712;424.000000;0.848613;243.708000;179.017986;105;255
14;M-11940-x40-11.tif;894;334.615213;689.439597;25.279520;54.404521;2.211693;2.152118;0.464658;0.384572;223.000000;0.885490;157.629000;187.755034;88;255
15;M-11940-x40-11.tif;1303;365.039140;759.191097;33.639867;53.056231;1.365150;1.577183;0.634042;0.589361;122.000000;0.773299;149.509000;197.562548;146;253
16;M-11940-x40-11.tif;2205;376.716553;554.874376;49.922377;59.023725;1.302134;1.182310;0.845802;0.805871;192.000000;0.533497;189.949000;171.792744;98;255
17;M-11940-x40-11.tif;1707;373.746924;606.074400;46.106354;49.243497;1.200032;1.068041;0.936293;0.896284;131.000000;0.351219;160.442000;172.308729;121;255
18;M-11940-x40-11.tif;668;369.631737;802.823353;21.097289;47.738096;1.661016;2.262760;0.441938;0.373213;159.000000;0.897045;118.081000;197.158683;116;255
19;M-11940-x40-11.tif;2306;399.454900;676.861232;50.316332;60.139743;1.275556;1.195233;0.836657;0.811795;271.000000;0.547727;192.258000;185.347788;89;255
20;M-11940-x40-11.tif;2757;418.114255;727.923468;43.466036;93.850312;1.690533;2.159164;0.463142;0.398543;550.000000;0.886284;242.011000;181.796155;90;255
21;M-11940-x40-11.tif;2866;450.659456;444.481856;42.952612;89.326559;1.589756;2.079654;0.480849;0.457325;326.000000;0.876803;239.281000;189.554431;126;255
22;M-11940-x40-11.tif;651;475.402458;709.804916;25.717812;33.886167;1.141175;1.317615;0.758947;0.721849;36.000000;0.651152;96.621000;198.380952;143;255
23;M-11940-x40-11.tif;1241;483.410153;765.614827;33.077059;50.924659;1.391310;1.539576;0.649529;0.609292;139.000000;0.760337;147.300000;192.301370;91;255
24;M-11940-x40-11.tif;1805;508.534072;704.840997;39.582338;62.948923;1.608380;1.590329;0.628801;0.579977;280.000000;0.777566;191.002000;180.914681;95;255
25;M-11940-x40-11.tif;2594;553.481881;692.536623;49.869331;70.477180;1.418424;1.413237;0.707595;0.664941;228.000000;0.706618;215.027000;170.784117;106;255
26;M-11940-x40-11.tif;1226;549.420065;100.438010;30.858614;57.484441;1.801607;1.862833;0.536817;0.472389;282.000000;0.843699;166.602000;210.615008;136;255
27;M-11940-x40-11.tif;2947;576.336614;162.838480;54.304199;69.479127;1.046157;1.279443;0.781590;0.777287;52.000000;0.623792;196.831000;189.477774;128;255
28;M-11940-x40-11.tif;2395;599.560752;393.578706;52.413027;60.146108;1.241723;1.147541;0.871428;0.842948;210.000000;0.490523;193.317000;185.145720;116;255
29;M-11940-x40-11.tif;3196;624.646746;448.871715;60.190173;69.663686;1.452952;1.157393;0.864011;0.838502;267.000000;0.503473;241.565000;196.766896;119;255
30;M-11940-x40-11.tif;2349;639.128140;370.861643;49.501070;62.610887;1.382215;1.264839;0.790614;0.762945;279.000000;0.612314;201.992000;193.582801;124;255
31;M-11940-x40-11.tif;1233;642.668289;297.089213;34.373912;55.045580;2.492835;1.601377;0.624463;0.518118;358.000000;0.781055;196.532000;209.804542;143;255
32;M-11940-x40-11.tif;3024;685.637897;194.682540;54.148083;71.574319;1.094880;1.321826;0.756529;0.751584;91.000000;0.653960;203.976000;201.010251;90;255
33;M-11940-x40-11.tif;1498;687.793057;474.149533;40.083406;48.026101;1.005560;1.198154;0.834617;0.826927;29.000000;0.550831;137.583000;193.317089;130;255
34;M-11940-x40-11.tif;2319;834.762829;304.755929;46.657026;65.074457;1.218153;1.394741;0.716979;0.697252;167.000000;0.697095;188.411000;180.774472;107;255
35;M-11940-x40-11.tif;1005;921.045771;769.668657;27.748679;63.957089;2.325243;2.304870;0.433864;0.312823;376.000000;0.900978;171.365000;214.277612;124;255
36;M-11940-x40-11.tif;752;1052.127660;531.968085;24.737054;41.375804;1.327681;1.672625;0.597863;0.559287;67.000000;0.801598;112.011000;202.752660;148;255
37;M-11940-x40-11.tif;822;1101.408759;266.605839;23.749987;48.419350;1.442922;2.038711;0.490506;0.446420;116.000000;0.871438;122.085000;201.826034;94;255
38;M-11940-x40-11.tif;944;1116.119703;303.175847;29.256475;42.363855;1.176395;1.448016;0.690600;0.669717;63.000000;0.723237;118.132000;193.323093;127;255
39;M-11940-x40-11.tif;2852;1174.821178;642.034011;52.153887;74.582366;1.442103;1.430044;0.699279;0.652811;448.000000;0.714849;227.341000;194.451613;121;255
40;M-11940-x40-11.tif;4588;1212.923278;721.969486;61.966403;101.030034;1.768546;1.630400;0.613346;0.572312;858.000000;0.789814;319.319000;196.318439;139;255
41;M-11940-x40-11.tif;5598;1223.265452;590.114505;86.442639;101.695251;2.053862;1.176448;0.850016;0.689194;1223.000000;0.526756;380.108000;183.518042;88;255
42;M-11940-x40-11.tif;2627;1228.061667;668.843928;55.973461;72.272620;1.764746;1.291194;0.774477;0.640358;600.000000;0.632602;241.366000;207.495242;143;255
43;M-11940-x40-11.tif;5456;1287.951063;460.190799;45.513634;163.123734;2.234565;3.584063;0.279013;0.261066;633.000000;0.960287;391.416000;191.724340;80;255
44;M-11940-x40-11.tif;1131;1316.512821;570.301503;34.639097;46.475595;1.315892;1.341709;0.745318;0.666688;115.000000;0.666709;136.756000;194.830239;88;255
45;M-11940-x40-11.tif;5035;1428.174777;394.722741;54.228448;123.128307;1.565530;2.270548;0.440422;0.422857;462.000000;0.897791;314.728000;196.739027;135;255
46;M-11940-x40-11.tif;1212;1413.921617;703.693069;37.870121;45.266619;1.883567;1.195312;0.836601;0.753107;150.000000;0.547812;169.374000;203.599010;128;255
47;M-11940-x40-11.tif;980;1422.461224;526.140816;32.807774;39.727025;1.251436;1.210903;0.825830;0.790613;79.000000;0.563919;124.143000;200.778571;150;255
48;M-11940-x40-11.tif;1819;1427.335899;754.475536;44.950598;52.099334;1.108901;1.159035;0.862786;0.853254;70.000000;0.505569;159.209000;203.740517;136;255
49;M-11940-x40-11.tif;1428;1457.762605;502.590336;36.137957;50.981147;1.159802;1.410737;0.708849;0.699551;69.000000;0.705360;144.265000;194.745098;116;255
50;M-11940-x40-11.tif;949;1457.890411;705.624868;33.236770;38.471912;1.714323;1.157511;0.863923;0.816373;129.000000;0.503624;142.983000;197.985248;77;255
51;M-11940-x40-11.tif;2162;1518.532377;374.839500;47.819043;70.682405;2.179989;1.478123;0.676534;0.550989;662.000000;0.736411;243.366000;205.091119;135;255
52;M-11940-x40-11.tif;1408;1510.305398;410.289063;37.285469;49.523703;1.215855;1.328231;0.752881;0.730948;109.000000;0.658156;146.672000;195.777699;151;255
