No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11333-x40-08.tif;346;9.372832;531.997110;12.319578;46.295107;2.594985;3.757848;0.266110;0.205549;160.000000;0.963943;106.221000;0.366427;0;9.444444e-01
2;B-11333-x40-08.tif;4203;49.500833;110.401856;57.972993;102.060756;2.333410;1.760488;0.568024;0.513750;1030.000000;0.823012;351.059000;0.698453;0;9.666667e-01
3;B-11333-x40-08.tif;498;71.694779;517.538153;25.074077;33.611914;2.488281;1.340505;0.745988;0.561246;169.000000;0.665960;124.787000;0.359298;0;9.444444e-01
4;B-11333-x40-08.tif;5715;373.547157;420.994226;71.920341;133.192728;2.979645;1.851948;0.539972;0.410171;2002.000000;0.841683;462.589000;0.732942;0;9.967949e-01
5;B-11333-x40-08.tif;995;496.552764;268.645226;27.676603;46.905153;1.258820;1.694758;0.590055;0.575827;73.000000;0.807363;125.458000;0.739707;6.666667e-01;8.518519e-01
6;B-11333-x40-08.tif;2972;637.893001;253.929004;51.863120;97.232723;2.654899;1.874795;0.533392;0.400252;978.000000;0.845868;314.886000;0.734656;6.722222e-01;8.850575e-01
7;B-11333-x40-08.tif;2869;682.695713;153.774486;44.014990;88.277614;1.834997;2.005626;0.498597;0.468748;412.000000;0.866834;257.210000;0.725653;0;9.761905e-01
8;B-11333-x40-08.tif;334;680.724551;275.278443;16.933129;35.230583;2.283216;2.080571;0.480637;0.342623;142.000000;0.876920;97.893000;0.730022;7.000000e-01;8.571429e-01
9;B-11333-x40-08.tif;2394;714.544695;659.066834;40.531196;81.033483;1.989395;1.999287;0.500178;0.464200;401.000000;0.865922;244.640000;0.741192;7.005650e-01;7.777778e-01
10;B-11333-x40-08.tif;4189;809.173550;500.587014;39.084865;174.174946;5.903574;4.456327;0.224400;0.175812;2292.000000;0.974497;557.465000;0.397574;0;9.761905e-01
11;B-11333-x40-08.tif;1205;754.771784;158.775104;37.918295;40.574633;0.987496;1.070054;0.934532;0.931940;35.000000;0.355879;122.283000;0.725484;3.333333e-01;9.047619e-01
12;B-11333-x40-08.tif;596;765.563758;36.654362;19.193955;54.057269;2.395432;2.816369;0.355067;0.259686;239.000000;0.934841;133.943000;0.687638;0;9.761905e-01
13;B-11333-x40-08.tif;456;763.309211;466.690789;19.975593;34.869486;1.708734;1.745604;0.572867;0.477512;98.000000;0.819648;98.952000;0.498615;0;9.583333e-01
14;B-11333-x40-08.tif;1407;816.245203;88.495380;26.766342;70.906563;1.776842;2.649094;0.377488;0.356313;188.000000;0.926015;177.246000;0.709133;0;9.722222e-01
15;B-11333-x40-08.tif;2141;818.734236;151.121439;44.686687;63.508085;1.676836;1.421186;0.703638;0.675879;242.000000;0.710559;212.402000;0.695995;0;9.666667e-01
16;B-11333-x40-08.tif;1059;862.475921;119.496695;30.802282;44.336759;1.164582;1.439399;0.694735;0.685927;64.000000;0.719266;124.491000;0.719378;0;9.761905e-01
17;B-11333-x40-08.tif;751;890.673768;180.934754;26.952386;36.162433;1.169656;1.341715;0.745315;0.731198;46.000000;0.666713;105.064000;0.727744;6.477273e-01;8.416667e-01
18;B-11333-x40-08.tif;482;907.651452;349.139004;13.276926;58.660321;3.539613;4.418216;0.226336;0.178348;287.000000;0.974049;146.422000;0.536995;0;9.444444e-01
19;B-11333-x40-08.tif;465;921.894624;464.105376;26.286252;31.100223;2.242948;1.183136;0.845211;0.612119;136.000000;0.534433;114.483000;0.641799;0;9.523810e-01
20;B-11333-x40-08.tif;318;931.022013;438.261006;14.320434;31.056305;1.496594;2.168671;0.461112;0.419795;44.000000;0.887342;77.334000;0.589141;0;9.722222e-01
21;B-11333-x40-08.tif;1656;1038.486715;565.439614;28.184281;81.639248;2.038765;2.896623;0.345230;0.316353;336.000000;0.938518;205.977000;0.709131;0;9.583333e-01
22;B-11333-x40-08.tif;2093;1077.158146;384.583851;29.076670;121.898228;3.788124;4.192304;0.238532;0.179343;1189.000000;0.971135;315.647000;0.672572;0;9.791667e-01
23;B-11333-x40-08.tif;4227;1144.973504;136.017980;43.501819;141.467138;3.166162;3.251982;0.307505;0.268925;1137.000000;0.951547;410.098000;0.724888;0;9.953704e-01
24;B-11333-x40-08.tif;435;1093.533333;589.770115;13.685141;47.996942;2.421611;3.507230;0.285125;0.240421;135.000000;0.958490;115.054000;0.637124;0;9.814815e-01
25;B-11333-x40-08.tif;1372;1191.204082;438.627551;32.638503;74.229110;3.177128;2.274280;0.439700;0.317041;641.000000;0.898145;234.045000;0.692923;0;9.957265e-01
26;B-11333-x40-08.tif;1039;1416.238691;158.595765;32.594151;41.023287;1.064476;1.258609;0.794528;0.786076;45.000000;0.607227;117.891000;0.657343;0;9.924242e-01
27;B-11333-x40-08.tif;603;1447.253731;314.505804;19.893499;43.220452;1.749424;2.172592;0.460280;0.411007;132.000000;0.887774;115.136000;0.521006;0;9.444444e-01
