No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-05AA.tif;968;384.844008;178.983471;33.295157;65.663578;4.604854;1.972166;0.507057;0.285849;643.000000;0.861913;236.674000;0.400137;0;9.833333e-01
2;B-AA11746-x40-05AA.tif;641;401.525741;409.187207;23.676171;60.701817;3.644938;2.563836;0.390041;0.221495;427.000000;0.920798;171.348000;0.344605;0;9.166667e-01
3;B-AA11746-x40-05AA.tif;829;405.850422;248.164053;17.796129;73.339658;3.563024;4.121102;0.242654;0.196240;363.000000;0.970113;192.660000;0.392348;0;9.444444e-01
4;B-AA11746-x40-05AA.tif;507;451.015779;447.011834;23.310968;29.806093;1.426879;1.278630;0.782087;0.726621;76.000000;0.623169;95.346000;0.436281;0;9.166667e-01
5;B-AA11746-x40-05AA.tif;301;453.405316;255.139535;15.554198;29.348172;1.797715;1.886833;0.529989;0.444953;63.000000;0.848005;82.461000;0.367813;0;9.696970e-01
6;B-AA11746-x40-05AA.tif;522;474.530651;276.862069;16.880642;47.636036;1.839082;2.821933;0.354367;0.292893;104.000000;0.935106;109.835000;0.327799;0;9.166667e-01
7;B-AA11746-x40-05AA.tif;325;482.200000;113.264615;12.759106;41.228304;2.095438;3.231285;0.309474;0.243446;116.000000;0.950908;92.509000;0.374274;0;9.166667e-01
8;B-AA11746-x40-05AA.tif;444;519.376126;301.054054;18.792992;42.514752;2.093387;2.262266;0.442035;0.312762;165.000000;0.896998;108.074000;0.358152;0;9.444444e-01
9;B-AA11746-x40-05AA.tif;637;550.064364;132.427002;14.625355;76.348774;4.256180;5.220302;0.191560;0.139138;304.000000;0.981481;184.580000;0.389589;0;9.583333e-01
10;B-AA11746-x40-05AA.tif;459;559.607843;320.873638;22.053684;30.499680;1.715765;1.382974;0.723079;0.628250;94.000000;0.690765;99.481000;0.362019;0;9.166667e-01
11;B-AA11746-x40-05AA.tif;588;585.091837;338.870748;24.551711;38.407345;1.950688;1.564345;0.639245;0.507527;184.000000;0.769003;120.057000;0.407020;0;9.166667e-01
12;B-AA11746-x40-05AA.tif;373;607.654155;132.445040;11.818935;48.527140;2.473955;4.105881;0.243553;0.201674;125.000000;0.969888;107.685000;0.480935;0;9.166667e-01
13;B-AA11746-x40-05AA.tif;522;659.469349;118.419540;15.782468;60.284305;2.978967;3.819701;0.261801;0.182882;216.000000;0.965122;139.789000;0.457854;0;9.166667e-01
14;B-AA11746-x40-05AA.tif;307;775.517915;486.130293;14.690022;30.056629;1.439182;2.046057;0.488745;0.432681;39.000000;0.872427;74.513000;0.463898;0;9.166667e-01
15;B-AA11746-x40-05AA.tif;481;804.166320;121.172557;13.896197;57.353510;2.678673;4.127281;0.242290;0.186181;222.000000;0.970204;127.244000;0.396219;0;9.166667e-01
16;B-AA11746-x40-05AA.tif;633;826.848341;522.061611;20.166002;42.879824;1.655300;2.126342;0.470291;0.438337;106.000000;0.882511;114.748000;0.431104;0;9.444444e-01
17;B-AA11746-x40-05AA.tif;602;856.872093;551.127907;16.995194;52.698391;2.367169;3.100782;0.322499;0.276002;185.000000;0.946570;133.819000;0.390919;0;9.444444e-01
18;B-AA11746-x40-05AA.tif;726;922.804408;591.024793;18.507934;63.115071;2.728018;3.410163;0.293241;0.232049;325.000000;0.956039;157.760000;0.319406;0;9.444444e-01
19;B-AA11746-x40-05AA.tif;328;915.164634;136.844512;16.939370;29.063874;1.919373;1.715759;0.582832;0.494398;90.000000;0.812592;88.945000;0.418572;0;9.444444e-01
20;B-AA11746-x40-05AA.tif;660;977.462121;622.796970;20.729657;45.126341;1.930398;2.176898;0.459369;0.412661;148.000000;0.888245;126.532000;0.411237;0;9.444444e-01
21;B-AA11746-x40-05AA.tif;379;1003.815303;175.443272;9.749966;57.746600;2.604418;5.922749;0.168841;0.144709;89.000000;0.985643;111.373000;0.412049;0;9.166667e-01
22;B-AA11746-x40-05AA.tif;613;1026.163132;662.311582;23.370302;35.895867;1.407796;1.535961;0.651058;0.605734;95.000000;0.759028;104.137000;0.485998;0;9.444444e-01
23;B-AA11746-x40-05AA.tif;349;1046.805158;161.733524;13.683459;40.476830;1.986767;2.958085;0.338057;0.271221;84.000000;0.941126;93.345000;0.441684;0;9.375000e-01
24;B-AA11746-x40-05AA.tif;488;1065.760246;695.250000;21.507176;35.953405;1.901433;1.671693;0.598196;0.480673;151.000000;0.801350;107.983000;0.359347;0;9.166667e-01
25;B-AA11746-x40-05AA.tif;5099;1148.937243;159.358502;58.454324;150.170329;3.875244;2.569020;0.389253;0.287890;2425.000000;0.921131;498.307000;0.586109;0;9.912281e-01
26;B-AA11746-x40-05AA.tif;2439;1131.629356;750.208692;27.205989;132.000253;4.455236;4.851882;0.206106;0.178227;995.000000;0.978530;369.527000;0.377984;0;9.861111e-01
27;B-AA11746-x40-05AA.tif;733;1222.381992;282.777626;15.500272;73.446308;2.965015;4.738388;0.211042;0.173011;325.000000;0.977477;165.261000;0.389222;0;9.444444e-01
28;B-AA11746-x40-05AA.tif;4479;1271.123465;674.001116;49.024624;232.768976;7.821587;4.748001;0.210615;0.105255;5358.000000;0.977569;663.503000;0.405518;0;9.912281e-01
29;B-AA11746-x40-05AA.tif;953;1277.943337;363.298006;18.204762;94.508644;4.386776;5.191424;0.192625;0.135850;469.000000;0.981272;229.205000;0.317317;0;9.583333e-01
30;B-AA11746-x40-05AA.tif;1133;1290.947043;443.195057;24.241517;79.824742;2.962364;3.292894;0.303684;0.226394;441.000000;0.952773;205.371000;0.391283;0;9.666667e-01
31;B-AA11746-x40-05AA.tif;546;1406.419414;589.952381;20.545771;54.155271;2.305538;2.635835;0.379386;0.237040;249.000000;0.925238;125.773000;0.349918;0;9.940476e-01
32;B-AA11746-x40-05AA.tif;384;1427.104167;546.570313;21.062674;33.084907;2.036921;1.570784;0.636625;0.446665;147.000000;0.771174;99.142000;0.432943;0;9.444444e-01
33;B-AA11746-x40-05AA.tif;1471;1447.333107;535.213460;29.490159;99.462905;4.492676;3.372749;0.296494;0.189322;1032.000000;0.955035;288.180000;0.368299;0;9.166667e-01
34;B-AA11746-x40-05AA.tif;3755;1483.272969;316.972304;48.746294;125.470673;4.889568;2.573953;0.388507;0.303694;1772.000000;0.921446;480.336000;0.511995;0;9.944444e-01
35;B-AA11746-x40-05AA.tif;2444;1472.225041;458.042553;39.313104;122.015076;5.216560;3.103674;0.322199;0.209018;1660.000000;0.946672;400.265000;0.487286;0;9.833333e-01
