No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;2197;23.798361;173.072827;40.197344;71.321285;1.600678;1.774279;0.563609;0.549923;177.000000;0.826041;210.219000;0.750887;5.000000e-01;8.541667e-01
2;F-11879-x40-08.tif;1226;177.734910;283.631321;36.861883;48.805183;1.673928;1.324001;0.755286;0.655343;236.000000;0.655395;160.590000;0.769750;7.179487e-01;8.360656e-01
3;F-11879-x40-08.tif;1493;222.475553;315.341594;36.997753;52.092522;1.161284;1.407992;0.710232;0.700518;84.000000;0.703968;147.606000;0.761491;6.827957e-01;8.713450e-01
4;F-11879-x40-08.tif;4212;289.186372;189.617284;71.596522;106.395345;7.032104;1.486041;0.672929;0.473754;2302.000000;0.739707;610.087000;0.775732;7.307692e-01;8.571429e-01
5;F-11879-x40-08.tif;3614;307.056447;301.721085;63.039445;77.156288;1.652102;1.223937;0.817036;0.772957;412.000000;0.576587;273.916000;0.759566;0;9.393939e-01
6;F-11879-x40-08.tif;2541;375.359701;510.480519;46.740488;80.452072;2.838461;1.721250;0.580973;0.499851;803.000000;0.813923;301.057000;0.774124;7.285714e-01;8.188406e-01
7;F-11879-x40-08.tif;1172;375.284983;373.514505;36.581259;46.830257;1.807770;1.280171;0.781146;0.680432;275.000000;0.624349;163.170000;0.784274;7.395833e-01;8.237179e-01
8;F-11879-x40-08.tif;1173;630.226769;197.573743;34.326865;47.615892;1.455126;1.387132;0.720912;0.658725;161.000000;0.693027;146.455000;0.774596;7.000000e-01;8.333333e-01
9;F-11879-x40-08.tif;2516;661.521463;736.370429;49.733616;71.006601;2.276881;1.427739;0.700408;0.635365;537.000000;0.713742;268.306000;0.777722;7.430556e-01;8.333333e-01
10;F-11879-x40-08.tif;1550;799.790323;269.844516;41.183164;48.086758;1.033768;1.167631;0.856435;0.853475;45.000000;0.516256;141.900000;0.765994;7.326389e-01;8.069106e-01
11;F-11879-x40-08.tif;3566;812.953449;127.690690;48.765706;99.378545;3.059335;2.037878;0.490707;0.459734;640.000000;0.871325;370.262000;0.756082;6.130952e-01;8.448276e-01
12;F-11879-x40-08.tif;1836;854.345316;613.629085;35.402999;69.171821;1.600688;1.953841;0.511812;0.488567;226.000000;0.859097;192.174000;0.745165;0;8.888889e-01
13;F-11879-x40-08.tif;1860;854.175269;668.253763;45.026786;53.102012;1.071215;1.179343;0.847930;0.839849;61.000000;0.530108;158.234000;0.760666;7.246377e-01;8.250000e-01
14;F-11879-x40-08.tif;3916;909.138407;284.827886;55.834119;104.429068;2.016926;1.870345;0.534661;0.457204;778.000000;0.845067;315.044000;0.764143;6.871795e-01;8.250000e-01
15;F-11879-x40-08.tif;4483;946.066027;36.624582;70.843306;98.845390;3.972391;1.395268;0.716708;0.584206;1586.000000;0.697373;473.059000;0.766564;6.904762e-01;8.500000e-01
16;F-11879-x40-08.tif;1451;936.669194;161.516196;41.929841;46.993428;1.456771;1.120763;0.892249;0.836572;180.000000;0.451544;162.980000;0.743545;6.598639e-01;8.425926e-01
17;F-11879-x40-08.tif;549;965.349727;674.506375;22.303019;42.312635;2.692162;1.897171;0.527101;0.390429;210.000000;0.849803;136.283000;0.774581;7.631579e-01;7.916667e-01
18;F-11879-x40-08.tif;2189;1085.662403;709.400640;44.534428;63.989701;1.431567;1.436859;0.695962;0.680669;149.000000;0.718078;198.442000;0.729387;4.166667e-01;8.809524e-01
19;F-11879-x40-08.tif;710;1093.102817;332.021127;22.818683;48.184806;2.248873;2.111638;0.473566;0.389357;216.000000;0.880758;141.650000;0.740495;7.101449e-01;7.651515e-01
20;F-11879-x40-08.tif;2211;1220.985979;399.484396;33.280675;127.668508;5.264009;3.836115;0.260680;0.172715;1501.000000;0.965425;382.435000;0.742347;6.851852e-01;8.000000e-01
21;F-11879-x40-08.tif;857;1190.924154;123.369895;28.915726;45.049748;1.804434;1.557967;0.641862;0.537658;237.000000;0.766820;139.401000;0.758514;7.000000e-01;8.125000e-01
22;F-11879-x40-08.tif;3554;1226.910242;564.214406;57.936582;95.252718;2.836736;1.644086;0.608241;0.498738;1123.000000;0.793753;355.937000;0.756527;7.307692e-01;8.125000e-01
23;F-11879-x40-08.tif;317;1223.552050;144.447950;18.066725;25.066409;1.341092;1.387435;0.720754;0.642370;44.000000;0.693190;73.091000;0.757610;7.222222e-01;8.888889e-01
24;F-11879-x40-08.tif;1518;1261.883399;188.231225;38.458380;52.145799;1.340945;1.355902;0.737516;0.710793;157.000000;0.675329;159.936000;0.739103;6.666667e-01;8.333333e-01
25;F-11879-x40-08.tif;367;1256.419619;287.596730;16.252024;45.250219;2.953826;2.784282;0.359159;0.228210;221.000000;0.933276;116.716000;0.744201;6.833333e-01;7.833333e-01
26;F-11879-x40-08.tif;1014;1385.055227;464.337278;29.700671;45.668141;1.291871;1.537613;0.650359;0.619044;75.000000;0.759627;128.302000;0.760883;7.380952e-01;7.857143e-01
27;F-11879-x40-08.tif;601;1563.124792;463.184692;26.367967;29.435618;1.064943;1.116340;0.895784;0.883158;26.000000;0.444489;89.682000;0.758121;6.419753e-01;8.794326e-01
