No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-04.tif;4199;49.228864;217.411527;56.097545;97.146879;1.333715;1.731749;0.577451;0.566498;251.000000;0.816425;265.283000;0.754310;7.174797e-01;8.265306e-01
2;M-11830a-x40-04.tif;1224;43.580882;352.918301;35.943061;44.763021;1.233614;1.245387;0.802963;0.777773;82.000000;0.596029;137.748000;0.738681;0;9.583333e-01
3;M-11830a-x40-04.tif;2859;174.926548;525.626443;39.596030;163.111057;4.128570;4.119379;0.242755;0.136822;2192.000000;0.970088;385.134000;0.734519;0;9.666667e-01
4;M-11830a-x40-04.tif;1207;175.458989;49.850041;34.145731;45.584606;1.117613;1.335002;0.749063;0.739573;58.000000;0.662499;130.198000;0.754184;6.666667e-01;9.074074e-01
5;M-11830a-x40-04.tif;2762;284.084721;370.446054;44.451096;192.910934;4.679950;4.339847;0.230423;0.094497;3144.000000;0.973091;403.030000;0.738392;0;9.814815e-01
6;M-11830a-x40-04.tif;1211;271.854666;800.246078;23.392795;79.708386;3.364132;3.407390;0.293480;0.242687;434.000000;0.955965;226.263000;0.745612;7.083333e-01;7.962963e-01
7;M-11830a-x40-04.tif;2930;283.358703;212.763823;50.114214;114.627170;3.649804;2.287319;0.437193;0.283924;1464.000000;0.899368;366.584000;0.772351;0;9.666667e-01
8;M-11830a-x40-04.tif;671;327.943368;216.011923;25.908999;33.185183;0.986301;1.280836;0.780740;0.775790;21.000000;0.624856;91.195000;0.756227;6.717172e-01;9.007937e-01
9;M-11830a-x40-04.tif;5197;452.446411;178.294785;67.036825;144.150652;5.947095;2.150320;0.465047;0.318441;3497.000000;0.885286;623.209000;0.274448;0;9.444444e-01
10;M-11830a-x40-04.tif;1057;426.375591;331.809839;30.985847;55.607590;2.026848;1.794613;0.557223;0.435228;364.000000;0.830363;164.079000;0.302560;0;9.444444e-01
11;M-11830a-x40-04.tif;707;433.393211;278.605375;22.663628;48.410538;2.194274;2.136045;0.468155;0.384105;233.000000;0.883646;139.624000;0.322764;0;9.444444e-01
12;M-11830a-x40-04.tif;1453;453.841707;73.129387;32.695581;73.569554;3.206515;2.250138;0.444417;0.341806;631.000000;0.895820;241.966000;0.289229;0;9.166667e-01
13;M-11830a-x40-04.tif;5663;487.225675;504.752251;76.028763;108.837728;2.281781;1.431534;0.698552;0.608692;1054.000000;0.715560;402.963000;0.754885;0;9.666667e-01
14;M-11830a-x40-04.tif;308;462.363636;313.405844;16.387745;33.992460;2.104893;2.074261;0.482099;0.339387;113.000000;0.876117;90.260000;0.498692;0;9.444444e-01
15;M-11830a-x40-04.tif;329;560.732523;140.352584;16.585199;37.341628;2.224495;2.251503;0.444148;0.300414;146.000000;0.895954;95.900000;0.316025;0;9.166667e-01
16;M-11830a-x40-04.tif;2068;619.820116;72.957447;50.703201;74.058799;5.589813;1.460634;0.684634;0.480073;1288.000000;0.728887;381.135000;0.289773;0;9.444444e-01
17;M-11830a-x40-04.tif;4620;821.272944;250.004762;61.880940;108.449834;2.635504;1.752556;0.570595;0.500143;1122.000000;0.821232;391.163000;0.751861;0;9.333333e-01
18;M-11830a-x40-04.tif;389;827.203085;812.663239;16.633470;34.620278;1.748190;2.081362;0.480455;0.413236;102.000000;0.877020;92.443000;0.564696;0;9.166667e-01
19;M-11830a-x40-04.tif;6451;865.190203;88.487676;74.757638;115.735915;2.140720;1.548148;0.645933;0.613198;1325.000000;0.763394;416.580000;0.150847;0;9.444444e-01
20;M-11830a-x40-04.tif;1246;893.820225;325.789727;31.240616;55.790271;1.869723;1.785825;0.559965;0.509696;184.000000;0.828516;171.101000;0.761333;7.164502e-01;8.529412e-01
21;M-11830a-x40-04.tif;2597;969.098960;77.943011;40.573924;109.648905;3.654577;2.702448;0.370035;0.275026;1228.000000;0.929018;345.350000;0.199161;0;9.444444e-01
22;M-11830a-x40-04.tif;3858;1037.750907;566.616900;62.561814;84.502333;1.717156;1.350701;0.740356;0.687915;647.000000;0.672215;288.530000;0.738178;0;9.583333e-01
23;M-11830a-x40-04.tif;331;1317.359517;224.407855;16.618931;36.740729;2.011366;2.210776;0.452330;0.312207;136.000000;0.891851;91.467000;0.284491;0;9.166667e-01
24;M-11830a-x40-04.tif;320;1366.812500;214.031250;19.998344;27.665046;2.025556;1.383367;0.722874;0.532350;89.000000;0.690980;90.251000;0.464366;0;9.444444e-01
25;M-11830a-x40-04.tif;926;1477.195464;241.762419;26.876558;45.684942;1.566825;1.699806;0.588302;0.564904;111.000000;0.808641;135.027000;0.733292;0;9.333333e-01
