No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-06.tif;461;26.422993;695.898048;21.367328;37.918440;2.246746;1.774599;0.563508;0.408235;181.000000;0.826111;114.086000;0.294469;0;9.166667e-01
2;M-11897-x40-06.tif;534;35.823970;376.372659;19.362522;43.232934;2.174653;2.232815;0.447865;0.363766;177.000000;0.894101;120.801000;0.322535;0;9.722222e-01
3;M-11897-x40-06.tif;951;83.779180;561.716088;33.749071;38.807064;1.461094;1.149871;0.869663;0.804024;139.000000;0.493646;132.140000;0.252784;0;9.666667e-01
4;M-11897-x40-06.tif;503;76.850895;638.011928;19.220363;45.710077;2.578492;2.378211;0.420484;0.306517;219.000000;0.907300;127.665000;0.357190;0;9.166667e-01
5;M-11897-x40-06.tif;2399;115.494789;368.904544;49.772090;85.191547;4.678454;1.711633;0.584237;0.420869;1527.000000;0.811583;375.553000;0.263420;0;9.166667e-01
6;M-11897-x40-06.tif;3633;154.149739;737.988439;60.564060;96.480837;3.195425;1.593038;0.627731;0.496928;1719.000000;0.778430;381.946000;0.244863;0;9.666667e-01
7;M-11897-x40-06.tif;308;154.418831;89.545455;12.434941;39.615085;2.149859;3.185788;0.313894;0.249885;119.000000;0.949458;91.219000;0.268128;0;9.166667e-01
8;M-11897-x40-06.tif;444;163.567568;683.299550;24.079236;34.135088;2.306467;1.417615;0.705410;0.485167;162.000000;0.708799;113.441000;0.338182;0;9.166667e-01
9;M-11897-x40-06.tif;587;217.308348;474.831346;24.870601;38.003457;2.164534;1.528047;0.654430;0.517490;198.000000;0.756123;126.359000;0.541627;0;9.666667e-01
10;M-11897-x40-06.tif;2394;278.205096;475.652464;39.050853;93.829638;4.209890;2.402755;0.416189;0.346222;911.000000;0.909278;355.879000;0.330637;0;9.333333e-01
11;M-11897-x40-06.tif;1289;322.439100;796.230411;34.962458;52.629290;2.019176;1.505309;0.664316;0.592527;288.000000;0.747452;180.850000;0.359193;0;9.166667e-01
12;M-11897-x40-06.tif;316;325.408228;267.958861;15.788428;37.706596;2.753125;2.388243;0.418718;0.282984;137.000000;0.908116;104.559000;0.331487;0;9.166667e-01
13;M-11897-x40-06.tif;741;345.947368;620.187584;37.603865;48.294452;3.834648;1.284295;0.778637;0.404514;470.000000;0.627474;188.963000;0.272492;0;9.166667e-01
14;M-11897-x40-06.tif;344;340.331395;485.031977;16.733397;26.917671;1.199747;1.608620;0.621651;0.604496;27.000000;0.783294;72.016000;0.257752;0;9.166667e-01
15;M-11897-x40-06.tif;552;350.940217;297.798913;30.230321;31.871622;2.187523;1.054293;0.948503;0.691896;164.000000;0.316769;123.183000;0.370844;0;9.583333e-01
16;M-11897-x40-06.tif;729;382.648834;300.735254;23.393430;45.222647;2.062271;1.933135;0.517295;0.453864;175.000000;0.855807;137.449000;0.356882;0;9.444444e-01
17;M-11897-x40-06.tif;4444;487.321557;474.626238;66.264759;110.019899;4.005829;1.660308;0.602298;0.467457;2242.000000;0.798271;472.975000;0.228374;0;9.444444e-01
