No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11901b-x40-03.tif;937;22.348986;448.433298;36.784711;42.195325;2.789923;1.147089;0.871772;0.670071;284.000000;0.489911;181.247000;0.365914;0;9.166667e-01
2;M-11901b-x40-03.tif;998;23.793587;29.482966;32.789714;46.844404;2.098459;1.428631;0.699971;0.579062;277.000000;0.714171;162.226000;0.642619;0;8.333333e-01
3;M-11901b-x40-03.tif;2140;62.245794;501.872897;43.766129;95.557240;6.004461;2.183361;0.458010;0.298399;1527.000000;0.888947;401.836000;0.740468;0;9.761905e-01
4;M-11901b-x40-03.tif;3111;159.892960;350.099968;49.626475;94.787088;3.355267;1.910011;0.523557;0.440871;915.000000;0.851990;362.175000;0.760473;0;9.444444e-01
5;M-11901b-x40-03.tif;1511;332.908670;296.963600;43.076859;53.016338;2.158396;1.230738;0.812520;0.684471;387.000000;0.582933;202.443000;0.253254;0;8.333333e-01
6;M-11901b-x40-03.tif;1921;716.416970;489.152525;44.976158;57.954620;1.937758;1.288563;0.776058;0.728218;207.000000;0.630661;216.281000;0.760951;7.123016e-01;8.211382e-01
7;M-11901b-x40-03.tif;1157;854.201383;314.797753;33.376239;51.410311;2.419539;1.540327;0.649213;0.557369;283.000000;0.760607;187.559000;0.779226;7.287234e-01;8.214286e-01
8;M-11901b-x40-03.tif;1799;886.093941;287.979989;45.339738;51.911361;1.504783;1.144942;0.873407;0.849995;210.000000;0.486991;184.441000;0.773564;7.216495e-01;8.164557e-01
9;M-11901b-x40-03.tif;3627;1022.767577;274.211470;53.108914;107.056760;3.877847;2.015796;0.496082;0.402930;1272.000000;0.868276;420.411000;0.454048;0;9.761905e-01
10;M-11901b-x40-03.tif;2352;1127.419643;595.135629;54.044784;60.435678;2.432521;1.118252;0.894253;0.819900;489.000000;0.447562;268.134000;0.386319;0;9.666667e-01
11;M-11901b-x40-03.tif;452;1260.216814;794.292035;23.736032;28.840427;1.714913;1.215048;0.823013;0.691903;90.000000;0.568023;98.695000;0.589244;0;9.444444e-01
12;M-11901b-x40-03.tif;3600;1368.165278;473.138333;73.421218;81.028550;5.470825;1.103612;0.906115;0.698130;1310.000000;0.423031;497.488000;0.342845;0;9.444444e-01
