No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-05AA.tif;964;531.489627;222.784232;29.745478;51.573720;2.211670;1.733834;0.576756;0.461456;421.000000;0.816916;163.683000;0.533842;4.489350e-01;6.813981e-01
2;B-AA11746-x40-05AA.tif;898;581.913140;441.006682;28.196760;41.115896;1.092058;1.458178;0.685787;0.676343;40.000000;0.727802;111.011000;0.544967;0;8.407416e-01
3;B-AA11746-x40-05AA.tif;1886;895.298515;360.261400;51.411655;64.668377;2.854758;1.257854;0.795005;0.574206;1078.000000;0.606603;260.112000;0.565731;4.495783e-01;8.888913e-01
4;B-AA11746-x40-05AA.tif;6371;1008.003139;468.636164;96.985122;195.272312;11.180901;2.013425;0.496666;0.212734;8510.000000;0.867942;946.122000;0.567464;4.561704e-01;8.322830e-01
5;B-AA11746-x40-05AA.tif;2732;974.883968;293.114568;34.236844;134.155001;3.592188;3.918439;0.255204;0.193276;1405.000000;0.966887;351.176000;0.553928;4.860750e-01;6.783263e-01
6;B-AA11746-x40-05AA.tif;1655;995.854381;345.629607;24.636546;126.307975;6.478131;5.126854;0.195051;0.132083;1414.000000;0.980793;367.053000;0.568986;4.980857e-01;7.095017e-01
7;B-AA11746-x40-05AA.tif;341;961.290323;232.642229;17.230365;30.297893;1.694284;1.758401;0.568698;0.472977;76.000000;0.822546;85.207000;0.556238;4.988859e-01;5.909581e-01
8;B-AA11746-x40-05AA.tif;412;1045.043689;343.097087;14.685504;47.778066;2.495041;3.253417;0.307369;0.229800;149.000000;0.951590;113.656000;0.566127;5.250879e-01;6.305612e-01
9;B-AA11746-x40-05AA.tif;674;1100.354599;430.551929;19.824662;47.596578;1.967198;2.400877;0.416514;0.378807;158.000000;0.909129;129.080000;0.571117;5.415015e-01;6.380424e-01
10;B-AA11746-x40-05AA.tif;602;1134.808970;715.466777;26.299417;35.341906;1.882318;1.343828;0.744143;0.613658;100.000000;0.668021;119.330000;0.594947;4.408452e-01;9.024586e-01
11;B-AA11746-x40-05AA.tif;1228;1173.205212;146.880293;32.141487;52.907619;1.480577;1.646085;0.607502;0.558563;143.000000;0.794318;151.154000;0.498113;0;6.713767e-01
12;B-AA11746-x40-05AA.tif;437;1232.519451;474.032037;19.011385;31.579525;1.411845;1.661085;0.602016;0.557931;62.000000;0.798484;88.052000;0.554838;5.285302e-01;6.522497e-01
13;B-AA11746-x40-05AA.tif;1404;1261.556980;557.690883;40.134451;45.289176;1.067603;1.128436;0.886182;0.871542;61.000000;0.463337;137.244000;0.605717;4.955592e-01;7.958225e-01
14;B-AA11746-x40-05AA.tif;1192;1263.665268;599.092282;35.264440;43.785811;1.156374;1.241642;0.805385;0.791625;54.000000;0.592752;131.611000;0.578370;1.412907e-02;7.750242e-01
15;B-AA11746-x40-05AA.tif;733;1431.768076;580.046385;28.225084;33.721882;1.036360;1.194749;0.836996;0.820711;28.000000;0.547209;97.704000;0.561643;0;6.936680e-01
16;B-AA11746-x40-05AA.tif;1046;1495.168260;307.883365;30.493015;48.679582;1.545637;1.596417;0.626403;0.562015;211.000000;0.779500;142.536000;0.515821;0;6.848889e-01
