No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11183a-x40-08.tif;1388;31.221902;280.204611;38.448862;50.743981;1.845127;1.319778;0.757703;0.686326;255.000000;0.652600;179.396000;0.491968;9.549034e-03;5.920149e-01
2;F-11183a-x40-08.tif;2141;81.512377;250.247081;49.551057;78.327460;2.989413;1.580742;0.632614;0.444323;882.000000;0.774467;283.600000;0.466887;0;5.474140e-01
3;F-11183a-x40-08.tif;340;90.591176;88.323529;16.710593;30.789852;1.445004;1.842535;0.542731;0.456640;59.000000;0.839907;78.574000;0.193095;2.431880e-03;4.988745e-01
4;F-11183a-x40-08.tif;337;122.296736;342.412463;18.733934;26.455997;1.433111;1.412197;0.708117;0.613044;55.000000;0.706095;77.904000;0.178568;2.420569e-03;4.988399e-01
5;F-11183a-x40-08.tif;1738;174.344649;285.926352;48.979815;58.240326;2.527565;1.189068;0.840995;0.652398;696.000000;0.541043;234.953000;0.207322;0;5.084656e-01
6;F-11183a-x40-08.tif;324;184.972222;225.728395;15.647534;28.078137;1.327602;1.794413;0.557285;0.523261;38.000000;0.830321;73.521000;0.475561;4.932913e-03;4.989446e-01
7;F-11183a-x40-08.tif;328;221.935976;220.323171;15.954661;27.943991;1.332149;1.751463;0.570951;0.534819;30.000000;0.820984;74.100000;0.471084;4.435981e-01;5.106281e-01
8;F-11183a-x40-08.tif;2668;257.276237;627.181784;41.014408;102.108832;2.636225;2.489584;0.401673;0.325814;899.000000;0.915783;297.296000;0.537356;2.551090e-03;8.509800e-01
9;F-11183a-x40-08.tif;1905;285.541732;289.222572;37.469091;86.503540;2.887152;2.308664;0.433151;0.324144;739.000000;0.901321;262.898000;0.476119;4.909645e-03;5.086039e-01
10;F-11183a-x40-08.tif;703;309.780939;18.806543;24.288478;39.042615;1.456716;1.607454;0.622102;0.587202;115.000000;0.782936;113.441000;0.478054;4.632262e-01;4.988745e-01
