No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-10.tif;1362;34.455947;563.337739;35.480388;54.161039;1.619434;1.526506;0.655091;0.591171;188.000000;0.755550;166.485000;0.328070;2.551899e-03;5.404349e-01
2;M-11811a-x40-10.tif;662;79.077039;614.258308;24.933030;44.807535;1.986444;1.797116;0.556447;0.419823;184.000000;0.830883;128.550000;0.426260;2.540404e-03;5.550585e-01
3;M-11811a-x40-10.tif;2774;163.998198;675.727469;63.805646;107.352053;6.164973;1.682485;0.594359;0.306476;2383.000000;0.804200;463.579000;0.503505;2.563499e-03;5.589107e-01
4;M-11811a-x40-10.tif;1086;128.534070;731.773481;30.958356;56.884720;2.401224;1.837459;0.544230;0.427316;273.000000;0.838936;181.024000;0.529261;5.016794e-01;5.612955e-01
5;M-11811a-x40-10.tif;363;162.209366;391.101928;15.722525;32.271245;1.488571;2.052548;0.487199;0.443798;52.000000;0.873291;82.403000;0.393706;2.540404e-03;5.402938e-01
6;M-11811a-x40-10.tif;2703;176.431003;153.744728;57.442949;62.666436;1.434272;1.090933;0.916646;0.876367;300.000000;0.399700;220.721000;0.498108;2.540404e-03;5.403637e-01
7;M-11811a-x40-10.tif;748;169.513369;308.347594;28.325399;36.484064;1.298142;1.288034;0.776377;0.715493;59.000000;0.630268;110.463000;0.309314;2.540404e-03;5.403286e-01
8;M-11811a-x40-10.tif;1175;188.184681;357.219574;31.936146;62.228452;3.824132;1.948527;0.513208;0.386340;497.000000;0.858264;237.624000;0.414464;0;5.620898e-01
9;M-11811a-x40-10.tif;724;205.312155;316.538674;30.173178;38.599088;2.118969;1.279252;0.781707;0.618721;215.000000;0.623646;138.847000;0.474479;2.551899e-03;5.403991e-01
10;M-11811a-x40-10.tif;828;220.061594;107.975845;29.250917;49.032226;2.651960;1.676263;0.596565;0.438508;331.000000;0.802565;166.113000;0.512449;5.058024e-03;5.403286e-01
11;M-11811a-x40-10.tif;4311;277.704245;726.312688;57.058355;110.968159;2.803264;1.944819;0.514187;0.445750;1109.000000;0.857678;389.696000;0.605798;2.587017e-03;7.957180e-01
12;M-11811a-x40-10.tif;524;252.744275;340.429389;20.811256;41.234075;2.137970;1.981335;0.504710;0.392400;143.000000;0.863289;118.651000;0.530498;5.150408e-03;5.941479e-01
13;M-11811a-x40-10.tif;3763;311.457879;55.136593;67.649692;86.017085;3.110610;1.271507;0.786468;0.647552;902.000000;0.617631;383.526000;0.329344;2.540404e-03;5.403637e-01
14;M-11811a-x40-10.tif;4862;449.857672;184.178733;113.853159;161.115906;8.710989;1.415120;0.706654;0.238478;7870.000000;0.707560;729.535000;0.664525;5.578854e-01;7.415014e-01
15;M-11811a-x40-10.tif;436;481.373853;120.830275;18.778142;33.739048;1.569540;1.796719;0.556570;0.487676;76.000000;0.830801;92.733000;0.660753;6.355426e-01;6.990620e-01
16;M-11811a-x40-10.tif;4174;544.171538;685.410158;65.615667;101.625266;3.102499;1.548796;0.645663;0.514587;1409.000000;0.763623;403.401000;0.633182;4.898870e-01;7.765858e-01
17;M-11811a-x40-10.tif;1074;529.164804;317.245810;21.374339;76.810638;2.742042;3.593591;0.278273;0.231778;285.000000;0.960502;192.373000;0.628413;4.005975e-02;9.762891e-01
18;M-11811a-x40-10.tif;792;633.597222;396.042929;27.415565;37.821537;1.211063;1.379564;0.724867;0.704948;52.000000;0.688889;109.787000;0.582850;4.994309e-01;6.893978e-01
19;M-11811a-x40-10.tif;456;662.035088;776.989035;15.098529;40.621213;1.613836;2.690409;0.371691;0.351859;41.000000;0.928357;96.165000;0.565491;4.725618e-01;6.133274e-01
20;M-11811a-x40-10.tif;2906;682.396421;701.402959;57.259581;68.346884;1.522135;1.193632;0.837779;0.792079;413.000000;0.546010;235.765000;0.621113;4.891110e-01;7.081376e-01
21;M-11811a-x40-10.tif;729;686.318244;640.161866;26.009293;45.007860;2.077694;1.730453;0.577883;0.458206;277.000000;0.816119;137.962000;0.553773;1.559363e-02;6.168408e-01
