No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-07.tif;625;43.673600;367.192000;22.765067;35.340979;1.090240;1.552422;0.644155;0.637137;25.000000;0.764895;92.535000;0.641295;5.104224e-01;7.033489e-01
2;M-11822-x40-07.tif;804;73.485075;293.422886;28.227373;36.983421;1.071173;1.310197;0.763244;0.748431;35.000000;0.646110;104.031000;0.630952;5.183197e-01;6.948797e-01
3;M-11822-x40-07.tif;1429;86.701190;400.188244;34.825632;64.638309;1.867998;1.856056;0.538777;0.435474;305.000000;0.842448;183.151000;0.668933;4.953227e-02;8.951487e-01
4;M-11822-x40-07.tif;1130;155.865487;452.504425;36.454835;62.860533;2.644797;1.724340;0.579932;0.364110;654.000000;0.814665;193.794000;0.586246;1.610758e-02;7.829651e-01
5;M-11822-x40-07.tif;813;149.138991;114.979090;25.593369;40.745864;1.072164;1.592048;0.628122;0.623496;21.000000;0.778115;104.660000;0.638858;4.641551e-01;7.116112e-01
6;M-11822-x40-07.tif;3155;180.967987;205.119810;61.337292;76.639962;1.655925;1.249484;0.800330;0.683910;724.000000;0.599559;256.227000;0.497168;0;7.229754e-01
7;M-11822-x40-07.tif;4874;222.330529;750.271440;43.169071;184.474537;2.685794;4.273303;0.234011;0.182357;1386.000000;0.972234;405.587000;0.594398;0;7.323085e-01
8;M-11822-x40-07.tif;766;284.349869;416.972585;22.880284;63.668431;2.990973;2.782677;0.359366;0.240597;467.000000;0.933197;169.678000;0.620359;5.507502e-01;8.996611e-01
9;M-11822-x40-07.tif;1514;276.649273;116.044254;26.414183;78.918878;1.675540;2.987746;0.334700;0.309510;200.000000;0.942325;178.544000;0.635444;4.539973e-03;7.706597e-01
10;M-11822-x40-07.tif;1176;286.937075;798.091837;37.442414;40.151964;0.991823;1.072366;0.932518;0.928761;31.000000;0.361124;121.067000;0.659705;3.706037e-01;8.852058e-01
11;M-11822-x40-07.tif;3781;341.302036;327.841576;67.149544;115.730954;2.888224;1.723481;0.580221;0.359433;1777.000000;0.814459;370.445000;0.674092;1.349831e-02;8.040086e-01
12;M-11822-x40-07.tif;4339;338.513713;208.532611;79.982924;88.078326;2.056099;1.101214;0.908089;0.712134;897.000000;0.418778;334.828000;0.663970;1.368155e-02;8.042831e-01
13;M-11822-x40-07.tif;6099;404.608296;555.249221;83.362983;113.994117;2.961734;1.367443;0.731292;0.597591;1676.000000;0.682065;476.439000;0.630971;9.121032e-03;7.302785e-01
14;M-11822-x40-07.tif;5920;434.755574;91.761149;60.080204;166.083476;3.811159;2.764363;0.361747;0.273262;1914.000000;0.932276;532.469000;0.592046;0;7.285986e-01
15;M-11822-x40-07.tif;2739;423.642205;215.981015;47.207067;83.053740;1.503329;1.759350;0.568392;0.505573;479.000000;0.822758;227.472000;0.623102;0;7.218124e-01
16;M-11822-x40-07.tif;6450;505.468992;262.401860;93.190129;115.588287;2.303568;1.240349;0.806225;0.614670;2211.000000;0.591609;432.101000;0.615009;4.459620e-03;8.263075e-01
17;M-11822-x40-07.tif;930;492.269892;748.023656;21.528473;71.098568;2.218317;3.302537;0.302798;0.234246;368.000000;0.953055;161.012000;0.416851;0;6.422028e-01
18;M-11822-x40-07.tif;6032;590.413959;143.757294;91.610682;141.913939;3.333337;1.549098;0.645537;0.381348;3313.000000;0.763729;502.661000;0.613967;6.689429e-03;8.433023e-01
19;M-11822-x40-07.tif;912;556.176535;734.774123;28.408879;42.804610;1.248019;1.506734;0.663687;0.633759;74.000000;0.748010;119.595000;0.606715;1.331992e-02;8.011362e-01
20;M-11822-x40-07.tif;1111;612.302430;42.416742;30.199008;50.784518;1.437194;1.681662;0.594650;0.548481;132.000000;0.803985;141.651000;0.546327;0;6.693966e-01
21;M-11822-x40-07.tif;3334;681.721956;43.137373;54.513281;90.397787;1.746462;1.658271;0.603038;0.519470;542.000000;0.797713;270.500000;0.613980;6.779422e-03;7.701144e-01
22;M-11822-x40-07.tif;750;720.660000;466.693333;27.816116;35.032899;1.087402;1.259446;0.794000;0.778071;45.000000;0.607918;101.235000;0.594162;4.499438e-03;7.297804e-01
23;M-11822-x40-07.tif;2306;951.905030;397.676496;40.763451;82.481152;1.712246;2.023409;0.494215;0.431579;509.000000;0.869340;222.750000;0.588165;1.155819e-02;6.686301e-01
24;M-11822-x40-07.tif;3268;980.657589;762.760404;46.248974;105.150583;1.727365;2.273577;0.439836;0.376330;487.000000;0.898078;266.341000;0.590710;0;6.748192e-01
25;M-11822-x40-07.tif;1281;1011.088212;522.287276;33.699387;50.559640;1.543210;1.500313;0.666527;0.638045;132.000000;0.745480;157.613000;0.552655;2.301082e-03;6.593973e-01
26;M-11822-x40-07.tif;544;1015.161765;244.544118;25.449774;27.595758;0.979216;1.084322;0.922235;0.909545;15.000000;0.386630;81.817000;0.669167;5.576033e-01;7.316051e-01
27;M-11822-x40-07.tif;1597;1033.222292;672.850971;44.410193;48.378808;1.270152;1.089363;0.917968;0.868770;134.000000;0.396655;159.656000;0.631492;0;8.982549e-01
28;M-11822-x40-07.tif;1084;1060.805351;596.971402;34.354229;44.916203;1.900995;1.307443;0.764852;0.684122;205.000000;0.644207;160.920000;0.521029;0;7.174103e-01
29;M-11822-x40-07.tif;3104;1128.394330;661.346005;47.802415;104.471357;3.107108;2.185483;0.457565;0.362107;1196.000000;0.889176;348.132000;0.522118;0;6.687664e-01
30;M-11822-x40-07.tif;964;1109.857884;281.007261;30.089381;45.501092;1.561628;1.512198;0.661289;0.592848;197.000000;0.750131;137.541000;0.525435;4.560516e-03;8.417452e-01
31;M-11822-x40-07.tif;663;1132.790347;328.579186;23.653376;44.311909;1.764051;1.873386;0.533793;0.429915;216.000000;0.845615;121.232000;0.537891;2.602492e-02;7.093307e-01
32;M-11822-x40-07.tif;923;1175.989166;466.222102;29.556915;40.034383;0.997633;1.354484;0.738288;0.733239;26.000000;0.674485;107.570000;0.623136;3.262669e-02;7.223758e-01
33;M-11822-x40-07.tif;1020;1181.932353;379.123529;28.536238;46.280317;1.127645;1.621809;0.616596;0.606342;54.000000;0.787280;120.224000;0.605482;3.857791e-01;6.674863e-01
34;M-11822-x40-07.tif;1807;1266.352518;463.279469;28.218528;89.982843;2.268078;3.188786;0.313599;0.284151;455.000000;0.949556;226.941000;0.436556;0;6.350888e-01
35;M-11822-x40-07.tif;477;1308.651992;227.031447;18.227170;36.516518;1.393470;2.003411;0.499149;0.455460;60.000000;0.866516;91.393000;0.651508;6.046160e-01;7.426109e-01
36;M-11822-x40-07.tif;1121;1352.808207;460.930419;25.981313;55.405147;1.241546;2.132500;0.468933;0.464960;46.000000;0.883234;132.248000;0.588642;2.761299e-02;6.720226e-01
37;M-11822-x40-07.tif;3838;1391.961178;549.620636;63.116171;85.023032;1.647748;1.347088;0.742342;0.675993;847.000000;0.670021;281.905000;0.654276;0;9.294239e-01
38;M-11822-x40-07.tif;3470;1417.187608;704.463401;51.621397;105.997409;1.984205;2.053362;0.487006;0.393232;1295.000000;0.873399;294.146000;0.603333;1.129904e-02;7.001461e-01
39;M-11822-x40-07.tif;3979;1431.150289;398.359135;45.099961;168.039932;2.951684;3.725944;0.268388;0.179415;2320.000000;0.963311;384.173000;0.603857;1.161145e-02;9.320910e-01
40;M-11822-x40-07.tif;1085;1447.283871;495.516129;29.470286;52.469257;1.474398;1.780412;0.561668;0.501799;123.000000;0.827363;141.784000;0.579674;9.039229e-03;7.042652e-01
41;M-11822-x40-07.tif;973;1472.382323;427.298047;28.392601;43.913048;1.082651;1.546637;0.646564;0.642445;31.000000;0.762860;115.055000;0.603121;0;7.614248e-01
42;M-11822-x40-07.tif;1304;1481.112730;301.588190;38.898542;44.546281;1.273438;1.145192;0.873216;0.836690;79.000000;0.487333;144.455000;0.583433;3.023278e-02;6.913918e-01
43;M-11822-x40-07.tif;2975;1514.443697;192.531429;54.629395;94.784022;2.223132;1.735037;0.576357;0.421625;927.000000;0.817198;288.291000;0.630384;0;7.403549e-01
44;M-11822-x40-07.tif;1057;1540.044465;62.711447;28.632727;47.405311;1.097460;1.655634;0.603998;0.598868;37.000000;0.796986;120.736000;0.596548;2.977810e-02;6.864554e-01
