No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11934b-x40-06.tif;2120;90.135377;437.150000;41.033647;68.657837;1.406731;1.673208;0.597654;0.572619;229.000000;0.801754;193.588000;0.649032;1.212268e-02;7.926288e-01
2;M-11934b-x40-06.tif;450;105.462222;275.977778;17.126188;39.100734;1.650319;2.283096;0.438002;0.374760;107.000000;0.898974;96.604000;0.626106;5.432206e-01;7.198691e-01
3;M-11934b-x40-06.tif;496;135.526210;784.842742;15.836842;55.603750;3.141809;3.511038;0.284816;0.204260;229.000000;0.958582;139.938000;0.441197;2.446882e-03;5.256803e-01
4;M-11934b-x40-06.tif;1258;151.973768;127.467409;35.548522;45.253816;1.015861;1.273015;0.785536;0.782133;31.000000;0.618815;126.725000;0.722144;4.908530e-01;9.560309e-01
5;M-11934b-x40-06.tif;5183;176.906425;506.150492;67.644685;117.000281;2.213834;1.729630;0.578158;0.482078;1876.000000;0.815925;379.724000;0.643096;2.831858e-02;8.233724e-01
6;M-11934b-x40-06.tif;3474;261.376223;400.749568;58.973190;81.092057;1.395709;1.375066;0.727238;0.672641;359.000000;0.686386;246.841000;0.666281;3.566640e-02;9.644379e-01
7;M-11934b-x40-06.tif;1052;382.127376;61.250951;40.254262;44.208003;2.227170;1.098219;0.910565;0.685368;412.000000;0.413366;171.589000;0.679498;5.594899e-01;8.675916e-01
8;M-11934b-x40-06.tif;1312;384.492378;412.422256;29.706606;60.131675;1.576305;2.024185;0.494026;0.461995;105.000000;0.869447;161.210000;0.611474;4.753965e-01;7.014663e-01
9;M-11934b-x40-06.tif;3643;517.027175;82.514960;60.810046;91.340113;4.032222;1.502056;0.665754;0.555963;1231.000000;0.746171;429.642000;0.594584;2.413516e-03;7.971787e-01
10;M-11934b-x40-06.tif;1423;510.425861;230.524947;30.989541;61.602008;1.420289;1.987832;0.503061;0.477447;77.000000;0.864251;159.366000;0.625343;2.202194e-02;7.040750e-01
11;M-11934b-x40-06.tif;5152;605.753882;264.179930;78.537239;85.136523;1.097730;1.084027;0.922486;0.905012;137.000000;0.386031;266.588000;0.673358;1.461395e-02;9.391208e-01
12;M-11934b-x40-06.tif;2572;686.245334;183.758554;28.957390;130.189338;3.218384;4.495893;0.222425;0.193210;861.000000;0.974950;322.522000;0.621951;3.067847e-02;1
13;M-11934b-x40-06.tif;4080;736.060539;647.170588;65.780913;89.230074;2.309562;1.356474;0.737206;0.652451;1157.000000;0.675668;344.112000;0.546998;0;7.189801e-01
14;M-11934b-x40-06.tif;1102;798.930127;131.567151;32.980728;45.826235;1.497385;1.389485;0.719691;0.668134;188.000000;0.694295;144.000000;0.578125;4.883480e-01;6.812013e-01
15;M-11934b-x40-06.tif;1675;823.500896;33.994627;42.185850;58.803203;1.685163;1.393908;0.717407;0.616770;463.000000;0.696654;188.336000;0.586863;4.765146e-02;7.947537e-01
16;M-11934b-x40-06.tif;2966;976.462239;550.142953;42.334112;132.067540;3.929015;3.119648;0.320549;0.216516;1353.000000;0.947232;382.677000;0.567723;7.585335e-03;7.204598e-01
17;M-11934b-x40-06.tif;5164;1174.145624;555.374129;53.899142;132.069222;1.788481;2.450303;0.408113;0.376958;916.000000;0.912932;340.675000;0.657594;1.975715e-02;7.525316e-01
18;M-11934b-x40-06.tif;2757;1416.896989;155.520493;41.683166;94.313801;2.362825;2.262635;0.441963;0.394636;713.000000;0.897034;286.114000;0.544201;1.795196e-01;6.824980e-01
19;M-11934b-x40-06.tif;2814;1473.910092;726.107321;51.717553;76.622411;1.869902;1.481555;0.674966;0.610271;597.000000;0.737848;257.144000;0.599686;0;7.775724e-01
