No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-11865-x40-03.tif;2060;48.397573;437.109709;39.737222;91.578166;3.025725;2.304594;0.433916;0.312747;987.000000;0.900953;279.868000;0.477047;9.579928e-02;9.300513e-01
2;B-11865-x40-03.tif;417;20.544365;169.908873;22.775888;31.971076;2.190530;1.403725;0.712390;0.519436;183.000000;0.701783;107.139000;0.384450;9.237787e-02;9.126592e-01
3;B-11865-x40-03.tif;894;42.258389;92.928412;20.789137;91.692240;4.040168;4.410584;0.226727;0.135389;661.000000;0.973958;213.046000;0.434756;9.237787e-02;9.334727e-01
4;B-11865-x40-03.tif;3950;109.643291;190.557975;47.963128;136.330210;3.517296;2.842396;0.351816;0.270597;1777.000000;0.936069;417.838000;0.473947;8.895647e-02;9.524330e-01
5;B-11865-x40-03.tif;424;109.554245;455.257075;15.164297;46.445978;2.532125;3.062851;0.326493;0.250253;206.000000;0.945200;116.153000;0.401804;9.237787e-02;9.058164e-01
6;B-11865-x40-03.tif;1780;181.846067;239.190449;41.631113;54.610040;1.026696;1.311760;0.762334;0.759950;36.000000;0.647183;151.543000;0.592896;4.950654e-01;7.967101e-01
7;B-11865-x40-03.tif;1541;181.212200;434.443868;37.169514;53.644356;1.093941;1.443235;0.692888;0.681812;62.000000;0.721046;145.547000;0.562627;4.527757e-01;8.165748e-01
8;B-11865-x40-03.tif;1248;207.151442;516.301282;34.025696;59.118173;3.729400;1.737457;0.575554;0.454656;487.000000;0.817764;241.842000;0.565399;9.922068e-02;9.334727e-01
9;B-11865-x40-03.tif;4705;234.149203;390.568969;49.533638;135.024961;2.275155;2.725925;0.366848;0.328580;847.000000;0.930281;366.767000;0.579164;4.718970e-01;7.402449e-01
10;B-11865-x40-03.tif;829;226.530760;145.648975;27.114782;45.161411;1.892913;1.665564;0.600397;0.517523;212.000000;0.799702;140.426000;0.547133;8.895647e-02;9.368941e-01
11;B-11865-x40-03.tif;5974;277.123870;428.939739;62.839871;150.143515;2.615436;2.389303;0.418532;0.337413;1820.000000;0.908202;443.108000;0.560211;4.676848e-01;7.404011e-01
12;B-11865-x40-03.tif;2430;291.053909;105.178189;46.942984;114.171552;5.475187;2.432132;0.411162;0.237356;1801.000000;0.911562;408.891000;0.648229;1.026421e-01;9.195020e-01
13;B-11865-x40-03.tif;1806;280.114618;255.739203;38.947114;59.355779;1.066067;1.524010;0.656164;0.652682;44.000000;0.754618;155.545000;0.603377;5.217639e-01;8.024900e-01
14;B-11865-x40-03.tif;3374;293.491405;323.408121;51.551899;99.014314;1.803243;1.920672;0.520651;0.438187;641.000000;0.853770;276.506000;0.595281;4.857041e-01;8.312481e-01
15;B-11865-x40-03.tif;1913;338.727653;229.565604;41.201876;59.211710;1.027970;1.437112;0.695840;0.694720;37.000000;0.718197;157.200000;0.608935;5.273933e-01;8.409757e-01
16;B-11865-x40-03.tif;1793;342.673731;278.058561;41.319585;55.486499;1.078828;1.342862;0.744678;0.741508;59.000000;0.667424;155.909000;0.610605;5.217639e-01;7.716892e-01
17;B-11865-x40-03.tif;4821;359.567725;385.363203;65.675858;130.820853;2.431044;1.991917;0.502029;0.358669;1715.000000;0.864851;383.769000;0.590606;5.122619e-01;7.666593e-01
18;B-11865-x40-03.tif;1744;349.092890;182.318807;42.423375;52.524734;0.988043;1.238108;0.807684;0.804876;26.000000;0.589616;147.152000;0.612682;5.274306e-01;9.344577e-01
19;B-11865-x40-03.tif;317;351.526814;128.066246;19.271239;23.123298;1.286720;1.199886;0.833412;0.754866;39.000000;0.552652;71.594000;0.478722;9.922068e-02;9.092378e-01
20;B-11865-x40-03.tif;1475;372.888136;77.288136;37.879777;59.441664;1.942646;1.569219;0.637260;0.531521;467.000000;0.770649;189.757000;0.484656;9.922068e-02;9.126592e-01
21;B-11865-x40-03.tif;3551;392.915517;308.920867;48.081486;104.102015;1.775595;2.165116;0.461869;0.417198;619.000000;0.886948;281.483000;0.597776;5.146452e-01;7.578407e-01
22;B-11865-x40-03.tif;2144;398.089552;791.164646;52.484562;83.474131;4.284041;1.590451;0.628752;0.391770;1531.000000;0.777606;339.738000;0.348049;9.579928e-02;9.334727e-01
23;B-11865-x40-03.tif;3501;415.792059;236.256498;60.205730;80.720706;1.775337;1.340748;0.745852;0.684120;427.000000;0.666111;279.474000;0.603268;5.149211e-01;8.108725e-01
24;B-11865-x40-03.tif;6435;478.311577;677.438228;59.261938;181.180242;4.528234;3.057278;0.327088;0.249596;3619.000000;0.944994;605.123000;0.545311;8.895647e-02;9.645505e-01
