No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;B-AA11746-x40-05AA.tif;544;382.875000;166.757353;16.871514;49.942351;2.265261;2.960158;0.337820;0.277697;153.000000;0.941211;124.441000;0.473622;1.461635e-01;9.053802e-01
2;B-AA11746-x40-05AA.tif;4283;445.222741;169.882559;48.194570;135.270282;3.130604;2.806754;0.356284;0.298025;1306.000000;0.934378;410.481000;0.591373;6.956446e-02;9.676495e-01
3;B-AA11746-x40-05AA.tif;829;405.850422;248.164053;17.796129;73.339658;3.563024;4.121102;0.242654;0.196240;363.000000;0.970113;192.660000;0.474775;1.492900e-01;9.241391e-01
4;B-AA11746-x40-05AA.tif;454;409.808370;410.455947;17.819448;34.182523;1.486674;1.918271;0.521303;0.494718;57.000000;0.853372;92.096000;0.440015;1.461635e-01;8.957402e-01
5;B-AA11746-x40-05AA.tif;507;451.015779;447.011834;23.310968;29.806093;1.426879;1.278630;0.782087;0.726621;76.000000;0.623169;95.346000;0.511430;1.461635e-01;8.988666e-01
6;B-AA11746-x40-05AA.tif;1413;457.188252;234.983015;34.418112;56.100755;1.608197;1.629978;0.613505;0.571630;165.000000;0.789691;168.984000;0.586853;1.055191e-01;9.657310e-01
7;B-AA11746-x40-05AA.tif;522;474.530651;276.862069;16.880642;47.636036;1.839082;2.821933;0.354367;0.292893;104.000000;0.935106;109.835000;0.422111;1.492900e-01;8.988666e-01
8;B-AA11746-x40-05AA.tif;325;482.200000;113.264615;12.759106;41.228304;2.095438;3.231285;0.309474;0.243446;116.000000;0.950908;92.509000;0.453194;1.492900e-01;8.863607e-01
9;B-AA11746-x40-05AA.tif;1273;505.590731;234.871170;37.516113;43.601260;1.018472;1.162201;0.860436;0.852590;41.000000;0.509558;127.642000;0.658406;5.662415e-01;8.386416e-01
10;B-AA11746-x40-05AA.tif;425;519.884706;301.677647;17.803213;41.172427;2.037330;2.312640;0.432406;0.319217;144.000000;0.901679;104.311000;0.436981;1.555430e-01;9.178861e-01
11;B-AA11746-x40-05AA.tif;1063;529.266228;185.169332;30.715677;46.097724;1.248278;1.500788;0.666317;0.636919;112.000000;0.745669;129.130000;0.668362;5.656021e-01;8.535114e-01
12;B-AA11746-x40-05AA.tif;626;549.587859;132.252396;14.507677;75.494092;4.157329;5.203734;0.192170;0.139849;295.000000;0.981362;180.842000;0.463894;1.461635e-01;9.227062e-01
13;B-AA11746-x40-05AA.tif;1048;541.464695;251.604008;33.509776;40.592133;1.035733;1.211352;0.825524;0.809818;31.000000;0.564367;116.791000;0.628361;5.134222e-01;8.661064e-01
14;B-AA11746-x40-05AA.tif;1831;558.564173;466.544511;40.490795;82.165062;4.099138;2.029228;0.492798;0.345322;1021.000000;0.870144;307.111000;0.498318;1.148986e-01;9.799601e-01
15;B-AA11746-x40-05AA.tif;459;559.607843;320.873638;22.053684;30.499680;1.715765;1.382974;0.723079;0.628250;94.000000;0.690765;99.481000;0.451099;1.555430e-01;9.019931e-01
16;B-AA11746-x40-05AA.tif;1377;578.648511;186.940450;35.420077;50.587491;1.234259;1.428215;0.700175;0.685106;71.000000;0.713972;146.142000;0.674553;5.393200e-01;8.962731e-01
