No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10917-x40-02.tif;332;19.719880;258.930723;11.228257;41.669762;1.789202;3.711151;0.269458;0.243448;62.000000;0.963012;86.398000;0.570978;4.163767e-01;9.156903e-01
2;F-10917-x40-02.tif;1851;35.797407;55.524581;41.190235;64.743096;2.455847;1.571807;0.636210;0.562250;462.000000;0.771516;239.006000;0.571464;4.102834e-01;9.312621e-01
3;F-10917-x40-02.tif;599;32.672788;217.884808;28.892830;30.839599;1.498939;1.067379;0.936874;0.801899;109.000000;0.349666;106.221000;0.610908;4.123145e-01;9.292310e-01
4;F-10917-x40-02.tif;545;42.209174;597.282569;25.000725;37.415662;2.023905;1.496583;0.668189;0.495678;201.000000;0.743992;117.733000;0.645025;4.102834e-01;9.260151e-01
5;F-10917-x40-02.tif;524;73.187023;480.633588;20.207480;38.620267;2.020138;1.911187;0.523235;0.447312;163.000000;0.852188;115.335000;0.687847;4.102834e-01;9.292310e-01
6;F-10917-x40-02.tif;404;109.638614;791.722772;13.982385;46.832741;2.495789;3.349410;0.298560;0.234527;192.000000;0.954391;112.564000;0.609166;4.082523e-01;9.197525e-01
7;F-10917-x40-02.tif;4966;151.794805;165.549940;67.359204;97.744682;1.903786;1.451096;0.689134;0.661806;654.000000;0.724634;344.681000;0.574006;4.123145e-01;9.271999e-01
8;F-10917-x40-02.tif;1286;154.930793;237.815708;29.813514;69.583031;2.749654;2.333943;0.428460;0.338177;543.000000;0.903561;210.797000;0.619176;4.102834e-01;9.300773e-01
9;F-10917-x40-02.tif;1378;156.068215;347.884615;31.447330;76.245872;2.483009;2.424558;0.412446;0.301805;475.000000;0.910982;207.357000;0.704763;4.102834e-01;9.249149e-01
10;F-10917-x40-02.tif;1796;185.787862;24.463808;40.634889;72.226050;4.060991;1.777439;0.562607;0.438358;754.000000;0.826724;302.743000;0.600787;4.123145e-01;9.332932e-01
11;F-10917-x40-02.tif;709;180.188999;306.803949;27.660153;33.859180;1.224740;1.224114;0.816917;0.787415;66.000000;0.576755;104.460000;0.582276;4.163767e-01;9.228838e-01
12;F-10917-x40-02.tif;1605;222.401246;372.832399;41.583938;62.917817;2.484733;1.513032;0.660925;0.516224;522.000000;0.750452;223.863000;0.600684;4.143456e-01;9.269460e-01
13;F-10917-x40-02.tif;377;242.602122;807.644562;20.490182;41.787572;2.965801;2.039395;0.490342;0.274889;247.000000;0.871530;118.535000;0.519634;4.184078e-01;9.033344e-01
